Time(sec),AFV9RX3T7ZHIB
139.0,61.74029370348018
140.0,62.94327097163548
141.0,64.14624823979076
142.0,65.34922550794607
143.0,66.55220277610138
144.0,67.75518004425668
145.0,68.95815731241198
146.0,70.16113458056728
147.0,71.36411184872259
148.0,72.56708911687788
149.0,73.77006638503318
150.0,74.97304365318848
151.0,76.2481995574331
152.0,78.4015288674311
153.0,80.8074834037417
154.0,83.21343794005229
155.0,85.61939247636289
156.0,88.0253470126735
157.0,90.4313015489841
158.0,92.8372560852947
159.0,95.2432106216053
160.0,97.6491651579159
161.0,84.46569043308331
162.0,56.72440476190476
163.0,32.11019283746556
164.0,30.89669421487603
165.0,30.81404958677686
166.0,30.731404958677683
167.0,30.64876033057851
168.0,30.56611570247934
169.0,30.48347107438017
170.0,30.40082644628099
171.0,30.31818181818182
172.0,30.235537190082646
173.0,30.15289256198347
174.0,30.070247933884296
175.0,30.00495867768595
176.0,30.0
177.0,30.0
178.0,30.0
179.0,30.0
180.0,30.0
181.0,30.0
182.0,30.0
183.0,30.0
184.0,30.0
185.0,30.0
186.0,30.0
187.0,30.0
188.0,30.0
189.0,30.0
190.0,30.0
191.0,30.0
192.0,30.0
193.0,30.0
194.0,30.0
195.0,30.0
196.0,30.0
197.0,30.0
198.0,30.0
199.0,30.0
200.0,30.0
201.0,30.0
202.0,30.0
203.0,30.0
204.0,30.0
205.0,30.0
206.0,30.0
207.0,30.0
208.0,30.0
209.0,30.0
210.0,30.0
211.0,30.0
212.0,30.0
213.0,30.0
214.0,30.0
215.0,30.0
216.0,30.0
217.0,30.0
218.0,30.0
219.0,30.0
220.0,30.0
221.0,30.0
222.0,30.0
223.0,30.0
224.0,30.0
225.0,30.0
226.0,30.0
227.0,30.0
228.0,30.0
229.0,30.0
230.0,30.0
231.0,30.0
232.0,30.0
233.0,30.0
234.0,30.0
235.0,30.0
236.0,30.0
237.0,30.0
238.0,30.0
239.0,30.0
240.0,30.0
241.0,30.0
242.0,30.0
243.0,30.0
244.0,30.0
245.0,30.0
246.0,30.0
247.0,30.0
248.0,30.0
249.0,30.0
250.0,30.0
251.0,30.0
252.0,30.0
253.0,30.0
254.0,30.0
255.0,30.0
256.0,30.0
257.0,30.0
258.0,30.0
259.0,30.0
260.0,30.0
261.0,30.0
262.0,30.0
263.0,30.0
264.0,30.0
265.0,30.0
266.0,30.0
267.0,30.0
268.0,30.0
269.0,30.0
270.0,30.0
271.0,30.0
272.0,30.0
273.0,30.0
274.0,30.0
275.0,30.0
276.0,30.0
277.0,30.0
278.0,30.0
279.0,30.0
280.0,30.0
281.0,30.0
282.0,30.0
283.0,30.0
284.0,30.0
285.0,30.0
286.0,30.0
287.0,30.0
288.0,30.0
289.0,30.0
290.0,30.0
291.0,30.0
292.0,30.0
293.0,30.0
294.0,30.0
295.0,30.0
296.0,30.0
297.0,30.0
298.0,30.0
299.0,30.0
300.0,30.0
301.0,30.0
302.0,30.0
303.0,30.0
304.0,30.0
305.0,30.0
306.0,30.0
307.0,30.0
308.0,30.0
309.0,30.0
310.0,30.0
311.0,30.0
312.0,30.0
313.0,30.0
314.0,30.0
315.0,30.0
316.0,30.0
317.0,30.0
318.0,30.0
319.0,30.0
320.0,30.0
321.0,30.0
322.0,30.0
323.0,30.0
324.0,30.0
325.0,30.0
326.0,30.0
327.0,30.0
328.0,30.0
329.0,30.0
330.0,30.0
331.0,30.0
332.0,30.0
333.0,30.0
334.0,30.0
335.0,30.0
336.0,30.0
337.0,30.0
338.0,30.0
339.0,30.0
340.0,30.0
341.0,30.0
342.0,30.0
343.0,30.0
344.0,30.0
345.0,30.0
346.0,30.0
347.0,30.0
348.0,30.0
349.0,30.0
350.0,30.0
351.0,30.0
352.0,30.0
353.0,30.0
354.0,30.0
355.0,30.0
356.0,30.0
357.0,30.0
358.0,30.0
359.0,30.0
360.0,30.0
361.0,30.0
362.0,30.0
363.0,30.0
364.0,30.0
365.0,30.0
366.0,30.0
367.0,30.0
368.0,30.0
369.0,30.0
370.0,30.0
371.0,30.0
372.0,30.0
373.0,30.0
374.0,30.0
375.0,30.0
376.0,30.0
377.0,30.0
378.0,30.0
379.0,30.0
380.0,30.0
381.0,30.0
382.0,30.0
383.0,30.0
384.0,30.0
385.0,30.0
386.0,30.0
387.0,30.0
388.0,30.0
389.0,30.0
390.0,30.0
391.0,30.0
392.0,30.0
393.0,30.0
394.0,30.0
395.0,30.0
396.0,30.0
397.0,30.0
398.0,30.0
399.0,30.0
400.0,30.0
401.0,30.0
402.0,30.0
403.0,30.0
404.0,30.0
405.0,30.0
406.0,30.0
407.0,30.0
408.0,30.0
409.0,30.0
410.0,30.0
411.0,30.0
412.0,30.0
413.0,30.0
414.0,30.0
415.0,30.0
416.0,30.0
417.0,30.0
418.0,30.0
419.0,30.0
420.0,30.0
421.0,30.0
422.0,30.0
423.0,30.0
424.0,30.0
425.0,30.0
426.0,30.0
427.0,30.0
428.0,30.0
429.0,30.0
430.0,30.0
431.0,30.0
432.0,30.0
433.0,30.0
434.0,30.0
435.0,30.0
436.0,30.0
437.0,30.0
438.0,30.0
439.0,30.0
440.0,30.0
441.0,30.0
442.0,30.0
443.0,30.0
444.0,30.0
445.0,30.0
446.0,30.0
447.0,30.0
448.0,30.0
449.0,30.0
450.0,30.0
451.0,30.0
452.0,30.0
453.0,30.0
454.0,30.0
455.0,30.0
456.0,30.0
457.0,30.0
458.0,30.0
459.0,30.0
460.0,30.0
461.0,30.0
462.0,30.0
463.0,30.0
464.0,30.0
465.0,30.0
466.0,30.0
467.0,30.0
468.0,30.0
469.0,30.0
470.0,30.0
471.0,30.0
472.0,30.0
473.0,30.0
474.0,30.0
475.0,30.0
476.0,30.0
477.0,30.0
478.0,30.0
479.0,30.0
480.0,30.0
481.0,30.0
482.0,30.0
483.0,30.0
484.0,30.0
485.0,30.0
486.0,30.0
487.0,30.0
488.0,30.0
489.0,30.0
490.0,30.0
491.0,30.0
492.0,30.0
493.0,30.0
494.0,30.0
495.0,30.0
496.0,30.0
497.0,30.0
498.0,30.0
499.0,30.0
500.0,30.0
501.0,30.0
502.0,30.0
503.0,30.0
504.0,30.0
505.0,30.0
506.0,30.0
507.0,30.0
508.0,30.0
509.0,30.0
510.0,30.0
511.0,30.0
512.0,30.0
513.0,30.0
514.0,30.0
515.0,30.0
516.0,30.0
517.0,30.0
518.0,30.0
519.0,30.0
520.0,30.0
521.0,30.0
522.0,30.0
523.0,30.0
524.0,30.0
525.0,30.0
526.0,30.0
527.0,30.0
528.0,30.0
529.0,30.0
530.0,30.0
531.0,30.0
532.0,30.0
533.0,30.0
534.0,30.0
535.0,30.0
536.0,30.0
537.0,30.0
538.0,30.0
539.0,30.0
540.0,30.0
541.0,30.0
542.0,30.0
543.0,30.0
544.0,30.0
545.0,30.0
546.0,30.0
547.0,30.0
548.0,30.0
549.0,30.0
550.0,30.0
551.0,30.0
552.0,30.0
553.0,30.0
554.0,30.0
555.0,30.0
556.0,30.0
557.0,30.0
558.0,30.0
559.0,30.0
560.0,30.0
561.0,30.0
562.0,30.0
563.0,30.0
564.0,30.0
565.0,30.0
566.0,30.0
567.0,30.0
568.0,30.0
569.0,30.0
570.0,30.0
571.0,30.0
572.0,30.0
573.0,30.0
574.0,30.0
575.0,30.0
576.0,30.0
577.0,30.0
578.0,30.0
579.0,30.0
580.0,30.0
581.0,30.0
582.0,30.0
583.0,30.0
584.0,30.0
585.0,30.0
586.0,30.0
587.0,30.0
588.0,30.0
589.0,30.0
590.0,30.0
591.0,30.0
592.0,30.0
593.0,30.0
594.0,30.0
595.0,30.0
596.0,30.0
597.0,30.0
598.0,30.0
599.0,30.0
600.0,30.0
601.0,30.0
602.0,30.0
603.0,30.0
604.0,30.0
605.0,30.0
606.0,30.0
607.0,30.0
608.0,30.0
609.0,30.0
610.0,30.0
611.0,30.0
612.0,30.0
613.0,30.0
614.0,30.0
615.0,30.0
616.0,30.0
617.0,30.0
618.0,30.0
619.0,30.0
620.0,30.0
