Time(sec),AZSSG2REHDX18
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-97.57777777777778
22.0,-94.125
23.0,-94.125
24.0,-94.125
25.0,-94.125
26.0,-94.125
27.0,-94.125
28.0,-78.5135101010101
29.0,-56.0
30.0,-56.0
31.0,-56.0
32.0,-56.0
33.0,-56.0
34.0,-56.0
35.0,-48.24977375565611
36.0,-25.951169244970714
37.0,3.1141666666666667
38.0,34.618125
39.0,36.0
40.0,53.63173076923077
41.0,63.69090909090909
42.0,36.0
43.0,36.0
44.0,36.0
45.0,36.0
46.0,36.0
47.0,36.0
48.0,36.261111111111106
49.0,72.65013888888889
50.0,90.0
51.0,90.0
52.0,90.0
53.0,91.86444444444444
54.0,98.0
55.0,98.0
56.0,98.0
57.0,98.0
58.0,98.0
59.0,98.0
60.0,98.0
61.0,98.0
62.0,98.0
63.0,98.0
64.0,98.70766045548655
65.0,99.28985507246378
66.0,99.57971014492753
67.0,99.8695652173913
68.0,100.0
69.0,100.0
70.0,91.80222222222223
71.0,85.44444444444444
72.0,85.44444444444444
73.0,85.44444444444444
74.0,85.44444444444444
75.0,85.44444444444444
76.0,85.44444444444444
77.0,85.44444444444444
78.0,85.44444444444444
79.0,85.44444444444444
80.0,78.73676470588235
81.0,27.332727272727272
82.0,15.0
83.0,15.0
84.0,15.0
85.0,15.0
86.0,15.0
87.0,12.353216783216784
88.0,-28.12047476646161
89.0,-36.0
90.0,-36.0
91.0,-51.80339635854341
92.0,-67.4796481092437
93.0,-76.46425029239767
94.0,-99.87619047619049
95.0,-97.26805555555556
96.0,-93.08333333333334
97.0,-84.0
98.0,-97.36964285714285
99.0,-98.97916666666666
100.0,-100.0
101.0,-100.0
102.0,-100.0
103.0,-100.0
104.0,-100.0
105.0,-100.0
106.0,-100.0
107.0,-100.0
108.0,-100.0
109.0,-100.0
110.0,-100.0
111.0,-100.0
112.0,-100.0
113.0,-100.0
114.0,-100.0
115.0,-100.0
116.0,-100.0
117.0,-100.0
118.0,-100.0
119.0,-100.0
120.0,-100.0
121.0,-100.0
122.0,-100.0
123.0,-100.0
124.0,-100.0
125.0,-100.0
126.0,-100.0
127.0,-100.0
128.0,-100.0
129.0,-100.0
130.0,-100.0
131.0,-100.0
132.0,-100.0
133.0,-100.0
134.0,-100.0
135.0,-100.0
136.0,-100.0
137.0,-100.0
138.0,-100.0
139.0,-100.0
140.0,-100.0
141.0,-100.0
142.0,-100.0
143.0,-100.0
144.0,-100.0
145.0,-100.0
146.0,-100.0
147.0,-100.0
148.0,-100.0
149.0,-100.0
150.0,-100.0
151.0,-100.0
152.0,-100.0
153.0,-97.3080844932845
154.0,-84.31746031746032
155.0,-73.91930694792536
156.0,-64.71177944862154
157.0,-64.71177944862154
158.0,-62.724287280701745
159.0,-51.090999999999994
160.0,-51.0
161.0,-51.0
162.0,-59.03527777777778
163.0,-75.40333333333334
164.0,-81.33333333333333
165.0,-81.33333333333333
166.0,-90.56269841269841
167.0,-99.99444444444444
168.0,-100.0
169.0,-100.0
170.0,-100.0
