Time(sec),AD2M4BF7KYVQW
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-97.175
9.0,-96.0
10.0,-96.0
11.0,-96.0
12.0,-96.0
13.0,-96.0
14.0,-96.0
15.0,-96.0
16.0,-96.0
17.0,-96.0
18.0,-96.0
19.0,-96.0
20.0,-96.0
21.0,-96.0
22.0,-96.0
23.0,-96.0
24.0,-96.0
25.0,-96.0
26.0,-96.0
27.0,-96.0
28.0,-96.0
29.0,-96.0
30.0,-96.0
31.0,-96.0
32.0,-96.0
33.0,-96.0
34.0,-96.0
35.0,-96.0
36.0,-96.0
37.0,-96.0
38.0,-96.0
39.0,-96.0
40.0,-96.0
41.0,-96.0
42.0,-96.0
43.0,-96.0
44.0,-96.0
45.0,-96.0
46.0,-96.0
47.0,-96.0
48.0,-96.0
49.0,-96.0
50.0,-96.0
51.0,-96.0
52.0,-96.0
53.0,-96.0
54.0,-93.47454658647317
55.0,-71.37276785714286
56.0,-50.90989898989899
57.0,-33.0
58.0,-28.095476190476187
59.0,8.708333333333334
60.0,12.333333333333334
61.0,12.333333333333334
62.0,12.333333333333334
63.0,12.333333333333334
64.0,12.333333333333334
65.0,12.333333333333334
66.0,12.333333333333334
67.0,12.333333333333334
68.0,12.333333333333334
69.0,11.807344632768363
70.0,9.452919020715632
71.0,6.948210922787195
72.0,4.443502824858757
73.0,1.9387947269303205
74.0,-0.5659133709981164
75.0,-3.0706214689265536
76.0,-5.57532956685499
77.0,-8.080037664783427
78.0,-10.584745762711865
79.0,-13.089453860640301
80.0,-15.594161958568737
81.0,-18.098870056497177
82.0,-20.603578154425612
83.0,-23.10828625235405
84.0,-25.612994350282484
85.0,-28.117702448210924
86.0,-30.62241054613936
87.0,-40.07718855218855
88.0,-60.837493788890846
89.0,-84.15333333333334
90.0,-99.825
91.0,-100.0
92.0,-100.0
93.0,-100.0
94.0,-100.0
95.0,-100.0
96.0,-100.0
97.0,-100.0
98.0,-100.0
99.0,-100.0
100.0,-100.0
101.0,-100.0
102.0,-100.0
103.0,-100.0
104.0,-100.0
105.0,-100.0
106.0,-100.0
107.0,-100.0
108.0,-100.0
109.0,-100.0
110.0,-100.0
111.0,-100.0
112.0,-100.0
113.0,-100.0
114.0,-100.0
115.0,-100.0
116.0,-100.0
117.0,-100.0
118.0,-100.0
119.0,-100.0
120.0,-100.0
121.0,-100.0
122.0,-100.0
123.0,-100.0
124.0,-100.0
125.0,-100.0
126.0,-100.0
127.0,-100.0
128.0,-100.0
129.0,-100.0
130.0,-100.0
131.0,-100.0
132.0,-100.0
133.0,-100.0
134.0,-100.0
135.0,-100.0
136.0,-100.0
137.0,-100.0
138.0,-100.0
139.0,-100.0
140.0,-100.0
141.0,-100.0
142.0,-100.0
143.0,-100.0
144.0,-100.0
145.0,-100.0
146.0,-100.0
147.0,-100.0
148.0,-100.0
149.0,-100.0
150.0,-100.0
151.0,-100.0
152.0,-100.0
153.0,-100.0
154.0,-100.0
155.0,-100.0
156.0,-100.0
157.0,-100.0
158.0,-100.0
159.0,-100.0
160.0,-100.0
161.0,-100.0
162.0,-100.0
163.0,-100.0
164.0,-100.0
165.0,-100.0
166.0,-100.0
167.0,-100.0
168.0,-100.0
169.0,-100.0
170.0,-100.0
171.0,-100.0
172.0,-100.0
