Time(sec),AD2M4BF7KYVQW
173.0,-100.0
174.0,-100.0
175.0,-100.0
176.0,-100.0
177.0,-100.0
178.0,-100.0
179.0,-100.0
180.0,-100.0
181.0,-100.0
182.0,-100.0
183.0,-100.0
184.0,-100.0
185.0,-100.0
186.0,-100.0
187.0,-100.0
188.0,-100.0
189.0,-100.0
190.0,-100.0
191.0,-100.0
192.0,-100.0
193.0,-100.0
194.0,-100.0
195.0,-100.0
196.0,-100.0
197.0,-100.0
198.0,-100.0
199.0,-100.0
200.0,-100.0
201.0,-100.0
202.0,-100.0
203.0,-100.0
204.0,-100.0
205.0,-100.0
206.0,-100.0
207.0,-100.0
208.0,-100.0
209.0,-100.0
210.0,-100.0
211.0,-100.0
212.0,-100.0
213.0,-100.0
214.0,-100.0
215.0,-100.0
216.0,-100.0
217.0,-100.0
218.0,-100.0
219.0,-100.0
220.0,-100.0
221.0,-100.0
222.0,-100.0
223.0,-100.0
224.0,-100.0
225.0,-100.0
226.0,-100.0
227.0,-100.0
228.0,-100.0
229.0,-100.0
230.0,-100.0
231.0,-100.0
232.0,-100.0
233.0,-100.0
234.0,-100.0
235.0,-100.0
236.0,-100.0
237.0,-100.0
238.0,-100.0
239.0,-100.0
240.0,-100.0
241.0,-100.0
242.0,-100.0
243.0,-100.0
244.0,-100.0
245.0,-100.0
246.0,-100.0
247.0,-100.0
248.0,-100.0
249.0,-100.0
250.0,-100.0
251.0,-100.0
252.0,-100.0
253.0,-100.0
254.0,-100.0
255.0,-100.0
256.0,-100.0
257.0,-100.0
258.0,-100.0
259.0,-100.0
260.0,-100.0
261.0,-100.0
262.0,-100.0
263.0,-100.0
264.0,-100.0
265.0,-100.0
266.0,-100.0
267.0,-100.0
268.0,-100.0
269.0,-100.0
270.0,-100.0
271.0,-100.0
272.0,-100.0
273.0,-100.0
274.0,-100.0
275.0,-100.0
276.0,-100.0
277.0,-100.0
278.0,-100.0
279.0,-100.0
280.0,-100.0
281.0,-100.0
282.0,-100.0
283.0,-100.0
284.0,-100.0
285.0,-100.0
286.0,-100.0
287.0,-100.0
288.0,-100.0
289.0,-100.0
290.0,-100.0
291.0,-100.0
292.0,-100.0
293.0,-100.0
294.0,-100.0
295.0,-100.0
296.0,-100.0
297.0,-100.0
298.0,-100.0
299.0,-100.0
300.0,-100.0
301.0,-100.0
302.0,-100.0
303.0,-100.0
304.0,-100.0
305.0,-100.0
306.0,-100.0
307.0,-100.0
308.0,-100.0
309.0,-100.0
310.0,-100.0
311.0,-100.0
312.0,-100.0
313.0,-100.0
314.0,-100.0
315.0,-100.0
316.0,-100.0
317.0,-100.0
318.0,-100.0
319.0,-100.0
320.0,-100.0
321.0,-100.0
322.0,-100.0
323.0,-100.0
324.0,-100.0
325.0,-100.0
326.0,-100.0
327.0,-100.0
328.0,-100.0
329.0,-100.0
330.0,-100.0
331.0,-100.0
332.0,-100.0
333.0,-100.0
334.0,-100.0
335.0,-100.0
336.0,-100.0
337.0,-100.0
338.0,-100.0
339.0,-100.0
340.0,-100.0
341.0,-100.0
342.0,-100.0
343.0,-100.0
344.0,-100.0
345.0,-100.0
346.0,-100.0
347.0,-100.0
348.0,-100.0
349.0,-100.0
350.0,-100.0
351.0,-100.0
352.0,-100.0
353.0,-100.0
354.0,-100.0
355.0,-100.0
356.0,-100.0
357.0,-100.0
358.0,-100.0
359.0,-100.0
360.0,-100.0
361.0,-100.0
362.0,-100.0
363.0,-100.0
364.0,-100.0
365.0,-100.0
366.0,-100.0
367.0,-100.0
368.0,-100.0
369.0,-100.0
370.0,-100.0
371.0,-100.0
372.0,-100.0
373.0,-100.0
374.0,-100.0
375.0,-100.0
376.0,-100.0
377.0,-100.0
378.0,-100.0
379.0,-100.0
380.0,-100.0
381.0,-100.0
382.0,-100.0
383.0,-100.0
384.0,-100.0
385.0,-100.0
386.0,-100.0
387.0,-100.0
388.0,-100.0
389.0,-100.0
390.0,-100.0
391.0,-100.0
392.0,-100.0
393.0,-100.0
394.0,-100.0
395.0,-100.0
396.0,-100.0
397.0,-100.0
398.0,-100.0
399.0,-92.59787581699347
400.0,-70.13040750915751
401.0,-46.69148643023643
402.0,-16.47286324786325
403.0,-2.5795454545454546
404.0,-0.1
405.0,0.0
406.0,3.0546853146853143
407.0,10.618363858363859
408.0,13.880555555555555
409.0,18.91
410.0,25.508695652173913
411.0,39.1
412.0,51.94130434782609
413.0,55.0
414.0,55.0
415.0,57.253611971104235
416.0,61.0
417.0,63.860151515151514
418.0,67.79166666666666
419.0,68.625
420.0,70.21693548387097
421.0,73.47952712609971
422.0,82.06958333333333
423.0,86.89095238095237
424.0,90.66071428571429
425.0,97.77467320261438
426.0,100.0
427.0,100.0
428.0,100.0
429.0,100.0
430.0,100.0
431.0,100.0
432.0,100.0
433.0,100.0
434.0,100.0
435.0,99.98707824838479
436.0,99.87724335965541
437.0,99.74802584350323
438.0,99.61880832735105
439.0,99.48829863603733
440.0,99.27638190954774
441.0,99.01794687724336
442.0,98.75951184493898
443.0,98.50107681263461
444.0,98.24264178033022
445.0,97.98420674802585
446.0,97.72577171572146
447.0,97.46733668341709
448.0,97.20890165111271
449.0,96.95175879396984
450.0,96.77602297200288
451.0,96.64680545585068
452.0,96.5175879396985
453.0,96.3883704235463
454.0,96.25915290739411
455.0,96.12993539124193
456.0,96.00071787508975
457.0,95.87150035893754
458.0,95.74228284278536
459.0,95.61306532663318
460.0,95.48384781048098
461.0,95.35463029432879
462.0,95.2254127781766
463.0,95.09619526202441
464.0,94.96697774587223
465.0,94.83776022972003
466.0,94.70854271356784
467.0,94.57932519741566
468.0,94.45010768126346
469.0,94.32089016511128
470.0,94.19167264895908
471.0,94.06245513280689
472.0,93.93323761665471
473.0,93.80402010050253
474.0,93.67480258435032
475.0,93.54558506819814
476.0,93.41636755204595
477.0,93.28715003589376
478.0,93.15793251974156
479.0,93.02871500358938
480.0,92.89949748743719
481.0,92.770279971285
482.0,92.64106245513281
483.0,92.51184493898063
484.0,92.38262742282843
485.0,88.55292414453218
486.0,83.0
487.0,83.0
488.0,82.88888888888889
489.0,80.99166666666666
490.0,79.50833333333334
491.0,75.66666666666666
492.0,67.7
493.0,61.111666666666665
494.0,50.47375
495.0,40.355000000000004
496.0,33.56666666666666
497.0,30.125
498.0,25.910000000000004
499.0,24.72863636363636
500.0,23.761363636363637
501.0,18.486848591549297
502.0,9.206690140845073
503.0,-0.06795774647886965
504.0,-9.342605633802814
505.0,-18.617253521126752
506.0,-27.891901408450696
507.0,-37.16654929577464
508.0,-44.49352112676056
509.0,-45.05
510.0,-44.18388888888889
511.0,-33.15111111111111
512.0,-33.43333333333333
513.0,-42.81757575757576
514.0,-47.04545454545455
515.0,-47.906493506493504
516.0,-48.40714285714286
517.0,-48.83571428571428
518.0,-49.26428571428571
519.0,-49.5
520.0,-49.5
521.0,-49.5
522.0,-49.5
523.0,-49.5
524.0,-49.5
525.0,-49.5
526.0,-49.5
527.0,-49.5
528.0,-49.5
529.0,-39.52634920634921
530.0,-20.38095238095238
531.0,-7.732142857142857
532.0,2.083333333333333
533.0,6.872222222222223
534.0,12.472222222222223
535.0,22.518571428571427
536.0,24.0
537.0,24.0
538.0,21.268809523809523
539.0,6.35
540.0,6.0
