Time(sec),A3KE7OXK8J5QA
188.0,-100.0
189.0,-100.0
190.0,-100.0
191.0,-100.0
192.0,-100.0
193.0,-100.0
194.0,-100.0
195.0,-100.0
196.0,-100.0
197.0,-100.0
198.0,-100.0
199.0,-92.50414397607895
200.0,-67.96119047619047
201.0,-52.50983585858586
202.0,-39.25
203.0,-39.25
204.0,-39.25
205.0,-39.25
206.0,-39.25
207.0,-39.25
208.0,-39.25
209.0,-39.25
210.0,-39.27777777777778
211.0,-39.513888888888886
212.0,-49.373333333333335
213.0,-68.30970103721782
214.0,-72.63743136058572
215.0,-72.79911531421598
216.0,-72.96079926784624
217.0,-73.12248322147651
218.0,-73.28416717510677
219.0,-73.44585112873703
220.0,-73.6075350823673
221.0,-73.76921903599757
222.0,-73.93090298962781
223.0,-74.09258694325808
224.0,-74.25427089688836
225.0,-74.4159548505186
226.0,-74.57763880414888
227.0,-74.73932275777914
228.0,-74.9010067114094
229.0,-75.06269066503965
230.0,-75.22437461866993
231.0,-75.38605857230019
232.0,-75.54774252593045
233.0,-75.7094264795607
234.0,-75.87111043319098
235.0,-76.03279438682122
236.0,-76.1944783404515
237.0,-76.35616229408177
238.0,-76.51784624771201
239.0,-76.67953020134227
240.0,-76.84121415497255
241.0,-77.0028981086028
242.0,-77.16458206223307
243.0,-77.32626601586333
244.0,-77.4879499694936
245.0,-77.64963392312386
246.0,-77.81131787675412
247.0,-77.97300183038439
248.0,-78.13468578401464
249.0,-78.29636973764491
250.0,-78.45805369127517
251.0,-78.61973764490543
252.0,-78.78142159853569
253.0,-78.94310555216596
254.0,-79.10478950579622
255.0,-79.26647345942648
256.0,-79.42815741305674
257.0,-79.58984136668701
258.0,-79.75152532031726
259.0,-79.91320927394753
260.0,-80.0748932275778
261.0,-80.23657718120805
262.0,-80.39826113483832
263.0,-80.55994508846858
264.0,-80.72162904209884
265.0,-80.8833129957291
266.0,-81.04499694935937
267.0,-81.20668090298963
268.0,-81.36836485661989
269.0,-81.53004881025015
270.0,-81.69173276388042
271.0,-81.85341671751067
272.0,-82.01510067114094
273.0,-82.1767846247712
274.0,-82.33846857840146
275.0,-82.50015253203173
276.0,-82.661836485662
277.0,-82.82352043929225
278.0,-82.98520439292251
279.0,-83.14688834655279
280.0,-83.30857230018304
281.0,-83.47025625381329
282.0,-83.63194020744356
283.0,-83.79362416107384
284.0,-83.95530811470408
285.0,-84.11699206833435
286.0,-84.27867602196461
287.0,-84.44035997559487
288.0,-84.60204392922513
289.0,-84.7637278828554
290.0,-84.92541183648567
291.0,-85.08709579011592
292.0,-85.24877974374618
293.0,-85.41046369737646
294.0,-85.5721476510067
295.0,-85.73383160463698
296.0,-85.89551555826725
297.0,-86.0571995118975
298.0,-86.21888346552775
299.0,-86.38056741915803
300.0,-86.54225137278829
301.0,-86.70393532641855
302.0,-86.8656192800488
303.0,-87.02730323367908
304.0,-87.18898718730934
305.0,-87.3506711409396
306.0,-87.51235509456987
307.0,-87.67403904820011
308.0,-87.83572300183039
309.0,-87.99740695546065
310.0,-88.1590909090909
311.0,-88.32077486272117
312.0,-88.48245881635144
313.0,-88.6441427699817
314.0,-88.80582672361196
315.0,-88.96751067724222
316.0,-89.12919463087249
317.0,-89.29087858450274
318.0,-89.45256253813301
319.0,-89.61424649176328
320.0,-89.77593044539353
321.0,-89.9376143990238
322.0,-90.09929835265406
323.0,-90.26098230628432
324.0,-90.42266625991458
325.0,-90.58435021354485
326.0,-90.74603416717511
327.0,-90.90771812080537
328.0,-91.06940207443563
329.0,-91.2310860280659
330.0,-91.39276998169615
331.0,-91.55445393532642
332.0,-91.71613788895668
333.0,-91.87782184258694
334.0,-92.03950579621721
335.0,-92.20118974984747
336.0,-92.36287370347773
337.0,-92.52455765710799
338.0,-92.68624161073825
339.0,-92.84792556436852
340.0,-93.00960951799877
341.0,-93.17129347162904
342.0,-93.33297742525932
343.0,-93.49466137888956
344.0,-93.65634533251983
345.0,-93.8180292861501
346.0,-93.97971323978035
347.0,-94.14139719341061
348.0,-94.30308114704088
349.0,-94.46476510067114
350.0,-94.6264490543014
351.0,-94.78813300793166
352.0,-94.94981696156194
353.0,-95.11150091519218
354.0,-95.27318486882245
355.0,-95.43486882245273
356.0,-95.59655277608297
357.0,-95.75985356924954
358.0,-96.02501525320318
359.0,-96.3483831604637
360.0,-96.67175106772422
361.0,-96.99511897498475
362.0,-97.31848688224527
363.0,-97.6418547895058
364.0,-97.96522269676632
365.0,-98.28859060402684
366.0,-98.61195851128737
367.0,-97.87077486272116
368.0,-88.10499999999999
369.0,-79.83333333333334
370.0,-71.89910714285715
371.0,-66.97878787878787
372.0,-66.96969696969697
373.0,-66.96969696969697
374.0,-66.96969696969697
375.0,-66.96969696969697
376.0,-66.96969696969697
377.0,-66.96969696969697
378.0,-66.96969696969697
379.0,-66.96969696969697
380.0,-66.96969696969697
381.0,-59.69872793872794
382.0,-44.56166666666667
383.0,-25.770833333333332
384.0,-17.025
385.0,-17.0
386.0,-17.0
387.0,-17.0
388.0,-16.772222222222222
389.0,-20.813333333333333
390.0,-53.56111111111111
391.0,-68.31111111111112
392.0,-69.58148148148148
393.0,-69.58148148148148
394.0,-69.58148148148148
395.0,-69.58148148148148
396.0,-69.58148148148148
397.0,-69.58148148148148
398.0,-69.58148148148148
399.0,-69.58148148148148
400.0,-69.96259259259259
401.0,-77.07666666666667
402.0,-89.91732804232804
403.0,-71.32575757575758
404.0,-70.95454545454545
405.0,-62.5932701070859
406.0,-47.914459258062195
407.0,-33.74235430283225
408.0,-10.367773109243696
409.0,24.52166666666667
410.0,61.482624458874454
411.0,62.36666666666666
412.0,27.98
413.0,-8.691666666666666
414.0,-12.0
415.0,-12.0
416.0,-12.0
417.0,-4.533333333333333
418.0,20.727777777777778
419.0,52.20333333333333
420.0,81.89791666666666
421.0,90.3147670250896
422.0,61.6889964157706
423.0,35.896689144189146
424.0,18.80938061938062
425.0,0.12499999999999964
426.0,-18.074074074074076
427.0,-32.90552980931692
428.0,-39.476104272266475
429.0,-39.69575187062515
430.0,-39.91539946898383
431.0,-40.135047067342505
432.0,-40.35469466570119
433.0,-40.574342264059865
434.0,-40.79398986241854
435.0,-41.01363746077722
436.0,-41.233285059135895
437.0,-41.45293265749457
438.0,-41.67258025585325
439.0,-41.892227854211924
440.0,-42.1118754525706
441.0,-42.33152305092928
442.0,-42.55117064928796
443.0,-42.77081824764664
444.0,-42.990465846005314
445.0,-43.21011344436399
446.0,-43.42976104272267
447.0,-43.649408641081344
448.0,-43.86905623944002
449.0,-44.0887038377987
450.0,-44.30835143615737
451.0,-44.52799903451606
452.0,-44.74764663287473
453.0,-44.96729423123341
454.0,-45.18694182959209
455.0,-45.40658942795076
456.0,-45.62623702630944
457.0,-45.845884624668116
458.0,-46.06553222302679
459.0,-46.28517982138547
460.0,-46.504827419744146
461.0,-46.72447501810283
462.0,-46.944122616461506
463.0,-47.16377021482018
464.0,-47.38341781317886
465.0,-47.603065411537536
466.0,-47.82271300989621
467.0,-48.04236060825489
468.0,-48.26200820661357
469.0,-48.48165580497225
470.0,-48.701303403330925
471.0,-48.9209510016896
472.0,-49.14059860004828
473.0,-49.360246198406955
474.0,-49.57989379676563
475.0,-49.79954139512431
476.0,-50.019188993482985
477.0,-50.23883659184166
478.0,-50.45848419020034
479.0,-50.678131788559014
480.0,-50.89777938691769
481.0,-51.117426985276374
482.0,-51.337074583635044
483.0,-51.55672218199372
484.0,-51.7763697803524
485.0,-51.99601737871107
486.0,-52.21566497706975
487.0,-52.43531257542844
488.0,-52.65496017378712
489.0,-52.874607772145794
490.0,-53.09425537050447
491.0,-53.31390296886315
492.0,-53.53355056722182
493.0,-53.7531981655805
494.0,-53.972845763939176
495.0,-54.19249336229785
496.0,-54.41214096065653
497.0,-54.631788559015206
498.0,-54.85143615737388
499.0,-55.07108375573257
500.0,-55.29073135409125
501.0,-55.510378952449926
502.0,-55.7300265508086
503.0,-55.94967414916728
504.0,-56.169321747525956
505.0,-56.38896934588463
506.0,-56.60861694424331
507.0,-56.828264542601985
508.0,-57.04791214096066
509.0,-57.26755973931934
510.0,-57.487207337678015
511.0,-57.70685493603669
512.0,-57.92650253439537
513.0,-58.146150132754045
514.0,-58.36579773111272
515.0,-58.5854453294714
516.0,-58.805092927830074
517.0,-59.02474052618875
518.0,-59.244388124547434
519.0,-59.46403572290611
520.0,-59.68368332126479
521.0,-59.903330919623464
522.0,-60.12297851798214
523.0,-60.34262611634082
524.0,-60.562273714699494
525.0,-60.781921313058184
526.0,-61.00156891141685
527.0,-61.22121650977554
528.0,-61.4408641081342
529.0,-61.66051170649289
530.0,-61.88015930485155
531.0,-62.09980690321024
532.0,-62.319454501568906
533.0,-62.5391020999276
534.0,-62.75874969828626
535.0,-62.97839729664495
536.0,-63.19804489500361
537.0,-63.4176924933623
538.0,-63.63734009172098
539.0,-63.856987690079656
540.0,-64.07663528843834
541.0,-64.29628288679702
542.0,-64.51593048515569
543.0,-64.73557808351437
544.0,-64.95522568187305
545.0,-65.17487328023172
546.0,-65.3945208785904
547.0,-65.61416847694908
548.0,-65.83381607530775
549.0,-66.05346367366643
550.0,-66.2731112720251
551.0,-66.49275887038378
552.0,-66.71240646874246
553.0,-66.93205406710113
554.0,-67.15170166545981
555.0,-67.37134926381849
556.0,-67.59099686217716
557.0,-67.81064446053584
558.0,-68.03029205889452
559.0,-68.2499396572532
560.0,-68.46958725561187
561.0,-68.68923485397056
562.0,-68.90888245232924
563.0,-69.12853005068791
564.0,-69.34817764904659
565.0,-69.56782524740527
566.0,-69.78747284576394
567.0,-70.00712044412262
568.0,-70.2267680424813
569.0,-70.44641564083997
570.0,-70.66606323919865
571.0,-70.88571083755733
572.0,-71.105358435916
573.0,-71.3250060342747
574.0,-71.54465363263337
575.0,-71.76430123099205
576.0,-71.98394882935072
577.0,-72.2035964277094
578.0,-72.42324402606808
579.0,-72.64289162442675
580.0,-72.86253922278543
581.0,-73.0821868211441
582.0,-73.30183441950278
583.0,-73.44240888245233
584.0,-73.44460535843592
585.0,-73.44460535843592
586.0,-73.44460535843592
587.0,-73.44460535843592
588.0,-73.44460535843592
589.0,-73.44460535843592
590.0,-73.44460535843592
591.0,-73.44460535843592
592.0,-73.44460535843592
593.0,-73.52367849384504
594.0,-73.74112961622014
595.0,-73.96077721457881
596.0,-74.18042481293749
597.0,-74.40007241129616
598.0,-74.61972000965484
599.0,-74.83936760801352
600.0,-75.0590152063722
601.0,-75.27866280473087
602.0,-75.49831040308955
603.0,-75.71795800144822
604.0,-75.9376055998069
605.0,-76.15725319816558
606.0,-76.37690079652425
607.0,-76.59654839488293
608.0,-76.8161959932416
609.0,-77.03584359160028
610.0,-77.25549118995897
611.0,-77.47513878831765
612.0,-77.69478638667633
613.0,-77.914433985035
614.0,-78.13408158339368
615.0,-78.35372918175236
616.0,-78.57337678011103
617.0,-78.79302437846971
618.0,-79.01267197682839
619.0,-79.23231957518706
620.0,-79.45196717354575
621.0,-79.67161477190443
622.0,-79.8912623702631
623.0,-80.11090996862178
624.0,-80.33055756698046
625.0,-80.55020516533914
626.0,-80.76985276369781
627.0,-80.98950036205649
628.0,-81.20914796041517
629.0,-81.42879555877384
630.0,-81.64844315713252
631.0,-81.8680907554912
632.0,-82.08773835384987
633.0,-82.30738595220855
634.0,-82.52703355056723
635.0,-82.7466811489259
636.0,-82.96632874728458
637.0,-83.18597634564325
638.0,-83.40562394400193
639.0,-83.62527154236061
640.0,-83.84491914071928
641.0,-84.06456673907796
642.0,-84.28421433743664
643.0,-84.50386193579531
644.0,-84.72350953415399
645.0,-84.94315713251267
646.0,-85.16280473087134
647.0,-85.38245232923003
648.0,-85.60209992758871
649.0,-85.82174752594739
650.0,-86.04139512430606
651.0,-86.26104272266474
652.0,-86.48069032102342
653.0,-86.7003379193821
654.0,-86.91998551774077
655.0,-87.13963311609945
656.0,-87.35928071445812
657.0,-87.57892831281681
658.0,-87.79857591117549
659.0,-88.01822350953417
660.0,-88.23787110789284
661.0,-88.45751870625152
662.0,-88.6771663046102
663.0,-88.89681390296887
664.0,-89.11646150132755
665.0,-89.33610909968623
666.0,-89.5557566980449
667.0,-89.77540429640358
668.0,-89.99505189476226
669.0,-90.21469949312093
670.0,-90.43434709147961
671.0,-90.65399468983829
672.0,-90.87364228819696
673.0,-91.09328988655564
674.0,-91.31293748491431
675.0,-91.53258508327299
676.0,-91.75223268163167
677.0,-91.97188027999034
678.0,-92.19152787834902
679.0,-92.4111754767077
680.0,-92.63082307506637
681.0,-92.85047067342505
682.0,-93.07011827178373
683.0,-93.2897658701424
684.0,-93.5094134685011
685.0,-93.72906106685977
686.0,-93.94870866521845
687.0,-94.16835626357712
688.0,-94.3880038619358
689.0,-94.60765146029448
690.0,-94.82729905865315
691.0,-95.04694665701183
692.0,-95.2665942553705
693.0,-95.48624185372918
694.0,-95.70588945208787
695.0,-95.92553705044655
696.0,-96.14518464880523
697.0,-96.3648322471639
698.0,-96.58447984552258
699.0,-96.80412744388126
700.0,-97.02377504223993
701.0,-97.24342264059861
702.0,-97.46307023895729
703.0,-97.68271783731596
704.0,-98.00120685493604
705.0,-98.4405020516534
706.0,-98.87979724837075
707.0,-99.3190924450881
708.0,-99.75838764180546
709.0,-100.0
