Time(sec),ACM1CEGHXTKZP
179.0,-100.0
180.0,-100.0
181.0,-100.0
182.0,-100.0
183.0,-100.0
184.0,-100.0
185.0,-100.0
186.0,-100.0
187.0,-100.0
188.0,-100.0
189.0,-100.0
190.0,-100.0
191.0,-100.0
192.0,-100.0
193.0,-100.0
194.0,-100.0
195.0,-100.0
196.0,-100.0
197.0,-100.0
198.0,-100.0
199.0,-100.0
200.0,-100.0
201.0,-100.0
202.0,-100.0
203.0,-100.0
204.0,-100.0
205.0,-100.0
206.0,-100.0
207.0,-100.0
208.0,-100.0
209.0,-100.0
210.0,-100.0
211.0,-100.0
212.0,-100.0
213.0,-100.0
214.0,-100.0
215.0,-100.0
216.0,-100.0
217.0,-100.0
218.0,-100.0
219.0,-100.0
220.0,-100.0
221.0,-100.0
222.0,-100.0
223.0,-100.0
224.0,-100.0
225.0,-100.0
226.0,-100.0
227.0,-100.0
228.0,-100.0
229.0,-100.0
230.0,-100.0
231.0,-100.0
232.0,-100.0
233.0,-100.0
234.0,-100.0
235.0,-100.0
236.0,-100.0
237.0,-100.0
238.0,-100.0
239.0,-100.0
240.0,-100.0
241.0,-100.0
242.0,-100.0
243.0,-100.0
244.0,-98.72032967032968
245.0,-93.92307692307692
246.0,-90.21153846153847
247.0,-86.5
248.0,-86.5
249.0,-86.5
250.0,-86.5
251.0,-86.5
252.0,-86.5
253.0,-83.91
254.0,-82.8
255.0,-61.085297619047616
256.0,-0.6520833333333336
257.0,30.604761904761904
258.0,31.0
259.0,31.0
260.0,31.0
261.0,31.0
262.0,30.99230769230769
263.0,16.4985347985348
264.0,-66.46666666666667
265.0,-97.766
266.0,-78.22638888888889
267.0,-74.16666666666667
268.0,-74.16666666666667
269.0,-73.7875
270.0,-73.18958333333333
271.0,-73.0
272.0,-72.95
273.0,-71.06
274.0,-68.4
275.0,-68.4
276.0,-68.4
277.0,-68.4
278.0,-68.4
279.0,-68.4
280.0,-68.4
281.0,-64.94625
282.0,-59.0
283.0,-59.0
284.0,-59.0
285.0,-59.0
286.0,-59.0
287.0,-56.916666666666664
288.0,-49.833333333333336
289.0,-43.21041666666667
290.0,-12.970238095238097
291.0,1.9774999999999998
292.0,1.6
293.0,-2.7975000000000003
294.0,-16.490000000000002
295.0,-16.5
296.0,-16.5
297.0,-14.05
298.0,-13.0
299.0,-13.0
300.0,-13.0
301.0,-13.0
302.0,-13.0
303.0,-13.0
304.0,-13.0
305.0,-13.0
306.0,-13.4
307.0,-28.287142857142857
308.0,-29.464285714285715
309.0,-29.978571428571428
310.0,-30.0
311.0,-30.0
312.0,-30.0
313.0,-30.0
314.0,-30.0
315.0,-30.0
316.0,-30.0
317.0,-30.0
318.0,-30.0
319.0,-30.0
320.0,-30.0
321.0,-30.0
322.0,-30.0
323.0,-30.0
324.0,-30.0
325.0,-30.0
326.0,-30.0
327.0,-30.0
328.0,-30.0
329.0,-30.0
330.0,-30.0
331.0,-30.0
332.0,-30.0
333.0,-30.0
334.0,-30.0
335.0,-30.0
336.0,-30.0
337.0,-30.0
338.0,-30.0
339.0,-30.0
340.0,-30.0
341.0,-30.0
342.0,-30.0
343.0,-30.0
344.0,-30.0
345.0,-30.0
346.0,-30.0
347.0,-30.0
348.0,-30.0
349.0,-30.0
350.0,-30.0
351.0,-30.0
352.0,-30.0
353.0,-30.0
354.0,-19.776515151515152
355.0,-13.454545454545457
356.0,-13.454545454545457
357.0,-13.454545454545457
358.0,-13.454545454545457
359.0,-13.454545454545457
360.0,-3.6342171717171725
361.0,17.0
362.0,17.0
363.0,17.0
364.0,17.0
365.0,17.0
366.0,17.0
367.0,17.0
368.0,17.0
369.0,17.0
370.0,17.0
371.0,17.0
372.0,17.0
373.0,17.0
374.0,17.0
375.0,17.0
376.0,17.0
377.0,17.0
378.0,17.0
379.0,17.0
380.0,17.0
381.0,18.769454365079362
382.0,35.62
383.0,35.62
384.0,41.362
385.0,43.73642857142857
386.0,52.9
387.0,58.66833333333333
388.0,98.11025641025641
389.0,100.0
390.0,100.0
391.0,100.0
392.0,100.0
393.0,100.0
394.0,100.0
395.0,82.96955128205128
396.0,58.5
397.0,58.5
398.0,58.5
399.0,58.5
400.0,56.42727272727272
401.0,34.26825757575757
402.0,7.605833333333334
403.0,1.0
404.0,1.0
405.0,1.0
406.0,1.0
407.0,1.0
408.0,1.0
409.0,1.0
410.0,1.0
411.0,1.0
412.0,1.0
413.0,1.0
414.0,1.0
415.0,1.0
416.0,1.0
417.0,1.0
418.0,1.0
419.0,1.0
420.0,1.0
421.0,1.0
422.0,1.0
423.0,1.0
424.0,1.0
425.0,1.0
426.0,1.0
427.0,1.0
428.0,1.0
429.0,1.0
430.0,1.0
431.0,1.0
432.0,1.0
433.0,1.0
434.0,1.0
435.0,1.0
436.0,1.0
437.0,1.0
438.0,1.0
439.0,1.0
440.0,1.0
441.0,1.0
442.0,1.0
443.0,1.0
444.0,1.0
445.0,1.0
446.0,1.0
447.0,1.0
448.0,1.0
449.0,1.0
450.0,1.0
451.0,1.0
452.0,1.0
453.0,1.0
454.0,1.0
455.0,1.0
456.0,1.0
457.0,1.0
458.0,1.0
459.0,1.0
460.0,1.0
461.0,1.0
462.0,1.0
463.0,1.0
464.0,1.0
465.0,1.0
466.0,1.0
467.0,1.0
468.0,1.0
469.0,1.0
470.0,1.0
471.0,1.0
472.0,1.0
473.0,1.0
474.0,1.0
475.0,1.0
476.0,1.0
477.0,1.0
478.0,1.0
479.0,1.0
480.0,1.0
481.0,1.0
482.0,1.0
483.0,1.0
484.0,1.0
485.0,1.0
486.0,1.0
487.0,1.0
488.0,1.0
489.0,1.0
490.0,1.0
491.0,1.0
492.0,1.0
493.0,1.0
494.0,1.0
495.0,1.0
496.0,1.0
497.0,1.0
498.0,1.0
499.0,1.0
500.0,1.0
501.0,1.0
502.0,1.0
503.0,1.0
504.0,1.0
505.0,1.0
506.0,1.0
507.0,1.0
508.0,1.0
509.0,1.0
510.0,1.0
511.0,1.0
512.0,1.0
513.0,1.0
514.0,1.0
515.0,1.0
516.0,1.0
517.0,1.0
518.0,1.0
519.0,1.0
520.0,1.0
521.0,1.0
522.0,1.0
523.0,1.0
524.0,1.0
525.0,1.0
526.0,1.0
527.0,1.0
528.0,1.0
529.0,1.0
530.0,1.0
531.0,1.0
532.0,1.0
533.0,1.0
534.0,1.0
535.0,1.0
536.0,0.8
537.0,-8.164047619047619
538.0,-53.57883597883598
539.0,-97.825
540.0,-99.5
541.0,-99.5
542.0,-99.5
543.0,-99.5
544.0,-99.5
545.0,-99.5
546.0,-99.5
547.0,-99.5
548.0,-99.5
549.0,-99.6076923076923
550.0,-99.9423076923077
551.0,-100.0
552.0,-100.0
553.0,-100.0
554.0,-100.0
555.0,-100.0
556.0,-100.0
557.0,-100.0
558.0,-100.0
559.0,-100.0
560.0,-100.0
561.0,-100.0
562.0,-100.0
563.0,-100.0
564.0,-100.0
565.0,-100.0
566.0,-100.0
567.0,-100.0
568.0,-100.0
569.0,-100.0
570.0,-100.0
571.0,-100.0
572.0,-100.0
573.0,-100.0
574.0,-100.0
575.0,-100.0
576.0,-100.0
577.0,-100.0
578.0,-100.0
579.0,-100.0
580.0,-100.0
581.0,-100.0
582.0,-100.0
583.0,-100.0
584.0,-100.0
