Time(sec),A3ST8XFT4X93K
180.0,58.671428571428564
181.0,62.98333333333333
182.0,63.761111111111106
183.0,67.42222222222222
184.0,74.4
185.0,75.0
186.0,75.0
187.0,75.0
188.0,75.0
189.0,75.0
190.0,75.0
191.0,75.0
192.0,75.0
193.0,75.0
194.0,75.0
195.0,75.0
196.0,75.0
197.0,75.0
198.0,75.0
199.0,75.0
200.0,75.0
201.0,75.0
202.0,75.0
203.0,75.0
204.0,75.0
205.0,75.06363636363636
206.0,75.2840909090909
207.0,75.51136363636364
208.0,75.73863636363636
209.0,77.26227272727273
210.0,96.36018518518519
211.0,99.46296296296296
212.0,99.58641975308642
213.0,99.70987654320987
214.0,99.83333333333334
215.0,99.95555555555555
216.0,100.0
217.0,100.0
218.0,100.0
219.0,100.0
220.0,100.0
221.0,100.0
222.0,100.0
223.0,100.0
224.0,100.0
225.0,99.6375
226.0,77.4436217948718
227.0,43.649365079365076
228.0,20.806666666666665
229.0,0.15364010989010984
230.0,-20.45661519036519
231.0,-35.522301587301584
232.0,-72.48064782439783
233.0,-55.83641414141414
234.0,-31.659204184704187
235.0,-6.12061759573117
236.0,15.774941448801744
237.0,66.9967599067599
238.0,99.5504132231405
239.0,82.32998081463991
240.0,40.64307692307692
241.0,25.2
242.0,25.2
243.0,25.2
244.0,28.307070707070704
245.0,32.62626262626263
246.0,33.9030303030303
247.0,34.0
248.0,34.0
249.0,34.0
250.0,34.0
251.0,34.0
252.0,34.0
253.0,34.0
254.0,34.0
255.0,34.0
256.0,34.0
257.0,34.0
258.0,34.0
259.0,34.0
260.0,34.0
261.0,34.0
262.0,34.0
263.0,34.0
264.0,34.0
265.0,34.0
266.0,34.0
267.0,34.0
268.0,34.0
269.0,34.0
270.0,34.0
271.0,34.0
272.0,34.0
273.0,34.0
274.0,34.0
275.0,34.0
276.0,34.0
277.0,34.0
278.0,34.0
279.0,34.0
280.0,34.0
281.0,34.0
282.0,34.0
283.0,34.0
284.0,34.0
285.0,34.0
286.0,34.0
287.0,34.0
288.0,34.0
289.0,34.0
290.0,34.0
291.0,34.0
292.0,34.0
293.0,34.0
294.0,34.0
295.0,34.0
296.0,34.0
297.0,34.0
298.0,34.0
299.0,34.0
300.0,34.0
301.0,34.0
302.0,34.0
303.0,34.0
304.0,34.0
305.0,34.0
306.0,34.0
307.0,34.0
308.0,34.0
309.0,34.0
310.0,34.0
311.0,34.0
312.0,34.0
313.0,34.0
314.0,34.0
315.0,34.0
316.0,34.0
317.0,33.460740740740746
318.0,30.728148148148147
319.0,9.984166666666667
320.0,-15.607619047619048
321.0,-42.54833333333333
322.0,-49.78110429447853
323.0,-39.165644171779135
324.0,-38.1840490797546
325.0,-37.20245398773007
326.0,-36.22085889570552
327.0,-35.23926380368098
328.0,-34.25766871165644
329.0,-33.2760736196319
330.0,-32.29447852760736
331.0,-31.4159509202454
332.0,-30.895705521472394
333.0,-30.404907975460123
334.0,-29.914110429447852
335.0,-29.423312883435585
336.0,-28.932515337423315
337.0,-28.441717791411044
338.0,-27.95092024539877
339.0,-27.4601226993865
340.0,-26.969325153374236
341.0,-26.47852760736196
342.0,-25.98773006134969
343.0,-25.6
344.0,-25.570552147239262
345.0,-25.570552147239262
346.0,-25.570552147239262
347.0,-25.570552147239262
348.0,-25.570552147239262
349.0,-25.570552147239262
350.0,-25.570552147239262
351.0,-25.570552147239262
352.0,-25.570552147239262
353.0,-25.467484662576688
354.0,-25.006134969325153
355.0,-24.515337423312882
356.0,-24.024539877300615
357.0,-23.533742331288344
358.0,-23.042944785276074
359.0,-22.552147239263803
360.0,-22.061349693251536
361.0,-21.570552147239262
362.0,-21.07975460122699
363.0,-20.588957055214724
364.0,-20.098159509202453
365.0,-19.607361963190183
366.0,-19.116564417177916
367.0,-18.625766871165645
368.0,-18.13496932515337
369.0,-17.644171779141104
370.0,-17.153374233128837
371.0,-16.662576687116562
372.0,-16.17177914110429
373.0,-15.680981595092025
374.0,-15.190184049079756
375.0,-14.699386503067483
376.0,-14.208588957055216
377.0,-13.717791411042944
378.0,-13.226993865030675
379.0,-12.736196319018404
380.0,-12.2159509202454
381.0,-11.337423312883434
382.0,-10.355828220858895
383.0,-9.374233128834355
384.0,-8.392638036809815
385.0,-7.411042944785277
386.0,-6.429447852760734
387.0,-5.447852760736195
388.0,-4.4662576687116555
389.0,-3.4846625766871164
390.0,-2.5325153374233116
391.0,-1.9386503067484653
392.0,-1.4478527607361955
393.0,-0.9570552147239262
394.0,-0.4662576687116555
395.0,0.02453987730061513
396.0,0.5153374233128843
397.0,1.0061349693251542
398.0,1.4969325153374236
399.0,1.9877300613496942
400.0,2.478527607361965
401.0,2.969325153374234
402.0,3.460122699386504
403.0,3.9509202453987733
404.0,4.441717791411044
405.0,4.932515337423315
406.0,5.4233128834355835
407.0,5.914110429447854
408.0,6.404907975460122
409.0,6.895705521472394
410.0,7.386503067484665
411.0,7.877300613496933
412.0,8.368098159509204
413.0,8.858895705521473
414.0,9.349693251533743
415.0,9.840490797546014
416.0,10.331288343558283
417.0,10.822085889570554
418.0,11.312883435582823
419.0,11.803680981595093
420.0,12.294478527607364
421.0,12.785276073619633
422.0,13.276073619631905
423.0,13.766871165644172
424.0,14.257668711656441
425.0,14.748466257668714
426.0,15.239263803680984
427.0,15.730061349693253
428.0,16.220858895705522
429.0,16.711656441717793
430.0,17.202453987730063
431.0,17.693251533742334
432.0,18.1840490797546
433.0,18.67484662576687
434.0,19.165644171779142
435.0,19.656441717791413
436.0,20.14723926380368
437.0,20.63803680981595
438.0,21.128834355828225
439.0,21.619631901840492
440.0,22.110429447852763
441.0,22.601226993865033
442.0,23.018404907975462
443.0,23.06748466257669
444.0,23.06748466257669
445.0,23.06748466257669
446.0,23.06748466257669
447.0,23.06748466257669
448.0,23.06748466257669
449.0,23.06748466257669
450.0,23.06748466257669
451.0,23.06748466257669
452.0,23.14110429447853
453.0,23.58282208588957
454.0,24.073619631901842
455.0,24.564417177914113
456.0,25.055214723926383
457.0,25.54601226993865
458.0,26.03680981595092
459.0,26.52760736196319
460.0,27.018404907975462
461.0,27.509202453987733
462.0,28.0
463.0,28.49079754601227
464.0,28.98159509202454
465.0,29.47239263803681
466.0,29.963190184049086
467.0,30.45398773006135
468.0,30.944785276073624
469.0,31.435582822085895
470.0,31.926380368098158
471.0,32.41717791411043
472.0,32.9079754601227
473.0,33.39877300613497
474.0,33.88957055214724
475.0,34.38036809815951
476.0,34.87116564417178
477.0,35.361963190184056
478.0,35.852760736196316
479.0,36.34355828220859
480.0,36.834355828220865
481.0,37.325153374233125
482.0,37.8159509202454
483.0,38.30674846625767
484.0,38.79754601226994
485.0,39.293251533742335
486.0,40.09815950920246
487.0,41.079754601226995
488.0,42.061349693251536
489.0,43.04294478527608
490.0,44.02453987730062
491.0,45.00613496932515
492.0,45.987730061349694
493.0,46.969325153374236
494.0,47.95092024539878
495.0,48.92760736196319
496.0,49.59509202453988
497.0,50.08588957055215
498.0,50.57668711656442
499.0,51.06748466257669
500.0,51.558282208588956
501.0,52.04907975460124
502.0,52.5398773006135
503.0,53.030674846625764
504.0,53.521472392638046
505.0,54.012269938650306
506.0,54.50306748466257
507.0,54.993865030674854
508.0,55.484662576687114
509.0,55.97546012269938
510.0,56.46625766871166
511.0,56.95705521472392
512.0,57.447852760736204
513.0,57.93865030674847
514.0,58.42944785276073
515.0,58.92024539877301
516.0,59.41104294478528
517.0,59.901840490797554
518.0,60.28957055214725
519.0,60.31901840490798
520.0,60.31901840490798
521.0,60.31901840490798
522.0,60.31901840490798
523.0,60.31901840490798
524.0,60.31901840490798
525.0,60.31901840490798
526.0,60.31901840490798
527.0,60.31901840490798
528.0,60.42208588957055
529.0,60.88343558282209
530.0,61.37423312883436
531.0,61.86503067484663
532.0,62.355828220858896
533.0,62.84662576687117
534.0,63.33742331288344
535.0,63.828220858895705
536.0,64.31901840490798
537.0,64.80981595092024
538.0,65.30061349693253
539.0,65.79141104294479
540.0,66.28220858895706
541.0,66.77300613496934
542.0,67.2638036809816
543.0,67.75460122699387
544.0,68.24539877300614
545.0,68.7361963190184
546.0,69.22699386503068
547.0,69.71779141104295
548.0,70.20858895705521
549.0,70.69938650306749
550.0,71.19018404907976
551.0,71.68098159509202
552.0,72.1717791411043
553.0,72.66257668711657
554.0,73.15337423312884
555.0,73.6441717791411
556.0,74.13496932515338
557.0,74.62576687116565
558.0,75.11656441717791
559.0,75.60736196319019
560.0,76.09815950920246
561.0,76.58895705521472
562.0,77.079754601227
563.0,77.57055214723927
564.0,78.06134969325153
565.0,78.5521472392638
566.0,79.04294478527608
567.0,79.53374233128834
568.0,80.02453987730061
569.0,80.51533742331289
570.0,81.00613496932516
571.0,81.49693251533742
572.0,81.9877300613497
573.0,82.47852760736197
574.0,82.96932515337423
575.0,83.46012269938652
576.0,83.95092024539878
577.0,84.44171779141104
578.0,84.93251533742333
579.0,85.42331288343559
580.0,85.91411042944785
581.0,86.40490797546013
582.0,86.8957055214724
583.0,87.38650306748467
584.0,87.87730061349694
585.0,88.36809815950922
586.0,88.85889570552148
587.0,89.34969325153375
588.0,89.84049079754602
589.0,90.33128834355828
590.0,90.82208588957056
591.0,91.53374233128835
592.0,92.51533742331289
593.0,93.49693251533742
594.0,94.47852760736197
595.0,95.46012269938652
596.0,96.0
