Time(sec),A2YP8M9VHFXZV
208.0,100.0
209.0,100.0
210.0,100.0
211.0,100.0
212.0,100.0
213.0,100.0
214.0,100.0
215.0,100.0
216.0,100.0
217.0,100.0
218.0,100.0
219.0,100.0
220.0,100.0
221.0,100.0
222.0,100.0
223.0,100.0
224.0,100.0
225.0,100.0
226.0,100.0
227.0,100.0
228.0,100.0
229.0,100.0
230.0,100.0
231.0,100.0
232.0,100.0
233.0,100.0
234.0,100.0
235.0,100.0
236.0,100.0
237.0,100.0
238.0,100.0
239.0,100.0
240.0,100.0
241.0,100.0
242.0,100.0
243.0,100.0
244.0,100.0
245.0,100.0
246.0,100.0
247.0,100.0
248.0,100.0
249.0,100.0
250.0,100.0
251.0,100.0
252.0,100.0
253.0,100.0
254.0,100.0
255.0,100.0
256.0,100.0
257.0,100.0
258.0,100.0
259.0,100.0
260.0,100.0
261.0,100.0
262.0,100.0
263.0,100.0
264.0,100.0
265.0,100.0
266.0,100.0
267.0,100.0
268.0,100.0
269.0,100.0
270.0,100.0
271.0,100.0
272.0,100.0
273.0,100.0
274.0,100.0
275.0,100.0
276.0,100.0
277.0,100.0
278.0,100.0
279.0,100.0
280.0,100.0
281.0,100.0
282.0,100.0
283.0,100.0
284.0,100.0
285.0,100.0
286.0,100.0
287.0,100.0
288.0,100.0
289.0,100.0
290.0,100.0
291.0,100.0
292.0,100.0
293.0,100.0
294.0,100.0
295.0,100.0
296.0,100.0
297.0,100.0
298.0,100.0
299.0,100.0
300.0,100.0
301.0,100.0
302.0,100.0
303.0,100.0
304.0,100.0
305.0,100.0
306.0,100.0
307.0,99.97419354838709
308.0,99.90322580645162
309.0,99.831541218638
310.0,99.75985663082437
311.0,99.68817204301075
312.0,99.61648745519713
313.0,99.54480286738351
314.0,99.47311827956989
315.0,99.40143369175627
316.0,93.74366271165493
317.0,85.87068965517241
318.0,85.69827586206897
319.0,85.52586206896551
320.0,85.35344827586206
321.0,85.18103448275862
322.0,82.12252873563219
323.0,60.79571428571429
324.0,56.92272727272727
325.0,31.38469502719503
326.0,3.8109615384615383
327.0,-13.084615384615384
328.0,-13.538461538461538
329.0,-13.538461538461538
330.0,-13.538461538461538
331.0,-13.538461538461538
332.0,-13.538461538461538
333.0,-13.538461538461538
334.0,-13.538461538461538
335.0,-13.538461538461538
336.0,-13.538461538461538
337.0,-27.895859695859695
338.0,-74.42619981325863
339.0,-99.82333333333334
340.0,-100.0
341.0,-100.0
342.0,-100.0
343.0,-100.0
344.0,-100.0
345.0,-100.0
346.0,-100.0
347.0,-100.0
348.0,-100.0
349.0,-100.0
350.0,-100.0
351.0,-100.0
352.0,-100.0
353.0,-100.0
354.0,-100.0
355.0,-100.0
356.0,-100.0
357.0,-100.0
358.0,-100.0
359.0,-100.0
360.0,-100.0
361.0,-100.0
362.0,-100.0
363.0,-100.0
364.0,-100.0
365.0,-100.0
366.0,-100.0
367.0,-99.88297872340425
368.0,-99.67021276595746
369.0,-99.45744680851064
370.0,-99.24468085106382
371.0,-97.42468085106383
372.0,-74.65285714285714
373.0,-52.657174251264095
374.0,-50.51706534422404
375.0,-49.66233955659276
376.0,-48.807613768961495
377.0,-47.95288798133022
378.0,-47.09816219369895
379.0,-46.24343640606768
380.0,-45.388710618436406
381.0,-44.53398483080513
382.0,-43.679259043173865
383.0,-42.82453325554259
384.0,-41.969807467911316
385.0,-41.11508168028005
386.0,-40.260355892648775
387.0,-39.4056301050175
388.0,-38.550904317386234
389.0,-37.69617852975496
390.0,-36.841452742123685
391.0,-35.98672695449242
392.0,-35.132001166861144
393.0,-34.27727537922987
394.0,-33.422549591598596
395.0,-32.56782380396733
396.0,-31.713098016336055
397.0,-30.85837222870478
398.0,-30.00364644107351
399.0,-29.14892065344224
400.0,-28.294194865810965
401.0,-27.439469078179695
402.0,-26.58474329054842
403.0,-25.73001750291715
404.0,-24.87529171528588
405.0,-24.02056592765461
406.0,-23.165840140023334
407.0,-22.311114352392064
408.0,-21.456388564760793
409.0,-20.60166277712952
410.0,-19.746936989498245
411.0,-18.892211201866974
412.0,-18.037485414235704
413.0,-17.18275962660443
414.0,-16.32803383897316
415.0,-15.473308051341888
416.0,-14.618582263710616
417.0,-13.763856476079344
418.0,-12.909130688448073
419.0,-12.0544049008168
420.0,-11.199679113185528
421.0,-10.344953325554256
422.0,-9.490227537922985
423.0,-8.635501750291713
424.0,-7.78077596266044
425.0,-6.926050175029168
426.0,-6.071324387397897
427.0,-5.216598599766624
428.0,-4.361872812135353
429.0,-3.5071470245040812
430.0,-2.652421236872808
431.0,-1.7976954492415373
432.0,-0.9429696616102646
433.0,-0.08824387397899258
434.0,0.7664819136522787
435.0,1.6212077012835509
436.0,2.475933488914823
437.0,3.3306592765460947
438.0,4.1853850641773676
439.0,5.040110851808638
440.0,5.8948366394399105
441.0,6.749562427071183
442.0,7.604288214702453
443.0,8.459014002333728
444.0,9.313739789964998
445.0,10.16846557759627
446.0,11.023191365227543
447.0,11.877917152858814
448.0,12.732642940490086
449.0,13.587368728121358
450.0,14.442094515752629
451.0,15.296820303383901
452.0,16.151546091015174
453.0,17.006271878646448
454.0,17.86099766627772
455.0,18.71572345390899
456.0,19.570449241540263
457.0,20.425175029171534
458.0,21.279900816802805
459.0,22.13462660443408
460.0,22.98935239206535
461.0,23.844078179696623
462.0,24.698803967327894
463.0,25.553529754959165
464.0,26.40825554259044
465.0,27.26298133022171
466.0,28.11770711785298
467.0,28.972432905484254
468.0,29.827158693115525
469.0,30.681884480746795
470.0,31.53661026837807
471.0,32.39133605600934
472.0,33.24606184364061
473.0,34.100787631271885
474.0,34.95551341890315
475.0,35.81023920653443
476.0,36.6649649941657
477.0,37.51969078179697
478.0,38.37441656942825
479.0,39.229142357059516
480.0,40.08386814469079
481.0,40.938593932322064
482.0,41.79331971995333
483.0,42.648045507584605
484.0,43.50277129521588
485.0,44.357497082847146
486.0,45.21222287047842
487.0,46.066948658109695
488.0,46.92167444574096
489.0,47.49434072345392
490.0,47.8875145857643
491.0,48.280688448074685
492.0,48.673862310385076
493.0,49.058488914819144
494.0,49.45166277712953
495.0,49.84483663943992
496.0,50.238010501750296
497.0,50.63118436406069
498.0,51.01581096849476
499.0,51.40898483080514
500.0,51.80215869311553
501.0,52.186785297549605
502.0,52.58850641773629
503.0,52.97313302217037
504.0,53.37485414235707
505.0,53.759480746791134
506.0,54.144107351225216
507.0,54.639848308051356
508.0,55.46893232205368
509.0,56.323658109684956
510.0,57.17838389731622
511.0,58.0331096849475
512.0,58.88783547257877
513.0,59.74256126021004
514.0,60.59728704784131
515.0,61.45201283547259
516.0,62.306738623103854
517.0,63.16146441073513
518.0,64.0161901983664
519.0,64.87091598599767
520.0,65.72564177362895
521.0,66.58036756126022
522.0,67.4350933488915
523.0,68.28981913652277
524.0,69.14454492415403
525.0,69.99927071178531
526.0,70.85399649941658
527.0,71.70872228704785
528.0,72.56344807467913
529.0,73.4181738623104
530.0,74.27289964994166
531.0,75.12762543757295
532.0,75.98235122520421
533.0,76.83707701283548
534.0,77.69180280046676
535.0,78.78585180863477
536.0,80.46966161026839
537.0,82.17911318553092
538.0,83.88856476079347
539.0,85.59801633605602
540.0,87.30746791131857
541.0,89.0169194865811
542.0,90.72637106184365
543.0,92.4358226371062
544.0,94.14527421236873
545.0,74.07090909090908
546.0,70.27272727272727
547.0,70.27272727272727
548.0,70.27272727272727
549.0,70.27272727272727
550.0,70.27272727272727
551.0,70.27272727272727
552.0,70.27272727272727
553.0,70.27272727272727
554.0,70.27272727272727
555.0,57.88034632034631
556.0,7.416854256854256
557.0,-38.94444444444444
558.0,-77.63333333333334
559.0,-95.25
560.0,-95.8
561.0,-96.0
562.0,-96.0
563.0,-96.0
564.0,-96.0
565.0,-96.0
566.0,-96.0
567.0,-96.0
568.0,-96.0
569.0,-96.0
570.0,-96.0
571.0,-96.0
572.0,-96.0
573.0,-96.0
574.0,-96.0
575.0,-96.0
576.0,-96.0
577.0,-96.0
578.0,-96.0
579.0,-96.0
580.0,-96.0
581.0,-96.0
582.0,-96.0
583.0,-96.0
584.0,-96.0
585.0,-96.0
586.0,-96.0
587.0,-96.0
588.0,-96.0
589.0,-96.0
590.0,-96.0
591.0,-96.0
592.0,-96.0
593.0,-96.0
594.0,-96.0
595.0,-96.0
596.0,-96.0
597.0,-96.0
598.0,-96.0
599.0,-96.0
600.0,-96.0
601.0,-96.0
602.0,-96.0
603.0,-96.0
604.0,-96.0
605.0,-96.0
606.0,-96.0
607.0,-96.0
608.0,-96.0
609.0,-96.0
610.0,-96.0
611.0,-96.0
612.0,-96.0
613.0,-96.0
614.0,-96.0
615.0,-96.0
616.0,-96.0
617.0,-96.0
618.0,-96.0
619.0,-96.0
620.0,-96.0
621.0,-96.0
622.0,-96.0
623.0,-96.0
624.0,-96.0
625.0,-96.0
626.0,-96.0
627.0,-96.0
628.0,-96.0
629.0,-96.0
630.0,-96.0
631.0,-96.0
632.0,-96.0
633.0,-96.0
634.0,-96.0
635.0,-96.0
636.0,-96.0
637.0,-96.0
638.0,-96.0
639.0,-96.0
640.0,-96.0
