Time(sec),AF8GOPFSTWCH8
0.0,-100.0
1.0,-100.0
2.0,-99.91666666666666
3.0,-84.15
4.0,-56.94907233989843
5.0,-43.86840579710145
6.0,-43.35826086956522
7.0,-42.84811594202899
8.0,-42.33797101449276
9.0,-41.82782608695653
10.0,-41.317681159420296
11.0,-40.80753623188406
12.0,-40.297391304347826
13.0,-39.787246376811595
14.0,-39.277101449275364
15.0,-38.76695652173913
16.0,-34.68537060041408
17.0,-31.25
18.0,-27.16815476190476
19.0,-20.0
20.0,-20.0
21.0,-20.0
22.0,-20.0
23.0,-20.0
24.0,-20.0
25.0,-20.0
26.0,-20.0
27.0,-20.0
28.0,-20.0
29.0,-20.0
30.0,-20.0
31.0,-20.0
32.0,-20.0
33.0,-20.0
34.0,-20.0
35.0,-20.0
36.0,-20.0
37.0,-20.0
38.0,-20.0
39.0,-20.0
40.0,-20.0
41.0,-20.0
42.0,-20.0
43.0,-20.0
44.0,-20.0
45.0,-20.0
46.0,-20.0
47.0,-20.0
48.0,-20.0
49.0,-20.0
50.0,-20.0
51.0,-20.0
52.0,-20.0
53.0,-20.0
54.0,-18.366666666666667
55.0,-3.288181818181818
56.0,0.07727272727272731
57.0,0.8954545454545455
58.0,2.0179545454545456
59.0,12.73
60.0,13.0
61.0,13.0
62.0,13.0
63.0,13.0
64.0,13.0
65.0,13.0
66.0,13.0
67.0,13.0
68.0,13.0
69.0,13.0
70.0,13.0
71.0,13.0
72.0,13.0
73.0,13.0
74.0,13.0
75.0,13.0
76.0,13.0
77.0,13.0
78.0,13.0
79.0,13.0
80.0,13.0
81.0,13.0
82.0,15.33419191919192
83.0,38.97374608123606
84.0,52.06666666666668
85.0,52.955555555555556
86.0,53.84444444444445
87.0,69.946
88.0,96.00870879120879
89.0,98.04578754578753
90.0,98.36813186813188
91.0,98.69047619047619
92.0,79.23136117019182
93.0,32.50851923838042
94.0,-27.426602258852256
95.0,-84.66288197767145
96.0,-100.0
97.0,-100.0
98.0,-100.0
99.0,-100.0
100.0,-100.0
101.0,-100.0
102.0,-100.0
103.0,-100.0
104.0,-100.0
105.0,-100.0
106.0,-100.0
107.0,-100.0
108.0,-100.0
109.0,-100.0
110.0,-100.0
111.0,-100.0
112.0,-100.0
113.0,-100.0
114.0,-100.0
115.0,-100.0
116.0,-100.0
117.0,-100.0
118.0,-100.0
119.0,-100.0
120.0,-100.0
121.0,-100.0
122.0,-100.0
123.0,-100.0
124.0,-100.0
125.0,-100.0
126.0,-100.0
127.0,-100.0
128.0,-100.0
129.0,-100.0
130.0,-100.0
131.0,-100.0
132.0,-100.0
133.0,-100.0
134.0,-100.0
135.0,-100.0
136.0,-100.0
137.0,-100.0
138.0,-100.0
139.0,-100.0
140.0,-100.0
141.0,-100.0
142.0,-100.0
143.0,-100.0
144.0,-100.0
145.0,-100.0
146.0,-100.0
147.0,-100.0
148.0,-100.0
149.0,-100.0
150.0,-100.0
151.0,-100.0
152.0,-100.0
153.0,-100.0
154.0,-100.0
155.0,-100.0
156.0,-100.0
157.0,-100.0
158.0,-100.0
159.0,-100.0
160.0,-100.0
161.0,-100.0
162.0,-100.0
163.0,-100.0
164.0,-100.0
165.0,-96.91727272727272
166.0,-87.86877192982456
167.0,-87.29684210526315
168.0,-86.72491228070176
169.0,-86.15298245614035
170.0,-85.58105263157896
171.0,-85.00912280701755
172.0,-84.43719298245614
