Time(sec),AQNCH42WD4ITI
185.0,-21.0
186.0,-21.0
187.0,-27.640320616883116
188.0,-48.94974747474747
189.0,-71.8236111111111
190.0,-96.98646723646723
191.0,-99.85384615384615
192.0,-100.0
193.0,-100.0
194.0,-100.0
195.0,-100.0
196.0,-100.0
197.0,-100.0
198.0,-100.0
199.0,-100.0
200.0,-100.0
201.0,-100.0
202.0,-100.0
203.0,-100.0
204.0,-100.0
205.0,-100.0
206.0,-100.0
207.0,-100.0
208.0,-100.0
209.0,-100.0
210.0,-100.0
211.0,-100.0
212.0,-100.0
213.0,-100.0
214.0,-100.0
215.0,-100.0
216.0,-100.0
217.0,-100.0
218.0,-100.0
219.0,-100.0
220.0,-100.0
221.0,-100.0
222.0,-100.0
223.0,-100.0
224.0,-100.0
225.0,-100.0
226.0,-100.0
227.0,-100.0
228.0,-100.0
229.0,-100.0
230.0,-100.0
231.0,-100.0
232.0,-100.0
233.0,-100.0
234.0,-100.0
235.0,-100.0
236.0,-100.0
237.0,-100.0
238.0,-100.0
239.0,-100.0
240.0,-100.0
241.0,-100.0
242.0,-100.0
243.0,-100.0
244.0,-100.0
245.0,-100.0
246.0,-99.9993626513703
247.0,-99.99553855959209
248.0,-99.99128956872742
249.0,-99.98704057786276
250.0,-99.98279158699809
251.0,-99.97854259613341
252.0,-99.97429360526874
253.0,-99.97004461440409
254.0,-99.9657956235394
255.0,-99.96154663267474
256.0,-99.95729764181007
257.0,-99.9530486509454
258.0,-99.94879966008072
259.0,-99.94455066921606
260.0,-99.9403016783514
261.0,-99.93605268748672
262.0,-99.93180369662204
263.0,-99.92755470575739
264.0,-99.92330571489272
265.0,-99.91905672402804
266.0,-99.91480773316337
267.0,-99.9105587422987
268.0,-99.90630975143404
269.0,-99.90206076056936
270.0,-99.8978117697047
271.0,-99.89356277884002
272.0,-99.88931378797535
273.0,-99.88506479711069
274.0,-99.88081580624602
275.0,-99.87656681538134
276.0,-99.87231782451667
277.0,-99.86806883365202
278.0,-99.86381984278734
279.0,-99.85957085192267
280.0,-99.855321861058
281.0,-99.85107287019333
282.0,-99.84682387932865
283.0,-99.84257488846399
284.0,-99.83832589759932
285.0,-99.83407690673465
286.0,-99.82982791586997
287.0,-99.82557892500532
288.0,-99.82132993414064
289.0,-99.81708094327597
290.0,-99.8128319524113
291.0,-99.80858296154663
292.0,-99.80433397068195
293.0,-99.80008497981729
294.0,-99.79583598895263
295.0,-99.79158699808795
296.0,-99.78733800722328
297.0,-99.78308901635862
298.0,-99.77884002549395
299.0,-99.77459103462927
300.0,-99.7703420437646
301.0,-99.76609305289993
302.0,-99.76184406203527
303.0,-99.75759507117058
304.0,-99.75334608030593
305.0,-99.74909708944126
306.0,-99.74484809857658
307.0,-99.74059910771192
308.0,-99.73635011684725
309.0,-99.73210112598258
310.0,-99.7278521351179
311.0,-99.72360314425325
312.0,-99.71935415338857
313.0,-99.7151051625239
314.0,-99.71085617165923
315.0,-99.70660718079456
316.0,-99.70235818992988
317.0,-99.69810919906521
318.0,-99.69386020820055
319.0,-99.68961121733588
320.0,-99.68536222647121
321.0,-99.68111323560655
322.0,-99.67686424474188
323.0,-99.6726152538772
324.0,-99.66836626301253
325.0,-99.66411727214786
326.0,-99.6598682812832
327.0,-99.65561929041851
328.0,-99.65137029955386
329.0,-99.64712130868918
330.0,-99.64287231782451
331.0,-99.63862332695984
332.0,-99.63437433609518
333.0,-99.6301253452305
334.0,-99.62587635436583
335.0,-99.62162736350118
336.0,-99.6173783726365
337.0,-99.61312938177183
338.0,-99.60888039090716
339.0,-99.60463140004249
340.0,-99.60038240917781
341.0,-99.59613341831314
342.0,-99.59188442744848
343.0,-99.58763543658381
344.0,-99.58338644571913
345.0,-99.57913745485448
346.0,-99.57488846398981
347.0,-99.57063947312513
348.0,-99.56639048226046
349.0,-99.56214149139579
350.0,-99.55789250053112
351.0,-99.55364350966644
352.0,-99.54939451880179
353.0,-99.54514552793711
354.0,-99.54089653707244
355.0,-99.53664754620777
356.0,-99.53239855534311
357.0,-99.52814956447843
358.0,-99.52390057361376
359.0,-99.51965158274909
360.0,-99.51540259188442
361.0,-99.51115360101976
362.0,-99.50690461015509
363.0,-99.50265561929042
364.0,-99.49840662842574
365.0,-99.49415763756107
366.0,-99.4899086466964
367.0,-99.48565965583174
368.0,-99.48141066496706
369.0,-99.4771616741024
370.0,-99.47291268323772
371.0,-99.46866369237306
372.0,-99.46441470150839
373.0,-99.46016571064372
374.0,-99.45591671977904
375.0,-99.45166772891437
376.0,-99.44741873804972
377.0,-99.44316974718504
378.0,-99.43892075632037
379.0,-99.4346717654557
380.0,-99.43042277459104
381.0,-99.42617378372636
382.0,-99.42192479286169
383.0,-99.41767580199702
384.0,-99.41342681113235
385.0,-99.40917782026767
386.0,-99.40492882940302
387.0,-99.40067983853835
388.0,-99.39643084767367
389.0,-99.392181856809
390.0,-99.38793286594434
391.0,-99.38368387507967
392.0,-99.37943488421499
393.0,-99.37518589335033
394.0,-99.37093690248565
395.0,-99.36668791162099
396.0,-99.36243892075632
397.0,-99.35818992989165
398.0,-99.35394093902697
399.0,-99.3496919481623
400.0,-99.34544295729764
401.0,-99.34119396643297
402.0,-99.33694497556829
403.0,-89.80288120207814
404.0,-79.0
405.0,-81.06476190476191
406.0,-90.29842964375075
407.0,-97.46074109376862
408.0,-97.5036339806982
409.0,-97.54652686762779
410.0,-97.58941975455737
411.0,-97.63231264148695
412.0,-97.67520552841654
413.0,-97.71359466221853
414.0,-97.7363278922912
415.0,-97.757774335756
416.0,-97.77922077922078
417.0,-97.80066722268558
418.0,-97.82211366615037
419.0,-97.84356010961515
420.0,-97.86500655307995
421.0,-97.88645299654475
422.0,-97.90789944000953
423.0,-97.92934588347433
424.0,-97.95079232693912
425.0,-97.9722387704039
426.0,-97.9936852138687
427.0,-98.0151316573335
428.0,-98.03657810079828
429.0,-98.05802454426308
430.0,-98.07947098772787
431.0,-98.10091743119266
432.0,-98.12236387465745
433.0,-98.14381031812225
434.0,-98.16525676158703
435.0,-98.18670320505183
436.0,-98.20814964851662
437.0,-98.2295960919814
438.0,-98.2510425354462
439.0,-98.272488978911
440.0,-98.29393542237578
441.0,-98.31538186584058
442.0,-98.33682830930537
443.0,-98.35827475277017
444.0,-98.37972119623495
445.0,-98.40116763969975
446.0,-98.42261408316455
447.0,-98.44406052662933
448.0,-98.46550697009413
449.0,-98.48695341355892
450.0,-98.5083998570237
451.0,-98.5298463004885
452.0,-98.5512927439533
453.0,-98.57273918741808
454.0,-98.59418563088289
455.0,-98.61563207434767
456.0,-98.63707851781245
457.0,-98.65852496127727
458.0,-98.67997140474205
459.0,-98.70141784820683
460.0,-98.72286429167164
461.0,-98.74431073513642
462.0,-98.7657571786012
463.0,-98.78720362206602
464.0,-98.8086500655308
465.0,-98.8300965089956
466.0,-98.85154295246039
467.0,-98.87298939592517
468.0,-98.89443583938997
469.0,-98.91588228285477
470.0,-98.93732872631955
471.0,-98.95877516978435
472.0,-98.98022161324914
473.0,-99.00166805671392
474.0,-99.02311450017872
475.0,-99.04456094364352
476.0,-99.06600738710831
477.0,-99.0874538305731
478.0,-99.1089002740379
479.0,-99.13034671750269
480.0,-99.15179316096747
481.0,-99.17323960443227
482.0,-99.19468604789706
483.0,-99.21613249136185
484.0,-99.23757893482664
485.0,-99.25902537829144
486.0,-99.28047182175622
487.0,-99.30191826522102
488.0,-99.32336470868582
489.0,-99.3448111521506
490.0,-99.3662575956154
491.0,-99.38770403908019
492.0,-99.40915048254497
493.0,-99.43059692600977
494.0,-99.45204336947457
495.0,-99.47348981293935
496.0,-99.49493625640415
497.0,-99.51638269986894
498.0,-99.53782914333372
499.0,-99.55927558679852
500.0,-99.58072203026332
501.0,-99.6021684737281
502.0,-99.6236149171929
503.0,-99.64506136065769
504.0,-99.66650780412247
505.0,-99.68795424758727
506.0,-99.70940069105207
507.0,-99.73084713451685
508.0,-99.75229357798165
509.0,-99.77374002144644
510.0,-99.79518646491124
511.0,-99.81663290837602
512.0,-99.83807935184082
513.0,-99.85952579530561
514.0,-99.8809722387704
515.0,-99.90241868223521
516.0,-99.92386512569999
517.0,-99.94531156916477
518.0,-99.96675801262957
519.0,-99.98820445609437
520.0,-100.0
521.0,-100.0
522.0,-100.0
523.0,-100.0
524.0,-100.0
525.0,-100.0
526.0,-100.0
527.0,-100.0
528.0,-100.0
529.0,-100.0
530.0,-100.0
531.0,-100.0
532.0,-100.0
533.0,-100.0
534.0,-100.0
535.0,-100.0
536.0,-100.0
537.0,-100.0
538.0,-100.0
539.0,-100.0
540.0,-100.0
541.0,-100.0
542.0,-100.0
543.0,-100.0
544.0,-100.0
545.0,-100.0
546.0,-100.0
547.0,-100.0
548.0,-100.0
549.0,-100.0
550.0,-100.0
551.0,-100.0
552.0,-100.0
553.0,-100.0
554.0,-100.0
555.0,-100.0
556.0,-100.0
557.0,-100.0
558.0,-100.0
559.0,-100.0
560.0,-100.0
561.0,-100.0
562.0,-100.0
563.0,-100.0
564.0,-100.0
565.0,-100.0
566.0,-100.0
567.0,-100.0
568.0,-100.0
569.0,-100.0
570.0,-100.0
571.0,-100.0
572.0,-100.0
573.0,-100.0
574.0,-100.0
575.0,-100.0
576.0,-100.0
577.0,-100.0
578.0,-100.0
579.0,-100.0
580.0,-100.0
581.0,-100.0
582.0,-100.0
583.0,-100.0
584.0,-100.0
585.0,-100.0
586.0,-100.0
587.0,-100.0
588.0,-100.0
589.0,-100.0
590.0,-100.0
591.0,-100.0
592.0,-100.0
593.0,-100.0
594.0,-100.0
595.0,-100.0
596.0,-100.0
597.0,-100.0
598.0,-100.0
599.0,-100.0
600.0,-100.0
601.0,-100.0
602.0,-100.0
603.0,-100.0
604.0,-100.0
605.0,-100.0
606.0,-100.0
607.0,-100.0
608.0,-100.0
