Time(sec),A1R09GS9W47R5
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-99.83333333333334
12.0,-97.02888888888889
13.0,-56.14666666666667
14.0,-46.0
15.0,-46.0
16.0,-29.916666666666668
17.0,14.685227272727271
18.0,55.27227272727273
19.0,56.0
20.0,56.0
21.0,56.0
22.0,56.0
23.0,56.0
24.0,56.0
25.0,56.0
26.0,56.0
27.0,56.0
28.0,56.0
29.0,56.0
30.0,56.0
31.0,56.0
32.0,56.0
33.0,56.0
34.0,56.0
35.0,56.0
36.0,56.0
37.0,56.0
38.0,56.0
39.0,56.0
40.0,56.0
41.0,56.0
42.0,56.0
43.0,56.0
44.0,56.0
45.0,56.0
46.0,56.0
47.0,56.0
48.0,56.0
49.0,56.0
50.0,56.0
51.0,56.0
52.0,56.0
53.0,56.0
54.0,56.0
55.0,56.0
56.0,56.0
57.0,56.0
58.0,56.0
59.0,56.0
60.0,56.0
61.0,56.0
62.0,56.0
63.0,56.0
64.0,56.0
65.0,56.0
66.0,56.0
67.0,56.0
68.0,56.0
69.0,56.0
70.0,56.0
71.0,56.0
72.0,56.0
73.0,56.0
74.0,56.0
75.0,56.0
76.0,56.0
77.0,56.0
78.0,56.0
79.0,56.0
80.0,56.0
81.0,56.0
82.0,56.0
83.0,56.0
84.0,56.0
85.0,56.0
86.0,56.0
87.0,56.0
88.0,56.0
89.0,56.0
90.0,56.0
91.0,56.0
92.0,56.0
93.0,56.0
94.0,56.0
95.0,56.0
96.0,56.0
97.0,56.0
98.0,56.0
99.0,56.0
100.0,56.0
101.0,56.0
102.0,56.0
103.0,56.0
104.0,56.0
105.0,56.0
106.0,56.0
107.0,56.0
108.0,56.0
109.0,56.0
110.0,56.0
111.0,56.0
112.0,56.0
113.0,56.0
114.0,56.0
115.0,56.0
116.0,56.0
117.0,56.0
118.0,56.0
119.0,56.0
120.0,56.0
121.0,56.0
122.0,56.0
123.0,56.0
124.0,56.0
125.0,56.0
126.0,56.0
127.0,56.0
128.0,56.0
129.0,56.0
130.0,56.0
131.0,56.0
132.0,56.0
133.0,56.0
134.0,56.0
135.0,56.0
136.0,56.0
137.0,56.0
138.0,56.0
139.0,56.0
140.0,56.0
141.0,56.0
142.0,56.0
143.0,56.0
144.0,56.0
145.0,56.0
146.0,56.0
147.0,56.0
148.0,56.0
149.0,56.0
150.0,56.0
151.0,56.0
152.0,56.0
153.0,56.0
154.0,56.0
155.0,56.0
156.0,56.0
157.0,56.0
158.0,56.0
159.0,56.0
160.0,56.0
161.0,55.99485125858124
162.0,55.98340961098398
163.0,55.971967963386724
164.0,55.96052631578948
165.0,55.94908466819222
166.0,55.93764302059496
167.0,55.92620137299771
168.0,55.91475972540046
169.0,55.903318077803206
170.0,55.89187643020595
171.0,55.8804347826087
172.0,55.86899313501144
173.0,55.857551487414185
174.0,55.84610983981694
175.0,55.83466819221968
176.0,55.82322654462242
177.0,55.81178489702518
178.0,55.80034324942792
179.0,55.78890160183066
180.0,55.77745995423341
181.0,55.766018306636155
182.0,55.754576659038904
183.0,55.743135011441645
184.0,55.7316933638444
185.0,55.72025171624714
186.0,55.70881006864988
187.0,55.69736842105264
188.0,55.68592677345538
189.0,55.67448512585812
190.0,55.663043478260875
