Time(sec),A371SNJNNUY9Z
182.0,47.88248730964467
183.0,47.13352561144439
184.0,46.384563913244115
185.0,45.63560221504383
186.0,44.886640516843556
187.0,44.13767881864328
188.0,43.388717120443005
189.0,42.63975542224273
190.0,41.890793724042446
191.0,41.14183202584217
192.0,40.392870327641894
193.0,39.64390862944162
194.0,38.89494693124134
195.0,38.14598523304106
196.0,37.397023534840784
197.0,36.64806183664051
198.0,35.89910013844023
199.0,35.15013844023996
200.0,34.40117674203968
201.0,33.652215043839405
202.0,32.90325334563913
203.0,32.15429164743885
204.0,31.405329949238574
205.0,30.656368251038295
206.0,29.90740655283802
207.0,29.158444854637743
208.0,28.409483156437467
209.0,27.66052145823719
210.0,26.91155976003691
211.0,26.162598061836633
212.0,25.413636363636357
213.0,24.66467466543608
214.0,23.9157129672358
215.0,23.166751269035522
216.0,22.417789570835247
217.0,21.66882787263497
218.0,20.919866174434695
219.0,20.17090447623442
220.0,19.42194277803414
221.0,18.672981079833864
222.0,17.924019381633588
223.0,17.17505768343331
224.0,16.426095985233033
225.0,15.677134287032754
226.0,14.928172588832478
227.0,14.179210890632202
228.0,13.430249192431924
229.0,12.681287494231649
230.0,11.932325796031371
231.0,11.183364097831094
232.0,10.434402399630816
233.0,9.68544070143054
234.0,8.936479003230264
235.0,8.187517305029985
236.0,7.438555606829709
237.0,6.689593908629432
238.0,5.940632210429156
239.0,5.191670512228878
240.0,4.442708814028601
241.0,3.693747115828324
242.0,2.9447854176280472
243.0,2.1958237194277705
244.0,1.4468620212274934
245.0,0.6979003230272163
246.0,-0.051061375173060954
247.0,-0.8000230733733374
248.0,-1.548984771573614
249.0,-2.297946469773892
250.0,-3.046908167974169
251.0,-3.7958698661744448
252.0,-4.544831564374722
253.0,-5.293793262574999
254.0,-6.042754960775277
255.0,-6.791716658975554
256.0,-7.54067835717583
257.0,-8.289640055376108
258.0,-9.038601753576383
259.0,-9.787563451776661
260.0,-10.536525149976939
261.0,-11.285486848177214
262.0,-12.034448546377494
263.0,-12.78341024457777
264.0,-13.532371942778047
265.0,-14.281333640978323
266.0,-15.030295339178599
267.0,-15.779257037378878
268.0,-16.528218735579152
269.0,-17.27718043377943
270.0,-18.026142131979707
271.0,-18.775103830179983
272.0,-19.524065528380262
273.0,-20.27302722658054
274.0,-21.021988924780818
275.0,-21.770950622981093
276.0,-22.51991232118137
277.0,-23.26887401938165
278.0,-24.017835717581924
279.0,-24.7667974157822
280.0,-25.515759113982476
281.0,-26.264720812182752
282.0,-27.013682510383035
283.0,-27.76264420858331
284.0,-28.511605906783586
285.0,-29.260567604983862
286.0,-30.009529303184138
287.0,-30.758491001384414
288.0,-31.50745269958469
289.0,-32.25641439778497
290.0,-33.00537609598525
291.0,-33.754337794185524
292.0,-34.50329949238581
293.0,-35.25226119058608
294.0,-36.00122288878636
295.0,-36.750184586986634
296.0,-37.49914628518691
297.0,-38.248107983387186
298.0,-38.99706968158746
299.0,-39.74603137978774
300.0,-40.49499307798801
301.0,-41.243954776188296
302.0,-41.99291647438857
303.0,-42.74187817258885
304.0,-43.490839870789124
305.0,-44.2398015689894
306.0,-44.988763267189675
307.0,-45.73772496538995
308.0,-46.486686663590234
309.0,-47.23564836179051
310.0,-47.984610059990786
311.0,-48.73357175819107
312.0,-49.482533456391344
313.0,-50.23149515459162
314.0,-50.980456852791896
315.0,-51.72941855099217
316.0,-52.47838024919245
317.0,-53.22734194739272
318.0,-53.976303645593
319.0,-54.72526534379328
320.0,-55.47422704199356
321.0,-56.223188740193834
322.0,-56.97215043839411
323.0,-57.721112136594385
324.0,-58.47007383479466
325.0,-59.21903553299494
326.0,-59.96799723119521
327.0,-60.71695892939549
328.0,-61.46592062759578
329.0,-62.21488232579604
330.0,-62.96384402399633
331.0,-63.712805722196606
332.0,-64.46176742039688
333.0,-65.21072911859716
334.0,-65.95969081679743
335.0,-66.70865251499771
336.0,-67.45761421319799
337.0,-68.20657591139828
338.0,-68.95553760959854
339.0,-69.70449930779883
340.0,-70.45346100599909
341.0,-71.20242270419938
342.0,-71.95138440239965
343.0,-72.70034610059993
344.0,-73.4493077988002
345.0,-74.19826949700048
346.0,-74.94723119520077
347.0,-75.69619289340103
348.0,-76.44515459160132
349.0,-77.19411628980158
350.0,-77.94307798800187
351.0,-78.69203968620215
352.0,-79.44100138440243
353.0,-80.1899630826027
354.0,-80.93892478080298
355.0,-81.68788647900325
356.0,-82.43684817720353
357.0,-83.1858098754038
358.0,-83.93477157360408
359.0,-84.68373327180436
360.0,-85.43269497000463
361.0,-86.18165666820491
362.0,-86.93061836640518
363.0,-87.67958006460546
364.0,-88.42854176280574
365.0,-89.17750346100601
366.0,-89.9264651592063
367.0,-90.67542685740656
368.0,-91.42438855560685
369.0,-92.17335025380711
370.0,-92.9223119520074
371.0,-93.67127365020768
372.0,-94.42023534840796
373.0,-95.16919704660823
374.0,-95.91815874480851
375.0,-96.66712044300878
376.0,-97.41608214120906
377.0,-98.16504383940935
378.0,-98.91400553760961
379.0,-99.66296723580989
380.0,-100.0
381.0,-100.0
382.0,-100.0
383.0,-100.0
384.0,-100.0
385.0,-100.0
386.0,-100.0
387.0,-100.0
388.0,-79.79333333333334
389.0,-34.911655844155845
390.0,3.9156746929541044
391.0,41.55645788443583
392.0,77.91405533464356
393.0,99.65166666666667
394.0,100.0
395.0,100.0
396.0,100.0
397.0,100.0
398.0,100.0
399.0,100.0
400.0,99.90754716981132
401.0,99.54716981132076
402.0,99.16981132075472
403.0,76.575
404.0,42.36
405.0,8.505396825396826
406.0,-25.153288655788657
407.0,-72.55931818181818
408.0,-99.96875
409.0,-100.0
410.0,-100.0
411.0,-100.0
412.0,-100.0
413.0,-100.0
414.0,-100.0
415.0,-100.0
416.0,-100.0
417.0,-100.0
418.0,-100.0
419.0,-100.0
420.0,-100.0
421.0,-100.0
422.0,-100.0
423.0,-100.0
424.0,-100.0
425.0,-100.0
426.0,-100.0
427.0,-100.0
428.0,-100.0
429.0,-100.0
430.0,-100.0
431.0,-100.0
432.0,-100.0
433.0,-100.0
434.0,-100.0
435.0,-100.0
436.0,-100.0
437.0,-100.0
438.0,-100.0
439.0,-100.0
440.0,-100.0
441.0,-100.0
442.0,-100.0
443.0,-100.0
444.0,-100.0
445.0,-100.0
446.0,-100.0
447.0,-100.0
448.0,-100.0
449.0,-100.0
450.0,-100.0
451.0,-100.0
452.0,-100.0
453.0,-100.0
454.0,-100.0
455.0,-100.0
456.0,-100.0
457.0,-100.0
458.0,-100.0
459.0,-100.0
460.0,-100.0
461.0,-100.0
462.0,-100.0
463.0,-100.0
464.0,-100.0
465.0,-100.0
466.0,-100.0
467.0,-100.0
468.0,-100.0
469.0,-100.0
470.0,-100.0
471.0,-100.0
472.0,-100.0
473.0,-100.0
474.0,-100.0
475.0,-100.0
476.0,-100.0
477.0,-100.0
478.0,-100.0
479.0,-100.0
480.0,-100.0
481.0,-100.0
482.0,-100.0
483.0,-100.0
484.0,-100.0
485.0,-100.0
486.0,-100.0
487.0,-100.0
488.0,-100.0
489.0,-100.0
490.0,-100.0
491.0,-100.0
492.0,-100.0
493.0,-100.0
494.0,-100.0
495.0,-100.0
496.0,-100.0
497.0,-100.0
498.0,-100.0
499.0,-100.0
500.0,-100.0
501.0,-100.0
502.0,-100.0
503.0,-100.0
504.0,-100.0
505.0,-100.0
506.0,-100.0
507.0,-100.0
508.0,-100.0
509.0,-100.0
510.0,-100.0
511.0,-100.0
512.0,-100.0
513.0,-100.0
514.0,-100.0
515.0,-100.0
516.0,-100.0
517.0,-100.0
518.0,-100.0
519.0,-100.0
520.0,-100.0
521.0,-100.0
522.0,-100.0
523.0,-100.0
524.0,-100.0
525.0,-100.0
526.0,-100.0
527.0,-100.0
528.0,-100.0
529.0,-100.0
530.0,-100.0
531.0,-100.0
532.0,-100.0
533.0,-100.0
534.0,-100.0
535.0,-100.0
536.0,-100.0
537.0,-100.0
538.0,-100.0
539.0,-100.0
540.0,-100.0
541.0,-100.0
542.0,-100.0
543.0,-100.0
544.0,-100.0
545.0,-100.0
546.0,-100.0
547.0,-100.0
548.0,-100.0
549.0,-100.0
550.0,-100.0
551.0,-100.0
552.0,-100.0
553.0,-100.0
554.0,-100.0
555.0,-100.0
556.0,-100.0
557.0,-100.0
558.0,-100.0
559.0,-100.0
560.0,-100.0
561.0,-100.0
562.0,-100.0
563.0,-100.0
564.0,-100.0
565.0,-100.0
566.0,-100.0
567.0,-100.0
568.0,-100.0
569.0,-100.0
570.0,-100.0
571.0,-100.0
572.0,-100.0
573.0,-100.0
574.0,-100.0
575.0,-100.0
576.0,-100.0
577.0,-100.0
578.0,-100.0
579.0,-100.0
580.0,-100.0
581.0,-100.0
582.0,-100.0
583.0,-100.0
584.0,-100.0
585.0,-100.0
586.0,-100.0
587.0,-100.0
588.0,-100.0
589.0,-100.0
590.0,-100.0
591.0,-100.0
592.0,-100.0
593.0,-100.0
594.0,-100.0
595.0,-100.0
596.0,-100.0
597.0,-100.0
598.0,-100.0
599.0,-100.0
600.0,-100.0
601.0,-100.0
602.0,-100.0
603.0,-100.0
604.0,-100.0
605.0,-100.0
606.0,-100.0
607.0,-100.0
608.0,-100.0
609.0,-100.0
610.0,-100.0
611.0,-100.0
612.0,-100.0
613.0,-100.0
614.0,-100.0
615.0,-100.0
616.0,-100.0
617.0,-99.43589743589743
618.0,-80.76910256410257
619.0,-16.13952380952381
620.0,47.553333333333335
621.0,88.95505160239
622.0,89.6796577946768
623.0,89.81273764258556
624.0,89.9458174904943
625.0,90.07889733840304
626.0,90.21197718631178
627.0,90.34505703422053
628.0,90.47813688212928
629.0,90.61121673003802
630.0,90.74429657794677
631.0,90.87737642585552
632.0,91.01045627376426
633.0,91.14353612167301
634.0,91.27661596958174
635.0,91.40969581749049
636.0,91.54277566539925
637.0,91.675855513308
638.0,91.80893536121673
639.0,91.94201520912547
640.0,92.07509505703422
641.0,92.20817490494296
642.0,92.34125475285171
643.0,92.47433460076046
644.0,92.6074144486692
645.0,92.74049429657795
646.0,92.8735741444867
647.0,93.00665399239543
648.0,93.13973384030419
649.0,93.27281368821293
650.0,93.40589353612168
651.0,93.53897338403041
652.0,93.67205323193916
653.0,93.8051330798479
654.0,93.93821292775665
655.0,94.0712927756654
656.0,94.20437262357414
657.0,94.33745247148289
658.0,94.47053231939164
659.0,94.60361216730038
660.0,94.73669201520912
661.0,94.86977186311788
662.0,95.00285171102662
663.0,95.13593155893537
664.0,95.2690114068441
665.0,95.40209125475285
666.0,95.5351711026616
667.0,95.66825095057034
668.0,95.80133079847909
669.0,95.93441064638783
670.0,96.06749049429658
671.0,96.20057034220532
672.0,96.33365019011407
673.0,96.46673003802282
674.0,96.59980988593156
675.0,96.73288973384031
676.0,96.86596958174906
677.0,96.99904942965779
678.0,97.13212927756653
679.0,97.26520912547528
680.0,97.39828897338403
681.0,97.53136882129277
682.0,97.66444866920152
683.0,97.79752851711027
684.0,97.93060836501901
685.0,98.06368821292776
686.0,98.1967680608365
687.0,98.32984790874525
688.0,98.462927756654
689.0,98.59600760456274
690.0,98.78897338403041
691.0,99.0551330798479
692.0,99.3212927756654
693.0,99.58745247148289
694.0,99.85361216730038
695.0,100.0
