Time(sec),A2EZVULYVJOPN
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-100.0
36.0,-100.0
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-100.0
43.0,-100.0
44.0,-100.0
45.0,-100.0
46.0,-100.0
47.0,-100.0
48.0,-100.0
49.0,-100.0
50.0,-100.0
51.0,-100.0
52.0,-100.0
53.0,-100.0
54.0,-100.0
55.0,-100.0
56.0,-100.0
57.0,-100.0
58.0,-100.0
59.0,-100.0
60.0,-100.0
61.0,-100.0
62.0,-100.0
63.0,-100.0
64.0,-100.0
65.0,-100.0
66.0,-100.0
67.0,-100.0
68.0,-100.0
69.0,-100.0
70.0,-100.0
71.0,-100.0
72.0,-100.0
73.0,-100.0
74.0,-100.0
75.0,-100.0
76.0,-100.0
77.0,-100.0
78.0,-100.0
79.0,-100.0
80.0,-100.0
81.0,-100.0
82.0,-100.0
83.0,-100.0
84.0,-100.0
85.0,-97.725
86.0,-96.75
87.0,-96.10833333333333
88.0,-89.11666666666666
89.0,-46.59166666666667
90.0,14.692307692307693
91.0,14.982692307692307
92.0,15.0
93.0,14.959999999999999
94.0,-1.9354166666666663
95.0,-81.39444444444445
96.0,-85.55555555555556
97.0,-85.55555555555556
98.0,-85.55555555555556
99.0,-85.55555555555556
100.0,-85.55555555555556
101.0,-85.55555555555556
102.0,-85.55555555555556
103.0,-85.55555555555556
104.0,-85.55555555555556
105.0,-89.31666666666666
106.0,-91.0
107.0,-91.0
108.0,-91.0
109.0,-91.0
110.0,-91.0
111.0,-91.0
112.0,-91.0
113.0,-91.0
114.0,-91.0
115.0,-91.0
116.0,-91.0
117.0,-91.0
118.0,-91.0
119.0,-91.0
120.0,-91.0
121.0,-91.0
122.0,-91.0
123.0,-91.0
124.0,-91.0
125.0,-91.0
126.0,-91.0
127.0,-91.0
128.0,-91.0
129.0,-91.0
130.0,-91.0
131.0,-91.0
132.0,-91.0
133.0,-91.0
134.0,-91.0
135.0,-91.0
136.0,-91.0
137.0,-91.0
138.0,-91.0
139.0,-91.0
140.0,-91.0
141.0,-91.0
142.0,-91.0
143.0,-91.0
144.0,-91.0
145.0,-91.0
146.0,-91.0
147.0,-91.0
148.0,-91.0
149.0,-91.0
150.0,-91.0
151.0,-91.0
152.0,-91.0
153.0,-91.0
154.0,-91.0
155.0,-91.0
156.0,-91.0
157.0,-91.0
158.0,-91.0
159.0,-91.0
160.0,-91.0
161.0,-91.0
162.0,-91.0
163.0,-91.0
164.0,-91.0
165.0,-91.0
166.0,-91.0
167.0,-91.0
168.0,-91.0
169.0,-91.0
170.0,-91.0
171.0,-91.0
172.0,-91.0
173.0,-91.0
174.0,-91.0
175.0,-90.28333333333333
176.0,-79.69761904761904
177.0,-70.51818181818182
178.0,-60.75
