Time(sec),A5XU9JZ5IHLA1
173.0,-27.0
174.0,-27.0
175.0,-27.0
176.0,-27.0
177.0,-27.0
178.0,-27.0
179.0,-27.0
180.0,-27.0
181.0,-27.0
182.0,-27.0
183.0,-27.0
184.0,-27.0
185.0,-27.0
186.0,-27.0
187.0,-27.0
188.0,-27.0
189.0,-27.0
190.0,-27.0
191.0,-27.0
192.0,-27.0
193.0,-27.0
194.0,-27.0
195.0,-27.0
196.0,-27.0
197.0,-27.0
198.0,-27.0
199.0,-27.0
200.0,-27.0
201.0,-27.0
202.0,-27.0
203.0,-27.0
204.0,-27.0
205.0,-27.0
206.0,-27.0
207.0,-27.0
208.0,-27.0
209.0,-27.0
210.0,-27.0
211.0,-27.0
212.0,-27.0
213.0,-27.0
214.0,-27.0
215.0,-27.0
216.0,-27.0
217.0,-27.0
218.0,-27.0
219.0,-27.0
220.0,-27.0
221.0,-27.0
222.0,-27.0
223.0,-27.0
224.0,-27.0
225.0,-27.0
226.0,-27.0
227.0,-27.0
228.0,-27.0
229.0,-27.0
230.0,-27.0
231.0,-27.0
232.0,-27.0
233.0,-27.0
234.0,-27.0
235.0,-27.0
236.0,-27.0
237.0,-27.0
238.0,-27.0
239.0,-27.0
240.0,-27.0
241.0,-27.0
242.0,-27.0
243.0,-27.0
244.0,-27.0
245.0,-27.0
246.0,-27.0
247.0,-27.0
248.0,-27.0
249.0,-27.0
250.0,-27.0
251.0,-27.0
252.0,-27.0
253.0,-27.0
254.0,-27.0
255.0,-27.0
256.0,-23.85
257.0,-19.0
258.0,-19.0
259.0,-19.0
260.0,-19.0
261.0,-19.0
262.0,-19.0
263.0,-19.0
264.0,-19.0
265.0,-19.0
266.0,-19.0
267.0,-19.0
268.0,-19.0
269.0,-19.0
270.0,-19.0
271.0,-19.0
272.0,-19.0
273.0,-19.0
274.0,-19.0
275.0,-19.0
276.0,-19.0
277.0,-19.0
278.0,-19.0
279.0,-19.0
280.0,-19.0
281.0,-19.0
282.0,-19.0
283.0,-19.0
284.0,-19.0
285.0,-19.0
286.0,-19.0
287.0,-19.0
288.0,-19.0
289.0,-19.0
290.0,-19.0
291.0,-19.0
292.0,-19.0
293.0,-19.0
294.0,-19.0
295.0,-19.0
296.0,-19.0
297.0,-19.0
298.0,-19.0
299.0,-19.0
300.0,-19.0
301.0,-19.0
302.0,-19.0
303.0,-19.0
304.0,-19.0
305.0,-19.0
306.0,-19.0
307.0,-19.0
308.0,-19.0
309.0,-19.0
310.0,-19.0
311.0,-19.0
312.0,-19.0
313.0,-19.0
314.0,-19.0
315.0,-19.0
316.0,-19.0
317.0,-19.0
318.0,-19.0
319.0,-19.0
320.0,-19.0
321.0,-19.0
322.0,-19.0
323.0,-19.0
324.0,-19.0
325.0,-19.0
326.0,-19.0
327.0,-19.0
328.0,-19.0
329.0,-19.0
330.0,-19.0
331.0,-19.0
332.0,-19.0
333.0,-19.0
334.0,-19.0
335.0,-19.0
336.0,-19.0
337.0,-19.0
338.0,-19.0
339.0,-19.0
340.0,-19.0
341.0,-19.0
342.0,-19.0
343.0,-19.0
344.0,-19.0
345.0,-19.0
346.0,-19.0
347.0,-19.0
348.0,-19.0
349.0,-19.0
350.0,-19.0
351.0,-19.0
352.0,-19.0
353.0,-19.0
354.0,-19.0
355.0,-19.0
356.0,-19.0
357.0,-19.0
358.0,-19.0
359.0,-19.0
360.0,-19.0
361.0,-19.0
362.0,-19.0
363.0,-19.0
364.0,-19.0
365.0,-19.0
366.0,-19.0
367.0,-19.0
368.0,-19.0
369.0,-19.0
370.0,-19.0
371.0,-19.0
372.0,-19.0
373.0,-19.0
374.0,-19.0
375.0,-19.0
376.0,-19.0
377.0,-19.0
378.0,-19.0
379.0,-19.0
380.0,-18.546875
381.0,8.51033234126984
382.0,30.28181818181818
383.0,34.99090909090909
384.0,39.0
385.0,40.6
386.0,45.0
387.0,45.0
388.0,45.0
389.0,45.0
390.0,45.0
391.0,45.0
392.0,45.0
393.0,45.0
394.0,45.0
395.0,45.0
396.0,45.0
397.0,45.0
398.0,45.0
399.0,45.0
400.0,45.0
401.0,37.94285714285714
402.0,34.0
403.0,34.0
404.0,34.0
405.0,34.0
406.0,34.0
407.0,34.0
408.0,34.0
409.0,34.0
410.0,34.0
411.0,34.0
412.0,34.0
413.0,34.0
414.0,34.0
415.0,33.974137931034484
416.0,33.81896551724138
417.0,33.64655172413793
418.0,29.94784482758621
419.0,27.0
420.0,27.0
421.0,27.0
422.0,27.0
423.0,27.0
424.0,27.0
425.0,27.0
426.0,27.0
427.0,27.0
428.0,27.0
429.0,27.0
430.0,27.0
431.0,27.0
432.0,27.0
433.0,27.0
434.0,27.0
435.0,27.0
436.0,27.0
437.0,27.0
438.0,27.0
439.0,27.0
440.0,27.0
441.0,27.0
442.0,27.0
443.0,27.0
444.0,27.0
445.0,27.0
446.0,27.0
447.0,27.0
448.0,27.0
449.0,27.0
450.0,27.0
451.0,27.0
452.0,27.0
453.0,27.0
454.0,27.0
455.0,27.0
456.0,27.0
457.0,27.0
458.0,27.0
459.0,27.0
460.0,27.0
461.0,27.0
462.0,27.0
463.0,27.0
464.0,27.0
465.0,27.0
466.0,27.0
467.0,27.0
468.0,27.0
469.0,27.0
470.0,27.0
471.0,27.0
472.0,27.0
473.0,27.0
474.0,27.0
475.0,27.0
476.0,27.0
477.0,27.0
478.0,27.0
479.0,27.0
480.0,27.0
481.0,27.0
482.0,27.0
483.0,27.0
484.0,27.0
485.0,27.0
486.0,27.0
487.0,27.0
488.0,27.0
489.0,27.0
490.0,27.0
491.0,27.0
492.0,27.0
493.0,27.0
494.0,27.0
495.0,27.0
496.0,27.0
497.0,27.0
498.0,27.0
499.0,27.0
500.0,27.0
501.0,27.0
502.0,27.0
503.0,27.0
504.0,27.0
505.0,27.0
506.0,27.0
507.0,27.0
508.0,27.0
509.0,27.0
510.0,27.0
511.0,27.0
512.0,27.0
513.0,27.0
514.0,27.0
515.0,27.0
516.0,27.0
517.0,27.0
518.0,27.0
519.0,27.0
520.0,27.0
521.0,27.0
522.0,27.0
523.0,27.0
524.0,27.0
525.0,27.0
526.0,31.60571428571429
527.0,32.0
528.0,32.0
529.0,32.0
530.0,32.0
531.0,25.670714285714286
532.0,18.0
533.0,14.605555555555554
534.0,7.0
535.0,7.0
536.0,7.0
537.0,7.0
538.0,0.7931818181818182
539.0,-2.0
540.0,-2.0
541.0,-2.0
542.0,-2.0
543.0,-2.0
544.0,-2.0
545.0,-2.0
546.0,-2.0
547.0,-2.0300000000000002
548.0,-5.495
549.0,-18.429824561403507
550.0,-18.605263157894736
551.0,-18.780701754385966
552.0,-18.95614035087719
553.0,-19.131578947368418
554.0,-19.30701754385965
555.0,-19.482456140350877
556.0,-19.657894736842103
557.0,-19.833333333333336
558.0,-19.982456140350877
559.0,-21.183333333333334
560.0,-28.537037037037038
561.0,-28.90740740740741
562.0,-29.27777777777778
563.0,-29.648148148148145
564.0,-29.962962962962962
565.0,-30.0
566.0,-30.0
567.0,-30.0
568.0,-30.0
569.0,-30.0
570.0,-30.0
571.0,-30.0
572.0,-30.0
573.0,-30.0
574.0,-30.0
575.0,-30.0
576.0,-30.0
577.0,-30.0
578.0,-30.0
579.0,-30.0
580.0,-30.0
581.0,-30.0
582.0,-30.0
583.0,-30.0
584.0,-30.0
