Time(sec),A1CRR9EZ64R0P
0.0,-99.91529062087186
1.0,-99.72704755614267
2.0,-99.53880449141347
3.0,-99.35056142668428
4.0,-99.16231836195509
5.0,-98.97407529722588
6.0,-98.78583223249669
7.0,-98.5975891677675
8.0,-98.4093461030383
9.0,-98.22110303830911
10.0,-98.03285997357992
11.0,-97.84461690885072
12.0,-97.65637384412153
13.0,-97.46813077939234
14.0,-97.27988771466315
15.0,-97.09164464993395
16.0,-96.90340158520476
17.0,-96.71515852047557
18.0,-96.52691545574638
19.0,-96.33867239101717
20.0,-96.15042932628798
21.0,-95.96218626155878
22.0,-95.77394319682959
23.0,-95.5857001321004
24.0,-95.3974570673712
25.0,-95.20921400264201
26.0,-95.02097093791282
27.0,-94.83272787318363
28.0,-94.64448480845442
29.0,-94.45624174372523
30.0,-94.26799867899604
31.0,-94.07975561426684
32.0,-93.89151254953765
33.0,-93.70326948480846
34.0,-93.51502642007927
35.0,-93.32678335535006
36.0,-93.13854029062087
37.0,-92.95029722589167
38.0,-92.76205416116248
39.0,-92.57381109643329
40.0,-92.3855680317041
41.0,-92.1973249669749
42.0,-92.0090819022457
43.0,-91.8208388375165
44.0,-91.63259577278731
45.0,-91.44435270805812
46.0,-91.25610964332893
47.0,-91.06786657859973
48.0,-90.87962351387054
49.0,-90.69138044914135
50.0,-90.50313738441216
51.0,-90.31489431968296
52.0,-90.12665125495377
53.0,-89.93840819022458
54.0,-89.75016512549539
55.0,-89.5619220607662
56.0,-89.37367899603699
57.0,-89.1854359313078
58.0,-88.9971928665786
59.0,-88.80894980184941
60.0,-88.62070673712022
61.0,-88.43246367239102
62.0,-88.24422060766183
63.0,-88.05597754293262
64.0,-87.86773447820343
65.0,-87.67949141347424
66.0,-87.49124834874505
67.0,-87.30300528401585
68.0,-87.11476221928666
69.0,-86.92651915455747
70.0,-86.73827608982828
71.0,-86.55003302509907
72.0,-86.36178996036988
73.0,-86.17354689564068
74.0,-85.98530383091149
75.0,-85.7970607661823
76.0,-85.6088177014531
77.0,-85.42057463672391
78.0,-85.2323315719947
79.0,-85.04408850726551
80.0,-84.85584544253632
81.0,-84.66760237780713
82.0,-84.47935931307794
83.0,-84.29111624834874
84.0,-84.10287318361955
85.0,-83.91463011889036
86.0,-83.72638705416117
87.0,-83.53814398943197
88.0,-83.34990092470278
89.0,-83.16165785997359
90.0,-82.9734147952444
91.0,-82.7851717305152
92.0,-82.596928665786
93.0,-82.4086856010568
94.0,-82.22044253632761
95.0,-82.03219947159842
96.0,-81.84395640686922
97.0,-81.65571334214003
98.0,-81.46747027741084
99.0,-81.27922721268165
100.0,-81.09098414795244
101.0,-80.90274108322325
102.0,-80.71449801849406
103.0,-80.52625495376486
104.0,-80.33801188903567
105.0,-80.14976882430648
106.0,-79.96152575957728
107.0,-79.77328269484808
108.0,-79.58503963011889
109.0,-79.39679656538969
110.0,-79.2085535006605
111.0,-79.02031043593131
112.0,-78.83206737120211
113.0,-78.64382430647292
114.0,-78.45558124174372
115.0,-78.26733817701452
116.0,-78.07909511228533
117.0,-77.89085204755614
118.0,-77.70260898282694
119.0,-77.51436591809775
120.0,-77.32612285336856
121.0,-77.13787978863937
122.0,-76.94963672391017
123.0,-76.76139365918098
124.0,-76.57315059445179
125.0,-76.3849075297226
126.0,-76.1966644649934
127.0,-76.00842140026421
128.0,-75.82017833553502
129.0,-75.63193527080581
130.0,-75.44369220607662
131.0,-75.25544914134743
132.0,-75.06720607661823
133.0,-74.87896301188904
134.0,-74.69071994715985
135.0,-74.50247688243066
136.0,-74.31423381770145
137.0,-74.12599075297226
138.0,-73.93774768824306
139.0,-73.74950462351387
140.0,-73.56126155878468
141.0,-73.37301849405549
142.0,-73.1847754293263
143.0,-72.99653236459709
144.0,-72.8082892998679
145.0,-72.6200462351387
146.0,-72.43180317040951
147.0,-72.24356010568032
148.0,-72.05531704095112
149.0,-71.86707397622193
150.0,-71.67883091149274
151.0,-76.70215763980625
152.0,-96.04142857142857
153.0,-99.60714285714286
154.0,-99.1875
155.0,-98.095
156.0,-95.90444444444445
157.0,-98.57222222222222
158.0,-98.68333333333334
159.0,-98.79444444444445
160.0,-98.90555555555555
161.0,-98.99333333333334
162.0,-99.0
163.0,-99.0
164.0,-99.0
165.0,-99.0
166.0,-99.0
167.0,-99.0
168.0,-99.0
169.0,-99.0
170.0,-99.0
171.0,-99.0
172.0,-99.0
173.0,-99.0
174.0,-99.0
175.0,-99.0
176.0,-99.0
177.0,-99.0
178.0,-99.0
179.0,-99.0
180.0,-99.0
181.0,-99.0
182.0,-99.0
183.0,-99.0
184.0,-99.0
185.0,-99.0
186.0,-99.0
187.0,-99.0
188.0,-99.0
189.0,-99.0
190.0,-99.0
191.0,-99.0
192.0,-99.0
193.0,-99.0
194.0,-99.0
195.0,-99.0
196.0,-99.0
197.0,-99.0
198.0,-99.0
199.0,-99.0
200.0,-99.0
201.0,-99.0
202.0,-99.0
203.0,-99.0
204.0,-99.0
205.0,-99.0
206.0,-99.0
207.0,-99.0
208.0,-99.0
209.0,-99.0
210.0,-99.0
211.0,-99.0
212.0,-99.0
213.0,-99.0
214.0,-99.0
215.0,-99.0
216.0,-99.0
217.0,-99.0
218.0,-99.0
219.0,-99.0
220.0,-99.0
221.0,-99.0
222.0,-99.0
223.0,-99.0
224.0,-99.0
225.0,-99.0
226.0,-99.0
227.0,-99.0
228.0,-99.0
229.0,-97.57000000000001
230.0,-92.92666666666666
231.0,-94.0
232.0,-94.74074074074073
233.0,-95.48148148148148
234.0,-96.22222222222221
235.0,-93.74722222222222
236.0,-86.27166666666668
237.0,-43.11857142857143
238.0,3.6088095238095237
239.0,-11.190387529137528
240.0,-68.46991341991341
241.0,-85.11688311688312
242.0,-86.41558441558442
243.0,-87.0
244.0,-87.0
245.0,-87.0
246.0,-87.0
247.0,-87.0
248.0,-87.0
249.0,-87.0
250.0,-87.0
251.0,-87.0
252.0,-87.0
253.0,-87.0
254.0,-87.0
255.0,-87.0
256.0,-87.0
257.0,-87.0
258.0,-87.0
259.0,-87.0
260.0,-87.0
261.0,-87.0
262.0,-87.0
263.0,-87.0
264.0,-87.0
265.0,-87.0
266.0,-87.0
267.0,-87.0
268.0,-87.0
269.0,-87.0
270.0,-87.0
271.0,-87.0
272.0,-87.0
273.0,-87.0
274.0,-87.0
275.0,-87.0
276.0,-87.0
277.0,-87.0
278.0,-87.0
279.0,-87.0
280.0,-87.0
281.0,-87.0
282.0,-87.0
283.0,-87.0
284.0,-87.0
285.0,-87.0
286.0,-87.0
287.0,-87.0
288.0,-87.0
289.0,-87.0
290.0,-87.0
291.0,-87.0
292.0,-87.0
293.0,-87.0
294.0,-87.0
295.0,-87.0
296.0,-87.0
297.0,-87.0
298.0,-87.0
299.0,-87.0
300.0,-87.0
301.0,-87.0
302.0,-87.0
303.0,-87.0
304.0,-87.0
305.0,-87.0
306.0,-87.0
307.0,-87.0
308.0,-87.0
309.0,-87.0
310.0,-87.0
311.0,-87.0
312.0,-87.0
313.0,-87.0
314.0,-87.0
315.0,-87.0
316.0,-87.0
317.0,-87.0
318.0,-87.0
319.0,-87.0
320.0,-87.0
321.0,-87.0
322.0,-87.0
323.0,-87.0
324.0,-87.0
325.0,-87.0
326.0,-87.0
