Time(sec),ARGR4AJESGHHP
152.0,-84.94367880748136
153.0,-87.06996203065673
154.0,-89.19624525383207
155.0,-91.32252847700745
156.0,-93.38502320348755
157.0,-93.98038250597665
158.0,-93.98038250597665
159.0,-93.98038250597665
160.0,-93.98038250597665
161.0,-93.98038250597665
162.0,-93.98038250597665
163.0,-93.98038250597665
164.0,-93.98038250597665
165.0,-93.98038250597665
166.0,-94.0441710026719
167.0,-95.7026719167487
168.0,-88.69448188873355
169.0,-59.747443181818184
170.0,-59.0
171.0,-59.0
172.0,-51.78088235294117
173.0,-47.0
174.0,-47.0
175.0,-47.0
176.0,-47.0
177.0,-47.0
178.0,-47.0
179.0,-47.0
180.0,-47.0
181.0,-47.0
182.0,-46.912727272727274
183.0,-46.38909090909091
184.0,-45.807272727272725
185.0,-45.22545454545455
186.0,-44.64363636363636
187.0,-39.45363636363636
188.0,-34.0
189.0,-34.0
190.0,-34.0
191.0,-34.0
192.0,-34.0
193.0,-34.0
194.0,-34.0
195.0,-34.0
196.0,-34.0
197.0,-34.0
198.0,-34.0
199.0,-34.0
200.0,-34.0
201.0,-34.0
202.0,-34.0
203.0,-34.0
204.0,-34.0
205.0,-34.0
206.0,-13.415885356473591
207.0,54.756878815628816
208.0,100.0
209.0,100.0
210.0,100.0
211.0,100.0
212.0,100.0
213.0,99.21818181818182
214.0,80.74166666666666
215.0,46.35079365079365
216.0,28.132142857142856
217.0,8.828030303030303
218.0,1.75
219.0,1.75
220.0,1.75
221.0,1.75
222.0,-2.107843137254902
223.0,-54.069926201249736
224.0,-98.68384615384615
225.0,-100.0
226.0,-100.0
227.0,-100.0
228.0,-100.0
229.0,-100.0
230.0,-100.0
231.0,-100.0
232.0,-100.0
233.0,-100.0
234.0,-100.0
235.0,-100.0
236.0,-100.0
237.0,-100.0
238.0,-100.0
239.0,-100.0
240.0,-100.0
241.0,-100.0
242.0,-100.0
243.0,-100.0
244.0,-100.0
245.0,-100.0
246.0,-100.0
247.0,-100.0
248.0,-100.0
249.0,-100.0
250.0,-100.0
251.0,-100.0
252.0,-100.0
253.0,-100.0
254.0,-100.0
255.0,-100.0
256.0,-100.0
257.0,-100.0
258.0,-100.0
259.0,-100.0
260.0,-100.0
261.0,-100.0
262.0,-100.0
263.0,-100.0
264.0,-100.0
265.0,-100.0
266.0,-100.0
267.0,-100.0
268.0,-100.0
269.0,-100.0
270.0,-100.0
271.0,-100.0
272.0,-100.0
273.0,-100.0
274.0,-100.0
275.0,-100.0
276.0,-100.0
277.0,-100.0
278.0,-100.0
279.0,-100.0
280.0,-100.0
281.0,-100.0
282.0,-100.0
283.0,-100.0
284.0,-100.0
285.0,-100.0
286.0,-100.0
287.0,-100.0
288.0,-100.0
289.0,-100.0
290.0,-100.0
291.0,-100.0
292.0,-100.0
293.0,-100.0
294.0,-100.0
295.0,-100.0
296.0,-100.0
297.0,-100.0
298.0,-100.0
299.0,-100.0
300.0,-100.0
301.0,-100.0
302.0,-100.0
303.0,-100.0
304.0,-100.0
305.0,-100.0
306.0,-100.0
307.0,-100.0
308.0,-100.0
309.0,-100.0
310.0,-100.0
311.0,-100.0
312.0,-100.0
313.0,-100.0
314.0,-100.0
315.0,-100.0
316.0,-100.0
317.0,-100.0
318.0,-100.0
319.0,-100.0
320.0,-100.0
321.0,-100.0
322.0,-100.0
323.0,-100.0
324.0,-100.0
325.0,-100.0
326.0,-100.0
327.0,-100.0
328.0,-100.0
329.0,-100.0
330.0,-100.0
331.0,-100.0
332.0,-100.0
333.0,-100.0
334.0,-100.0
335.0,-100.0
336.0,-100.0
337.0,-100.0
338.0,-100.0
339.0,-100.0
340.0,-100.0
341.0,-100.0
342.0,-100.0
343.0,-100.0
344.0,-100.0
345.0,-100.0
346.0,-100.0
347.0,-100.0
348.0,-100.0
349.0,-100.0
350.0,-100.0
351.0,-100.0
352.0,-100.0
353.0,-100.0
