Time(sec),AWE3BMS01D2F9
181.0,-100.0
182.0,-100.0
183.0,-100.0
184.0,-100.0
185.0,-100.0
186.0,-100.0
187.0,-100.0
188.0,-100.0
189.0,-100.0
190.0,-100.0
191.0,-100.0
192.0,-100.0
193.0,-100.0
194.0,-100.0
195.0,-100.0
196.0,-100.0
197.0,-100.0
198.0,-100.0
199.0,-100.0
200.0,-100.0
201.0,-100.0
202.0,-100.0
203.0,-100.0
204.0,-100.0
205.0,-100.0
206.0,-100.0
207.0,-100.0
208.0,-100.0
209.0,-100.0
210.0,-100.0
211.0,-100.0
212.0,-100.0
213.0,-100.0
214.0,-100.0
215.0,-100.0
216.0,-100.0
217.0,-100.0
218.0,-100.0
219.0,-100.0
220.0,-100.0
221.0,-100.0
222.0,-100.0
223.0,-100.0
224.0,-100.0
225.0,-100.0
226.0,-100.0
227.0,-100.0
228.0,-100.0
229.0,-100.0
230.0,-100.0
231.0,-100.0
232.0,-100.0
233.0,-100.0
234.0,-100.0
235.0,-100.0
236.0,-100.0
237.0,-100.0
238.0,-100.0
239.0,-100.0
240.0,-100.0
241.0,-100.0
242.0,-100.0
243.0,-100.0
244.0,-100.0
245.0,-100.0
246.0,-100.0
247.0,-100.0
248.0,-100.0
249.0,-100.0
250.0,-100.0
251.0,-100.0
252.0,-100.0
253.0,-100.0
254.0,-100.0
255.0,-100.0
256.0,-100.0
257.0,-100.0
258.0,-100.0
259.0,-100.0
260.0,-100.0
261.0,-100.0
262.0,-100.0
263.0,-100.0
264.0,-100.0
265.0,-100.0
266.0,-100.0
267.0,-100.0
268.0,-100.0
269.0,-100.0
270.0,-100.0
271.0,-100.0
272.0,-100.0
273.0,-100.0
274.0,-100.0
275.0,-100.0
276.0,-100.0
277.0,-100.0
278.0,-100.0
279.0,-100.0
280.0,-100.0
281.0,-100.0
282.0,-100.0
283.0,-100.0
284.0,-100.0
285.0,-100.0
286.0,-100.0
287.0,-100.0
288.0,-100.0
289.0,-100.0
290.0,-100.0
291.0,-100.0
292.0,-100.0
293.0,-100.0
294.0,-100.0
295.0,-100.0
296.0,-100.0
297.0,-100.0
298.0,-100.0
299.0,-100.0
300.0,-100.0
301.0,-100.0
302.0,-100.0
303.0,-100.0
304.0,-100.0
305.0,-100.0
306.0,-100.0
307.0,-100.0
308.0,-100.0
309.0,-100.0
310.0,-100.0
311.0,-100.0
312.0,-100.0
313.0,-100.0
314.0,-100.0
315.0,-100.0
316.0,-100.0
317.0,-100.0
318.0,-100.0
319.0,-100.0
320.0,-100.0
321.0,-100.0
322.0,-100.0
323.0,-100.0
324.0,-100.0
325.0,-100.0
326.0,-100.0
327.0,-100.0
328.0,-100.0
329.0,-100.0
330.0,-100.0
331.0,-100.0
332.0,-100.0
333.0,-100.0
334.0,-100.0
335.0,-100.0
336.0,-100.0
337.0,-100.0
338.0,-100.0
339.0,-100.0
340.0,-100.0
341.0,-100.0
342.0,-100.0
343.0,-100.0
344.0,-100.0
345.0,-100.0
346.0,-100.0
347.0,-100.0
348.0,-100.0
349.0,-100.0
350.0,-100.0
351.0,-100.0
352.0,-100.0
353.0,-100.0
354.0,-100.0
355.0,-100.0
356.0,-100.0
357.0,-100.0
358.0,-100.0
359.0,-100.0
360.0,-100.0
361.0,-100.0
362.0,-99.55333333333333
363.0,-68.93891774891775
364.0,-14.475750915750917
365.0,32.580899178946055
366.0,43.794921875
367.0,50.266276041666664
368.0,56.73763020833333
369.0,62.820703125
370.0,64.1796875
371.0,64.1796875
372.0,65.21510416666666
373.0,75.828125
374.0,88.77083333333333
375.0,74.06566674933862
376.0,4.896439393939394
377.0,-30.6
378.0,-39.86666666666667
379.0,-43.333333333333336
380.0,-43.333333333333336
381.0,-43.333333333333336
382.0,-46.66666666666667
383.0,-50.0
384.0,-50.0
385.0,-50.0
386.0,-50.0
387.0,-56.88477011494253
388.0,-63.992816091954026
389.0,-66.09051724137932
390.0,-68.1882183908046
391.0,-70.28591954022988
392.0,-72.38362068965517
393.0,-74.92183908045976
394.0,-78.99137931034483
395.0,-83.1867816091954
396.0,-87.38218390804597
397.0,-91.57758620689654
398.0,-95.77298850574712
399.0,-80.13304597701149
400.0,-74.0
401.0,-74.0
402.0,-74.0
403.0,-74.0
404.0,-74.0
405.0,-74.10710161662817
406.0,-74.58650885296382
407.0,-75.09651655119322
408.0,-75.60652424942263
409.0,-76.11653194765204
410.0,-76.62653964588145
411.0,-77.13654734411085
412.0,-77.64655504234027
413.0,-78.15656274056967
414.0,-78.66657043879908
415.0,-79.17657813702849
416.0,-79.68658583525789
417.0,-80.19659353348729
418.0,-80.7066012317167
419.0,-81.2166089299461
420.0,-81.72661662817552
421.0,-82.23662432640492
422.0,-82.74663202463434
423.0,-83.25663972286374
424.0,-83.76664742109315
425.0,-84.39395688991532
426.0,-85.2660700538876
427.0,-86.13818321785989
428.0,-87.01539645881448
429.0,-87.89260969976905
430.0,-88.76982294072363
431.0,-89.6470361816782
432.0,-90.52424942263278
433.0,-91.39636258660508
434.0,-92.27357582755965
435.0,-93.15588914549653
436.0,-94.02800230946882
437.0,-94.90521555042339
438.0,-95.77222863741339
439.0,-96.08333333333333
440.0,-96.08333333333333
441.0,-96.08333333333333
442.0,-96.08333333333333
443.0,-92.71190476190476
444.0,-80.8495054945055
445.0,-55.04261363636364
446.0,-34.93333333333333
447.0,-21.48111111111111
448.0,-13.411785714285713
449.0,-7.625
450.0,-3.61875
451.0,52.42948412698413
452.0,100.0
453.0,100.0
454.0,81.12492923193055
455.0,77.82562747688243
456.0,75.47424042272127
457.0,73.1228533685601
458.0,70.77146631439894
459.0,68.42007926023777
460.0,66.06869220607662
461.0,63.78784676354029
462.0,62.36525759577279
463.0,61.189564068692206
464.0,60.01387054161162
465.0,58.83817701453104
466.0,57.66248348745046
467.0,56.486789960369876
468.0,55.3110964332893
469.0,54.13540290620872
470.0,52.95970937912814
471.0,51.78401585204756
472.0,50.60832232496698
473.0,49.432628797886395
474.0,48.25693527080581
475.0,47.08124174372523
476.0,45.90554821664465
477.0,44.72985468956407
478.0,43.55416116248348
479.0,42.378467635402906
480.0,41.20277410832232
481.0,40.02708058124174
482.0,38.85138705416116
483.0,37.67569352708058
484.0,36.5
485.0,35.32430647291942
486.0,34.148612945838835
487.0,32.97291941875825
488.0,31.797225891677677
489.0,30.62153236459709
490.0,29.44583883751651
491.0,28.27014531043593
492.0,27.09445178335535
493.0,25.918758256274764
494.0,24.743064729194185
495.0,23.567371202113605
496.0,22.391677675033023
497.0,21.21598414795244
498.0,20.04029062087186
499.0,18.864597093791282
500.0,17.6889035667107
501.0,16.513210039630117
502.0,15.337516512549536
503.0,14.161822985468955
504.0,12.986129458388373
505.0,11.810435931307792
506.0,10.634742404227211
507.0,9.459048877146628
508.0,8.283355350066048
509.0,7.107661822985466
510.0,5.931968295904885
511.0,4.756274768824303
512.0,3.5805812417437237
513.0,2.4048877146631424
514.0,1.22919418758256
515.0,0.05350066050197881
516.0,-1.1221928665786023
517.0,-2.2978863936591836
518.0,-3.473579920739765
519.0,-4.649273447820346
520.0,-5.824966974900929
521.0,-7.00066050198151
522.0,-8.176354029062091
523.0,-9.35204755614267
524.0,-10.527741083223251
525.0,-11.703434610303834
526.0,-12.879128137384413
527.0,-14.054821664464999
528.0,-15.230515191545578
529.0,-16.406208718626157
530.0,-17.58190224570674
531.0,-18.757595772787322
532.0,-19.9332892998679
533.0,-21.108982826948484
534.0,-22.284676354029067
535.0,-23.46036988110965
536.0,-24.63606340819023
537.0,-25.811756935270807
538.0,-26.987450462351386
539.0,-28.163143989431973
540.0,-29.33883751651255
541.0,-30.514531043593138
542.0,-31.690224570673717
543.0,-32.865918097754296
544.0,-34.04161162483488
545.0,-35.217305151915454
546.0,-36.392998678996044
547.0,-37.56869220607662
548.0,-38.7443857331572
549.0,-39.920079260237785
550.0,-41.09577278731837
551.0,-42.27146631439895
552.0,-43.447159841479525
553.0,-44.622853368560115
554.0,-45.79854689564069
555.0,-46.97424042272127
556.0,-48.149933949801856
557.0,-49.32562747688244
558.0,-50.501321003963014
559.0,-51.677014531043596
560.0,-52.85270805812418
561.0,-54.028401585204755
562.0,-55.20409511228534
563.0,-56.37978863936591
564.0,-57.55548216644651
565.0,-58.731175693527085
566.0,-59.90686922060767
567.0,-61.08256274768824
568.0,-62.25825627476884
569.0,-63.433949801849415
570.0,-64.60964332892999
571.0,-65.78533685601057
572.0,-66.96103038309116
573.0,-68.13672391017174
574.0,-69.31241743725232
575.0,-70.48811096433289
576.0,-71.66380449141347
577.0,-72.83949801849406
578.0,-74.01519154557464
579.0,-75.19088507265522
580.0,-76.3665785997358
581.0,-77.54227212681639
582.0,-78.71796565389697
583.0,-79.89365918097755
584.0,-81.06935270805813
585.0,-82.24504623513872
586.0,-83.4207397622193
587.0,-84.59643328929988
588.0,-85.77212681638045
589.0,-86.94782034346103
590.0,-88.12351387054161
591.0,-89.2992073976222
592.0,-90.47490092470278
593.0,-91.65059445178336
594.0,-92.82628797886395
595.0,-94.00198150594453
596.0,-95.17767503302511
597.0,-96.35336856010568
598.0,-97.0
599.0,-97.0
600.0,-97.0
601.0,-97.0
602.0,-97.0
603.0,-97.0
