Time(sec),nan_y
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-99.42125
10.0,-90.01666666666667
11.0,-90.0
12.0,-90.0
13.0,-90.0
14.0,-90.0
15.0,-90.0
16.0,-90.0
17.0,-90.0
18.0,-90.0
19.0,-89.36
20.0,-85.0
21.0,-85.0
22.0,-89.35231684981684
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-100.0
36.0,-100.0
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-100.0
43.0,-100.0
44.0,-100.0
45.0,-100.0
46.0,-100.0
47.0,-100.0
48.0,-100.0
49.0,-100.0
50.0,-100.0
51.0,-100.0
52.0,-97.796875
53.0,-90.0
54.0,-90.0
55.0,-90.0
56.0,-90.0
57.0,-90.0
58.0,-90.0
59.0,-90.0
60.0,-90.0
61.0,-90.0
62.0,-90.0
63.0,-90.0
64.0,-90.0
65.0,-90.0
66.0,-90.0
67.0,-90.0
68.0,-90.0
69.0,-90.0
70.0,-90.0
71.0,-90.0
72.0,-90.0
73.0,-90.0
74.0,-90.0
75.0,-90.0
76.0,-90.0
77.0,-90.0
78.0,-90.0
79.0,-90.0
80.0,-90.0
81.0,-90.0
82.0,-91.64090909090909
83.0,-95.0
84.0,-95.0
85.0,-95.0
86.0,-95.0
87.0,-95.0
88.0,-95.0
89.0,-95.0
90.0,-95.0
91.0,-95.0
92.0,-95.0
93.0,-95.0
94.0,-95.0
95.0,-95.0
96.0,-95.0
97.0,-95.0
98.0,-95.0
99.0,-95.0
100.0,-95.0
101.0,-95.0
102.0,-95.0
103.0,-95.0
104.0,-95.0
105.0,-89.97291666666666
106.0,-84.21617647058824
107.0,-79.0
108.0,-79.0
109.0,-79.0
110.0,-72.14166666666667
111.0,-69.0
112.0,-69.0
113.0,-69.0
114.0,-69.0
115.0,-69.0
116.0,-69.0
117.0,-69.0
118.0,-69.0
119.0,-69.0
120.0,-69.0
121.0,-69.0
122.0,-69.0
123.0,-69.0
124.0,-69.0
125.0,-69.0
126.0,-69.0
127.0,-69.0
128.0,-69.0
129.0,-69.0
130.0,-69.0
131.0,-69.0
132.0,-69.0
133.0,-69.0
134.0,-69.0
135.0,-69.0
136.0,-69.0
137.0,-69.0
138.0,-69.0
139.0,-69.0
140.0,-66.34289772727273
141.0,-61.0
142.0,-61.0
143.0,-61.0
144.0,-61.0
145.0,-61.0
146.0,-61.0
147.0,-61.0
148.0,-61.0
149.0,-61.0
150.0,-61.0
151.0,-61.0
152.0,-61.0
153.0,-61.0
154.0,-61.0
155.0,-61.0
156.0,-61.0
157.0,-61.0
158.0,-61.0
159.0,-61.0
160.0,-61.0
161.0,-61.0
162.0,-61.0
163.0,-61.0
164.0,-61.0
165.0,-61.0
166.0,-61.0
167.0,-61.0
168.0,-61.0
169.0,-61.0
170.0,-61.0
171.0,-61.0
172.0,-61.0
173.0,-61.0
174.0,-61.0
175.0,-61.0
176.0,-61.0
177.0,-61.0
178.0,-61.0
179.0,-61.0
180.0,-61.0
181.0,-61.0
182.0,-61.0
183.0,-61.0
184.0,-61.0
