,age,id,length_min,title_matched_path,title_matched,title,uuid,violence_rating,violence_text
7505,16,6078548,85,/data/GDI/Film2018/The_Possession_of_Hannah_Grace.mp4,The Possession of Hannah Grace,The Possession of Hannah Grace,59b313bc-95e7-4f53-8c66-2c559ae32007,4.0,"Graphic gore. Several characters killed in gruesome ways. A character impaled through the forehead, with bloody splatter. Images of cadavers covered with open wounds, burns, etc. A character uses a pillow to smother someone who's possessed. Sounds of bones snapping. Throat-slicing. One character threatens another with a knife. Fighting, struggling. Scary stuff, jump scares, screaming, shrieking, etc. Bloody cuts. Guns and shooting, with characters shot. Gorily descriptive dialogue."
669,15,6114900,87,/data/GDI/SeeJane_2019/Crawl.mp4,Crawl,Crawl,e6d1c908-ad4d-4373-9051-dc74807d3ad1,4.0,"Intense blood and gore. Many alligator attacks. Characters are chomped and torn to bits, with blood swirling in the water. Bloody, gory cuts and wounds. Arm chewed off. Dead, chewed-up bodies floating in the water. A gun is fired at an alligator. Moments of terror. Gator thrashes a woman against walls. Character sets his own broken leg. Character nearly drowns. Dead animal in trap."
7229,14,5928346,88,/data/GDI/Film2018/Breaking_In.mp4,Breaking In,Breaking In,9d1a4a25-7184-411e-9d69-6c5363ca7693,4.0,"Guns and shooting. Characters are killed. Woman are beaten, punched, thrown by men. Other characters are beaten. A man is hit by a truck. Head-stomping. Character stabbed/sliced with knives, broken glass, etc. Some blood stains/wounds shown. Teen girl hit/threatened; threat of rape. Children in peril. Characters fall down a hill/from high places. Reference to a man being ""on his knees in the shower stall"" while in jail."
7442,9,6066934,88,/data/GDI/Film2018/Johnny_English_Strikes_Again.mp4,Johnny English Strikes Again,Johnny English Strikes Again,ff981eac-eda1-4293-9685-cc3d8dc9761c,4.0,"Bloodless violence intended to be comical. Characters carry, aim guns at people; at one point, villain fires gun repeatedly at someone but doesn't strike him. In video game simulation, animated person is shot to death by machine gun. Elderly woman in wheelchair kicked into oncoming traffic. Tour guide dropped from top of double-decker bus. Several ""good guys"" killed with explosives. Characters frequently knocked out by being hit on the head. A man is hit repeatedly with a shoe. A nuclear missile is fired. Restaurant full of people unintentionally set on fire. Tear gas missile fired at bicyclists; implication is that it's OK because their nationality is annoying. A character repeatedly tries to kill another character, including with poison and piano wire. Someone is struck by rotating helicopter blades but isn't hurt. Children are given deadly spy weapons. Any positive outcomes are a stroke of luck."
7188,14,5904321,90,/data/GDI/Film2018/Quiet_Place.mp4,Quiet Place,A Quiet Place,d910fd6b-ac2b-49cc-a574-c977c0909d39,4.0,"A young boy is attacked (and killed, offscreen) by a monster; he's quickly snatched away in the blink of an eye. Children in jeopardy. A monster kills a raccoon, with blood spurt. A woman's body is torn to shreds. A bare foot steps on a protruding nail, with blood puddles. Blood puddles in tub. Bloody handprint. Some guns and shooting. A man commits suicide by screaming and letting monsters grab him. Family members argue. Jump scares/sudden noises. Small baby placed in a box (to protect him from monsters)."
7570,16,6097112,93,/data/GDI/SeeJane_2019/The_Curse_of_La_Llorona.mp4,The Curse of La Llorona,The Curse of La Llorona,9d830a8a-d838-4dab-9424-dfa047b2eef0,4.0,"Scary stuff; jump scares. Children are in peril and die. A boy falls down the stairs and sprains his wrist. Ghost grabs children's arms, leaving burn marks. Young girl nearly drowned in tub. A character pulls a gun and shoots another character in the shoulder. Some blood shown. Character attacks another, swinging a hammer. Character slammed against wall, dragged by ghost. Ghost stabbed by wooden cross. A child playing ""cops"" pretends to shoot a gun. Eggs spurt red, goopy stuff everywhere."
7372,14,6035336,93,/data/GDI/Film2018/Slender_Man.mp4,Slender Man,Slender Man,404ee188-2c4d-4b8f-b33e-d2a672f7da13,4.0,"Unsettling images quickly pass by in nightmares/video montages. Jump scares. A teen girl is grabbed, choked by a monster. A teen girl's belly swells; black claws burst out of it. An angry, upset man grabs a teen girl. Teen girls frightened, screaming. Arguing. Dissecting eyes in science class. Suicide attempts. A fast-paced, strobe-like sequence could be difficult for those with photosensitivity."
7254,12,5941631,96,/data/GDI/Film2018/Alpha.mp4,Alpha,Alpha,0cc1134a-a384-4da7-a7b9-92809833ec1b,4.0,"It's a survival story, so main character and his wolf ally face significant, intense peril, including cliff falls, animal attacks, exposure to the elements, hunger and thirst, lingering injuries, illness. Animals are killed out of necessity. In one scene, teens are briefly beaten by adults as part of a rite of passage, but it's not done viciously and not shown closely (it's out of focus in the frame)."
1413,16,6035601,96,/data/GDI/Film2018/The_Nun.mp4,The Nun,The Nun,a7ee26a2-040b-4396-9387-0a738a77e8c6,4.0,"Jump scares. Monster attacks. Scary stuff. An act of suicide. Characters die. Bloody, decimated corpse shown. Blood-covered body parts. Pools of blood. Brief image of blood flowing down stairs. Character buried alive. Gun/shooting. Whip marks/cuts appear on a woman's back. Man is stabbed by the pointed end of crucifix. Woman on fire. A man performs a scary/noisy exorcism on a young boy. Characters discuss a 12-year-old girl's death by suicide. Snakes attack."
7533,14,6089973,97,/data/GDI/SeeJane_2019_2/Arctic.mp4,Arctic,Arctic,26ddd958-5e0a-41cc-956b-bfd4c4bb7c08,4.0,"Helicopter crash. Character dies; dead body shown. Character injured; bloody stomach wound, which is stapled closed. Jump scare involving polar bear. Bleeding, injured leg; spatters of blood in snow. Catching fish, whacking fish's head to knock it unconscious. Moments of intense peril, screaming."
5619,8,4943466,99,/data/GDI/Film2018/Show_Dogs.mp4,Show Dogs,Snow Dogs,e47cf36e-7b30-4db3-99b3-6841fe525622,4.0,"Extensive slapstick cartoon action, coupled with some moments of real suspense. Leading character has numerous encounters with a snarling, seemingly ferocious dog and must escape from an angry bear. Many scenes show him in jeopardy, most of it obvious and comic. He slips, skids, falls, gets lost, is dragged over snow and ice, is socked in the face, nearly falls to his death when his sled goes over the side of a mountain, finds himself trapped on a frozen lake with breaking ice, is chased and bitten (on padded pants) by a dog, crashes through a window, and has a couple of close calls in an airplane. A block of frozen Gatorade is ""poured"" on a man, who is knocked out."
7118,13,5860746,99,/data/GDI/Film2018/Winchester.mp4,Winchester,Winchester,ddb96ffa-65fd-4e99-86cc-32d1e88a0341,4.0,"Gun violence, with shooting and killing. Minor blood spatter shown. A child who's possessed by a malevolent spirit fires a shotgun at a woman. Ghosts and scary stuff. Jump scares. Scar on chest."
199,14,6081496,100,/data/GDI/SeeJane_2019/Escape_Room.mp4,Escape Room,Escape Room,817a5811-8b6b-469d-8145-e00acc771206,4.0,"Though setup and several story elements are similar to Saw franchise, Escape Room is significantly less graphic, with notably less blood/gore. Still, elaborate traps lead to fatalities (drowning/freezing, falling, electrocution, etc.). There's a shooting, a fight that leads to a mortal wound, other murder attempts. But despite essential cruelty of the ""game,"" the deaths aren't drawn out as they are in the Saw movies. Main element here is peril rather than explicit violence. Teen drinking leads to fatal car accident."
7174,11,5890001,101,/data/GDI/Film2018/Isle_of_Dogs.mp4,Isle of Dogs,Isle of Dogs,392cb639-5a96-475f-9269-b0f2e7d85a5a,4.0,"Chunk of metal impaled in boy's head (it doesn't affect him at all). Small blood spurt. Drawings/depictions of a beheaded samurai. Dogs fight; shown as swirling clouds of smoke, with appendages jutting in and out. Dog with military-issue ""exploding teeth"" that fire like bullets. Some wounds -- e.g., a chewed-off ear. Disturbing sushi-making scene (chopping and slicing live fish). A human character is poisoned; a dead body with bulging eyes is shown. Dogs locked in cages. Mention of a boy's parents dying in a train wreck. Unpleasant pictures of dogs sick with ""canine flu."" Dog skeletons. Mention of dogs being put to sleep. Spoken story about a dog biting a child, with ""blood all over the floor."" Some shouting/yelling. Kidney transplant operation shown, with some blood and gore. Scary character with monster-like face. Talk of suicide."
7544,15,6091575,101,/data/GDI/SeeJane_2019/Pet_Sematary.mp4,Pet Sematary,Pet Sematary,5daa5021-8c11-4228-bcdc-433a9f2329e2,4.0,"Fighting, struggling, stabbing, slicing. Deaths and bloody wounds. Man with wounded, gory face. Lots of dripping blood. Man tries to choke monster in guise of a young girl. Dead cat shown. A woman with a spinal malady has twisted, jutting bones. Cat brings a twitching, half-dead bird into house. Young girl scratched by cat. Small boy frightened. Creepy, unsettling imagery. Nightmare sequences (blood pouring from cabinet). Frequent talk of death. Gun shown; one gunshot heard."
