,age,id,length_min,title_matched_path,title_matched,title,uuid,violence_rating,violence_text
386,16,6129035,89,/data/GDI/SeeJane_2019_2/Rambo__Last_Blood.mp4,Rambo  Last Blood,Rambo: Last Blood,8740501b-6134-4b74-8fd8-f137dfddd955,5.0,"Extreme blood and gore, lots of guns/shooting, and multiple deaths. Explosions. Knives and stabbing. Severed head and foot. Characters bashed with a hammer. Heart cut out of chest. Bow and arrows, characters pierced with arrows. Characters killed or maimed by traps. Knives used to carve characters' faces. Characters set on fire. Character run through by steel pole. Characters fall on spikes. Teen girls are kidnapped into a human trafficking ring and used as prostitutes. They're treated roughly, drugged, shown to be bruised and cut. A group of thugs gangs up on the main character, beating him to a pulp (bloody face, swollen eyelids). Brief, violent Vietnam flashbacks. Verbal description of a man beating his wife."
120,17,6136280,93,/data/GDI/SeeJane_2019_3/Zombieland_Double_Tap.mp4,Zombieland Double Tap,Zombieland: Double Tap,68ae19f3-0123-4e6c-83a7-63090de02fb1,5.0,"Extremely strong zombie violence, much presented with a comic tone. Guns and shooting. Blood spurts. Zombie tongue ripped off. Zombie head smashed. Zombie beheading. Eyeball pulled out of socket. Zombie ground up in hay baler. Monster truck runs over zombies. Humans turn into zombies (vomiting). Head slammed against windshield. Explosion."
547,16,6126198,95,/data/GDI/SeeJane_2019_2/Ready_or_Not.mp4,Ready or Not,Ready or Not,f3c9312b-16c8-4070-8231-f34f761fa7a8,5.0,"Wall-to-wall shocking, gory violence. Characters are crushed by a dumbwaiter, shot by arrows, bludgeoned with guns and tea kettles, strangled, shot in the face; they die spitting and choking on dark blood, with terrible gurgling noises. Violence is frequently given a comic spin -- e.g., when a character accidentally shoots another with a crossbow, the family upbraids her for being a klutz, not for taking a human life. Small children die and are involved in violence, too; at one point, a young boy shoots another character bloodily and is knocked out by a punch. Dead bodies are seen in extended scenes; the camera lingers on a severed head as characters exchange light banter, unaffected."
7619,17,6109773,99,/data/GDI/SeeJane_2019/Ma.mp4,Ma,Ma,b69e72d9-425a-4958-94fe-b5702c49abc2,5.0,"Truck mows down a jogger; the body is jolted and smashed. Bloody corpse shown. Wrist-slicing, with gushing blood. Torture includes lips being sewn shut, burning with a hot iron, hitting with the edge of an iron, stabbing with a knife. Gun is drawn and pointed threateningly. Someone is shot, with bloody trail on floor. Hitting with frying pan. Building on fire. Grabbing, threatening. Jump scare. (Spoiler alert) A character seeks revenge related to a public humiliation involving a sex act that she didn't intend to be part of."
1378,16,6116317,106,/data/GDI/SeeJane_2019/Annabelle_Comes_Home.mp4,Annabelle Comes Home,Annabelle Comes Home,13412958-788a-4feb-967f-f273d73e1966,5.0,"Intense moments of terror. Ghosts, demons, etc. Rampaging werewolf/hellhound. Teen girl's face covered with blood. Ghost ""vomits"" blood into her mouth. Knife-wielding ghost wears blood-covered dress. Teen girl stabbed in stomach. Ghost suddenly has bloody face. Man nearly hit by a truck. Scary swordfighting, screaming noises. Bullying at school. A teen wants to contact her dead father."
4468,17,6100279,106,/data/GDI/SeeJane_2019_2/Unplanned.mp4,Unplanned,Unplanned,e376117d-ab42-4954-bf95-906fda180961,5.0,"Violence is extremely disturbing, realistic. Emotional consequences shown at excruciating length. A long early scene depicts surgical abortion: Viewers see a woman covered in a sheet, crying and whimpering ""It hurts!"" Picture of 13-week-old fetus shown on ultrasound, kicking and writhing as if in pain before getting pulled out of uterus, trying to hold on to sides as it's sucked out (some doctors have firmly disputed the accuracy of these images). Blood and tissue shown streaming through tubes, with liquid noises. Abortion clinic protestors hold up signs with graphic photos (e.g., unborn baby with dismembered limbs). A woman has an abortion via RU486; viewers see her retching into toilet (no vomit visible), groaning with clearly agonizing pain; blood, bloody chunks fall out from between her legs. At scene's end, camera pulls up to show bloody spatters, pools all over bathroom. Technicians reassemble bodies of aborted fetuses to make sure nothing's left in mother's body; viewers see very small realistic dead fetus's head, face, arm. A character sees realistic pre-term dead fetus in petri dish that she examines with an instrument, lifting small, bloody hand. A physician who performs abortions is shot; viewers see news report about it (does not include images of shooting)."
462,17,5272816,108,/data/GDI/Film2018/Deadpool_2.mp4,Deadpool 2,Deadpool,4114b5b7-1df8-48b4-a093-e06ade80617c,5.0,"Extremely strong, bloody, graphic violence: decapitations, brains oozing out of shots to the head, torture that leads to moaning (and eventually Deadpool's mutant transformation), and lots of gory injuries, explosions, and hand-to-hand fights."
4569,18,6069264,109,/data/GDI/Film2018/Overboard.mp4,Overboard,Overlord,d9de86d1-d373-42b1-a5fa-67c9b65b4bbe,5.0,"Extreme gore and blood. Lots of guns/shooting; characters shot and killed, with sprays of blood. Explosions. Many dead bodies. Bloody wounds. Jump scares. Nazi tries to rape woman but is interrupted. Punching, kicking, beating with blunt objects. Stabbing and slicing, twisting knife in wound. A plane shot down; it catches fire and explodes. Lots and lots of screaming, yelling. Weird, horrifying images, gory makeup. Twisted, crazed monsters. Stomping on monster head; smashed brains and gore. Hole in face. Exploding head. Severed limbs. Impalement. Monsters burned with flamethrowers. Pile of unidentified bones/guts in woods (a jackal?). Vomiting. Chasing, violently grabbing a woman. Nazis set a pile of Jesus sculptures on fire."
455,17,5884711,111,/data/GDI/Film2018/Deadpool_2.mp4,Deadpool 2,Deadpool 2,1a220eab-65ac-41c9-ad50-12411913406f,5.0,"Extremely strong, bloody, graphic violence: decapitations, brains oozing out of shots to the head, limbs sliced/shot off, torture, hand-to-hand combat, self-immolation, fireballs thrown with explosive results. People are crushed, smacked by trucks, impaled, burned by acidic vomit, run over, shredded, torn in half, etc. Tons of very bloody injuries, explosions, and hand-to-hand fights. One very sad death; other scenes show the tragic results of a future murder (including a dead child). Children abused by authority figures."
668,17,6125060,114,/data/GDI/SeeJane_2019_2/Angel_Has_Fallen.mp4,Angel Has Fallen,Angel Has Fallen,900d1581-1ad0-4084-a9db-e715826fcbe8,5.0,"Nonstop, super-intense mayhem and violence. People are hit with grenades, other explosive devices; many, many bodies fly through the air, are on fire. People are shot; usually they just fall to the ground, but sometimes viewers see spattering or pooling blood. People are hit by cars, stabbed, strangled; a hospital is blown up, presumably causing an enormous number of deaths. Many scenes are filled with high-tech weaponry, military aircraft, advanced guns. Vehicles crash into each other, skid down the road, burst into flames. Character bludgeoned in front of a small child, who screams and cries. Deaths are usually of identically dressed soldiers whose faces are obscured by helmets/masks, but some sympathetic characters are killed suddenly on-screen."
