,AZSSG2REHDX18,ASEW6NZHLI41K,ACBG07QLGIDP0,AYYSG3O9FNU15,AJE5OG666CBAC,A1XY2JMPVJCF4,A5XU9JZ5IHLA1,ACM1CEGHXTKZP
13544,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
13561,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
13578,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
13594,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
13611,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
17609,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
17610,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0
17650,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
17691,-100.0,-100.0,-100.0,-95.0,-100.0,-100.0,-100.0,-100.0
17731,-100.0,-100.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0
17732,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
18891,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
18909,-100.0,-100.0,-100.0,,-100.0,-100.0,-99.0,-100.0
18924,-100.0,-100.0,-100.0,,-100.0,-100.0,-98.0,-100.0
18941,-100.0,-100.0,-100.0,,-100.0,-100.0,-97.0,-100.0
18958,-100.0,-100.0,-100.0,,-100.0,-100.0,-96.0,-100.0
18974,-100.0,-100.0,-100.0,,-100.0,-100.0,-95.0,-100.0
18991,-100.0,-100.0,-100.0,,-100.0,-100.0,-94.0,-100.0
19009,-100.0,-100.0,-100.0,,-100.0,-100.0,-92.0,-100.0
19024,-100.0,-100.0,-100.0,,-100.0,-100.0,-91.0,-100.0
26474,-100.0,-100.0,-100.0,,-100.0,-100.0,-91.0,-100.0
26492,-100.0,-100.0,-100.0,,-100.0,-100.0,-90.0,-100.0
26507,-100.0,-100.0,-100.0,,-100.0,-100.0,-89.0,-100.0
26524,-100.0,-100.0,-100.0,,-100.0,-100.0,-88.0,-100.0
26540,-100.0,-100.0,-100.0,,-100.0,-100.0,-87.0,-100.0
26557,-100.0,-100.0,-100.0,,-100.0,-100.0,-86.0,-100.0
26563,-100.0,-100.0,-100.0,,-100.0,-100.0,-85.5,-100.0
26574,-99.5,-100.0,-100.0,,-100.0,-100.0,-85.0,-100.0
26579,-99.0,-100.0,-100.0,,-100.0,-100.0,-84.0,-100.0
26591,-98.0,-100.0,-100.0,,-100.0,-100.0,-83.0,-100.0
26593,-97.0,-100.0,-100.0,,-100.0,-100.0,-82.5,-100.0
26607,-96.5,-100.0,-100.0,,-100.0,-100.0,-82.0,-100.0
26618,-96.0,-100.0,-100.0,,-100.0,-100.0,-81.5,-100.0
26624,-95.5,-100.0,-100.0,,-100.0,-100.0,-81.0,-100.0
26635,-95.0,-100.0,-100.0,,-100.0,-100.0,-81.0,-100.0
26649,-94.0,-100.0,-100.0,,-100.0,-100.0,-81.0,-100.0
26664,-93.0,-100.0,-100.0,,-100.0,-100.0,-81.0,-100.0
26681,-92.0,-100.0,-100.0,,-100.0,-100.0,-81.0,-100.0
26696,-91.0,-100.0,-100.0,,-100.0,-100.0,-81.0,-100.0
26710,-90.0,-100.0,-100.0,,-100.0,-100.0,-81.0,-100.0
26726,-89.0,-100.0,-100.0,,-100.0,-100.0,-81.0,-100.0
26742,-87.0,-100.0,-100.0,,-100.0,-100.0,-81.0,-100.0
26768,-86.0,-100.0,-100.0,,-100.0,-100.0,-81.0,-100.0
26774,-85.5,-100.0,-100.0,,-100.0,-100.0,-81.0,-100.0
26782,-85.0,-100.0,-100.0,,-100.0,-100.0,-80.5,-100.0
26792,-84.5,-100.0,-100.0,,-100.0,-100.0,-80.0,-100.0
26798,-84.0,-100.0,-100.0,,-100.0,-100.0,-79.5,-100.0
26807,-83.5,-100.0,-100.0,,-100.0,-100.0,-79.0,-100.0
26815,-83.0,-100.0,-100.0,,-100.0,-100.0,-78.5,-100.0
26824,-82.5,-100.0,-100.0,,-100.0,-100.0,-78.0,-100.0
26829,-82.0,-100.0,-100.0,,-100.0,-100.0,-77.5,-100.0
26840,-81.5,-100.0,-100.0,,-100.0,-100.0,-77.0,-100.0
26844,-81.0,-100.0,-100.0,,-100.0,-100.0,-76.5,-100.0
26857,-80.5,-100.0,-100.0,,-100.0,-100.0,-76.0,-100.0
26860,-80.0,-100.0,-100.0,,-100.0,-100.0,-75.5,-100.0
26874,-79.5,-100.0,-100.0,,-100.0,-100.0,-75.0,-100.0
26886,-79.0,-100.0,-100.0,,-100.0,-100.0,-74.5,-100.0
26891,-78.0,-100.0,-100.0,,-100.0,-100.0,-74.0,-100.0
26900,-77.0,-100.0,-100.0,,-100.0,-100.0,-73.5,-100.0
26907,-76.5,-100.0,-100.0,,-100.0,-100.0,-73.0,-100.0
26916,-76.0,-100.0,-100.0,,-100.0,-100.0,-72.5,-100.0
26925,-75.5,-100.0,-100.0,,-100.0,-100.0,-72.0,-100.0
26932,-75.0,-100.0,-100.0,,-100.0,-100.0,-72.0,-100.0
26948,-74.0,-100.0,-100.0,,-100.0,-100.0,-72.0,-100.0
26961,-73.0,-100.0,-100.0,,-100.0,-100.0,-72.0,-100.0
26979,-72.0,-100.0,-100.0,,-100.0,-100.0,-72.0,-100.0
26993,-71.0,-100.0,-100.0,,-100.0,-100.0,-72.0,-100.0
27011,-70.5,-100.0,-100.0,,-100.0,-100.0,-72.0,-100.0
27019,-70.0,-100.0,-100.0,,-100.0,-100.0,-72.0,-100.0
27028,-69.5,-100.0,-100.0,,-100.0,-100.0,-72.0,-100.0
27033,-69.0,-100.0,-100.0,,-100.0,-100.0,-72.0,-100.0
27040,-68.33333333333333,-100.0,-100.0,,-100.0,-100.0,-72.0,-100.0
27044,-67.66666666666667,-100.0,-100.0,,-100.0,-100.0,-71.66666666666667,-100.0
27051,-67.0,-100.0,-100.0,,-100.0,-100.0,-71.33333333333333,-100.0
27059,-66.66666666666667,-100.0,-100.0,,-100.0,-100.0,-71.0,-100.0
27061,-66.33333333333333,-100.0,-100.0,,-100.0,-100.0,-70.66666666666667,-100.0
27065,-66.0,-100.0,-100.0,,-100.0,-100.0,-70.33333333333333,-100.0
27076,-65.66666666666667,-100.0,-100.0,,-100.0,-100.0,-70.0,-100.0
27078,-65.33333333333333,-100.0,-100.0,,-100.0,-100.0,-69.66666666666667,-100.0
27080,-65.0,-100.0,-100.0,,-100.0,-100.0,-69.33333333333333,-100.0
27090,-64.66666666666667,-100.0,-100.0,,-100.0,-100.0,-69.0,-100.0
27094,-64.33333333333333,-100.0,-100.0,,-100.0,-100.0,-68.66666666666667,-100.0
27097,-64.0,-100.0,-100.0,,-100.0,-100.0,-68.33333333333333,-100.0
27107,-63.5,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
27111,-63.0,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
27126,-62.0,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
27128,-61.666666666666664,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
27144,-61.333333333333336,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
27151,-61.0,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
27161,-60.5,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
27168,-60.0,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
27179,-59.5,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
27183,-59.0,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
27195,-58.0,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
27197,-57.0,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
27215,-56.0,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
28028,-56.0,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
28045,-56.0,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
28061,-56.0,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
28078,-56.0,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
28094,-56.0,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
28111,-56.0,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
28128,-56.0,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
28144,-56.0,-100.0,-100.0,,-100.0,-100.0,-68.0,-100.0
28161,-56.0,-100.0,-100.0,,-99.8,-100.0,-68.0,-100.0
28169,-56.0,-100.0,-100.0,,-99.6,-100.0,-68.0,-100.0
28170,-56.0,-100.0,-100.0,-91.0,-99.4,-100.0,-68.0,-100.0
28178,-56.0,-100.0,-100.0,-90.75,-99.2,-100.0,-68.0,-100.0
28190,-56.0,-100.0,-100.0,-90.5,-99.0,-100.0,-68.0,-100.0
28194,-56.0,-100.0,-100.0,-90.25,-98.33333333333333,-100.0,-68.0,-100.0
28211,-56.0,-100.0,-100.0,-90.0,-97.66666666666667,-100.0,-68.0,-100.0
28225,-56.0,-100.0,-100.0,-89.5,-97.0,-100.0,-68.0,-100.0
28228,-56.0,-100.0,-100.0,-89.0,-96.5,-100.0,-68.0,-100.0
28244,-56.0,-100.0,-100.0,-88.5,-96.0,-100.0,-68.0,-100.0
28252,-56.0,-100.0,-100.0,-88.0,-95.5,-100.0,-68.0,-100.0
28260,-56.0,-100.0,-100.0,-87.4,-95.0,-100.0,-68.0,-100.0
28261,-56.0,-100.0,-100.0,-86.8,-94.5,-100.0,-68.0,-100.0
28278,-56.0,-100.0,-100.0,-86.2,-94.0,-100.0,-68.0,-100.0
28285,-56.0,-100.0,-100.0,-85.6,-93.5,-100.0,-68.0,-100.0
28293,-56.0,-100.0,-100.0,-85.0,-93.0,-100.0,-68.0,-99.5
28294,-56.0,-100.0,-100.0,-84.9,-92.5,-100.0,-68.0,-99.0
28306,-56.0,-100.0,-100.0,-84.8,-92.0,-100.0,-68.0,-98.5
28311,-56.0,-100.0,-100.0,-84.7,-91.5,-100.0,-68.0,-98.0
28327,-56.0,-100.0,-100.0,-84.6,-91.0,-100.0,-68.0,-97.0
28328,-56.0,-100.0,-100.0,-84.5,-90.5,-100.0,-68.0,-96.66666666666667
28341,-56.0,-100.0,-100.0,-84.4,-90.0,-100.0,-68.0,-96.33333333333333
28345,-56.0,-100.0,-100.0,-84.3,-89.57142857142857,-100.0,-68.0,-96.0
28361,-56.0,-100.0,-100.0,-84.2,-89.14285714285714,-100.0,-68.0,-95.5
28364,-56.0,-100.0,-100.0,-84.1,-88.71428571428571,-100.0,-68.0,-95.0
28375,-56.0,-100.0,-100.0,-84.0,-88.28571428571429,-100.0,-68.0,-94.33333333333333
28378,-56.0,-100.0,-100.0,-83.875,-87.85714285714286,-100.0,-68.0,-93.66666666666667
28381,-56.0,-100.0,-100.0,-83.75,-87.42857142857143,-100.0,-68.0,-93.0
28387,-56.0,-100.0,-100.0,-83.625,-87.0,-100.0,-68.0,-92.66666666666667
28394,-56.0,-100.0,-100.0,-83.5,-87.0,-100.0,-68.0,-92.33333333333333
28399,-56.0,-100.0,-100.0,-83.375,-87.0,-100.0,-68.0,-92.0
28411,-56.0,-100.0,-100.0,-83.25,-87.0,-100.0,-68.0,-91.5
28416,-56.0,-100.0,-100.0,-83.125,-87.0,-100.0,-68.0,-91.0
28420,-56.0,-100.0,-100.0,-83.0,-87.0,-100.0,-68.0,-90.66666666666667
28428,-56.0,-100.0,-100.0,-82.66666666666667,-87.0,-100.0,-68.0,-90.33333333333333
28433,-56.0,-100.0,-100.0,-82.33333333333333,-87.0,-100.0,-68.0,-90.0
28444,-56.0,-100.0,-100.0,-82.0,-87.0,-100.0,-68.0,-89.5
28452,-56.0,-100.0,-100.0,-81.66666666666667,-87.0,-100.0,-68.0,-89.0
28459,-56.0,-100.0,-100.0,-81.33333333333333,-87.0,-100.0,-68.0,-88.0
28461,-56.0,-100.0,-100.0,-81.0,-87.0,-100.0,-68.0,-87.5
28477,-56.0,-100.0,-100.0,-80.6,-87.0,-100.0,-68.0,-87.0
28478,-56.0,-100.0,-100.0,-80.2,-87.0,-100.0,-68.0,-86.66666666666667
28494,-56.0,-100.0,-100.0,-79.8,-87.0,-100.0,-68.0,-86.33333333333333
28495,-56.0,-100.0,-100.0,-79.4,-87.0,-100.0,-68.0,-86.0
28503,-56.0,-100.0,-100.0,-79.0,-87.0,-100.0,-68.0,-85.5
28511,-56.0,-100.0,-100.0,-78.4,-87.0,-100.0,-68.0,-85.0
28528,-56.0,-100.0,-100.0,-77.8,-87.0,-100.0,-68.0,-84.0
28529,-56.0,-100.0,-100.0,-77.2,-87.0,-100.0,-68.0,-83.0
28544,-56.0,-100.0,-100.0,-76.6,-87.0,-100.0,-68.0,-82.66666666666667
28545,-56.0,-100.0,-100.0,-76.0,-87.0,-100.0,-68.0,-82.33333333333333
28547,-56.0,-100.0,-100.0,-75.66666666666667,-87.0,-100.0,-68.0,-82.0
28561,-56.0,-100.0,-100.0,-75.33333333333333,-87.0,-100.0,-68.0,-81.5
28567,-56.0,-100.0,-100.0,-75.0,-87.0,-100.0,-68.0,-81.0
28578,-56.0,-100.0,-100.0,-74.66666666666667,-87.0,-100.0,-68.0,-80.5
28583,-56.0,-100.0,-100.0,-74.33333333333333,-87.0,-100.0,-68.0,-80.0
28585,-56.0,-100.0,-100.0,-74.0,-87.0,-100.0,-68.0,-79.66666666666667
28594,-56.0,-100.0,-100.0,-73.9090909090909,-87.0,-100.0,-68.0,-79.33333333333333
28601,-56.0,-100.0,-100.0,-73.81818181818181,-87.0,-100.0,-68.0,-79.0
28609,-56.0,-100.0,-100.0,-73.72727272727273,-87.0,-100.0,-68.0,-78.66666666666667
28611,-56.0,-100.0,-100.0,-73.63636363636364,-87.0,-100.0,-68.0,-78.33333333333333
28618,-56.0,-100.0,-100.0,-73.54545454545455,-87.0,-100.0,-68.0,-78.0
28625,-56.0,-100.0,-100.0,-73.45454545454545,-87.0,-100.0,-68.0,-77.0
28628,-56.0,-100.0,-100.0,-73.36363636363636,-87.0,-100.0,-68.0,-76.5
28643,-56.0,-100.0,-100.0,-73.27272727272727,-87.0,-100.0,-68.0,-76.0
28645,-56.0,-100.0,-100.0,-73.18181818181819,-87.0,-100.0,-68.0,-75.5
28661,-56.0,-100.0,-100.0,-73.0909090909091,-87.0,-100.0,-68.0,-75.0
28666,-56.0,-100.0,-100.0,-73.0,-87.0,-100.0,-68.0,-74.5
28675,-56.0,-100.0,-100.0,-72.85714285714286,-87.0,-100.0,-68.0,-74.0
28678,-56.0,-100.0,-100.0,-72.71428571428571,-87.0,-100.0,-68.0,-73.5
28679,-56.0,-100.0,-100.0,-72.57142857142857,-87.0,-100.0,-68.0,-73.0
28694,-56.0,-100.0,-100.0,-72.42857142857143,-87.0,-100.0,-68.0,-72.5
28699,-56.0,-100.0,-100.0,-72.28571428571429,-87.0,-100.0,-68.0,-72.0
28703,-56.0,-100.0,-100.0,-72.14285714285714,-87.0,-100.0,-68.0,-71.75
28706,-56.0,-100.0,-100.0,-72.0,-87.0,-99.75,-68.0,-71.5
28711,-56.0,-100.0,-100.0,-71.625,-87.0,-99.5,-68.0,-71.25
28717,-56.0,-100.0,-100.0,-71.25,-87.0,-99.25,-68.0,-71.0
28720,-56.0,-100.0,-100.0,-70.875,-87.0,-99.0,-68.0,-70.66666666666667
28728,-56.0,-100.0,-100.0,-70.5,-87.0,-98.66666666666667,-68.0,-70.33333333333333
28732,-56.0,-100.0,-100.0,-70.125,-87.0,-98.33333333333333,-68.0,-70.0
28736,-56.0,-100.0,-100.0,-69.75,-87.0,-98.0,-68.0,-69.75
28744,-56.0,-100.0,-100.0,-69.375,-87.0,-97.75,-68.0,-69.5
28747,-56.0,-100.0,-100.0,-69.0,-87.0,-97.5,-68.0,-69.25
28750,-56.0,-100.0,-100.0,-68.71428571428571,-87.0,-97.25,-68.0,-69.0
28753,-56.0,-100.0,-100.0,-68.42857142857143,-87.0,-97.0,-68.0,-68.66666666666667
28761,-56.0,-100.0,-100.0,-68.14285714285714,-87.0,-96.5,-68.0,-68.33333333333333
28769,-56.0,-100.0,-100.0,-67.85714285714286,-87.0,-96.0,-68.0,-68.0
28776,-56.0,-100.0,-100.0,-67.57142857142857,-87.0,-95.33333333333333,-68.0,-67.0
28778,-56.0,-100.0,-100.0,-67.28571428571429,-87.0,-94.66666666666667,-68.0,-66.75
28787,-56.0,-100.0,-100.0,-67.0,-87.0,-94.0,-68.0,-66.5
28792,-56.0,-100.0,-100.0,-66.81818181818181,-87.0,-93.75,-68.0,-66.25
28793,-56.0,-100.0,-100.0,-66.63636363636364,-87.0,-93.5,-68.0,-66.0
28794,-56.0,-100.0,-100.0,-66.45454545454545,-87.0,-93.25,-68.0,-65.8
28802,-56.0,-100.0,-100.0,-66.27272727272727,-87.0,-93.0,-68.0,-65.6
28807,-56.0,-100.0,-100.0,-66.0909090909091,-87.0,-92.75,-68.0,-65.4
28812,-56.0,-100.0,-100.0,-65.9090909090909,-87.0,-92.5,-67.8,-65.2
28813,-56.0,-100.0,-100.0,-65.72727272727273,-87.0,-92.25,-67.6,-65.0
28820,-56.0,-100.0,-100.0,-65.54545454545455,-87.0,-92.0,-67.4,-64.8
28824,-56.0,-100.0,-100.0,-65.36363636363636,-87.0,-91.8,-67.2,-64.6
28825,-56.0,-100.0,-100.0,-65.18181818181819,-87.0,-91.6,-67.0,-64.4
28827,-56.0,-100.0,-100.0,-65.0,-87.0,-91.4,-66.75,-64.2
28828,-56.0,-100.0,-100.0,-64.85714285714286,-87.0,-91.2,-66.5,-64.0
28837,-56.0,-100.0,-100.0,-64.71428571428571,-87.0,-91.0,-66.25,-63.5
28840,-56.0,-100.0,-100.0,-64.57142857142857,-87.0,-90.75,-66.0,-63.0
28842,-56.0,-100.0,-100.0,-64.42857142857143,-87.0,-90.5,-65.75,-62.5
28846,-56.0,-100.0,-100.0,-64.28571428571429,-87.0,-90.25,-65.5,-62.0
28854,-56.0,-100.0,-100.0,-64.14285714285714,-87.0,-90.0,-65.25,-61.666666666666664
28858,-56.0,-100.0,-100.0,-64.0,-87.0,-90.0,-65.0,-61.333333333333336
28865,-56.0,-100.0,-100.0,-63.857142857142854,-87.0,-90.0,-64.0,-61.0
28874,-56.0,-100.0,-100.0,-63.714285714285715,-87.0,-90.0,-63.0,-60.666666666666664
28876,-56.0,-100.0,-100.0,-63.57142857142857,-87.0,-90.0,-62.666666666666664,-60.333333333333336
28882,-56.0,-100.0,-100.0,-63.42857142857143,-87.0,-90.0,-62.333333333333336,-60.0
28890,-56.0,-100.0,-100.0,-63.285714285714285,-87.0,-90.0,-62.0,-59.5
28900,-56.0,-100.0,-100.0,-63.142857142857146,-87.0,-90.0,-61.5,-59.0
28907,-56.0,-100.0,-100.0,-63.0,-87.0,-90.0,-61.0,-58.666666666666664
28909,-56.0,-100.0,-100.0,-62.875,-87.0,-90.0,-60.666666666666664,-58.333333333333336
28916,-56.0,-100.0,-100.0,-62.75,-87.0,-90.0,-60.333333333333336,-58.0
28924,-56.0,-100.0,-100.0,-62.625,-87.0,-90.0,-60.0,-57.666666666666664
28928,-56.0,-100.0,-100.0,-62.5,-87.0,-90.0,-59.666666666666664,-57.333333333333336
28934,-56.0,-100.0,-100.0,-62.375,-87.0,-90.0,-59.333333333333336,-57.0
28940,-56.0,-100.0,-100.0,-62.25,-87.0,-90.0,-59.0,-56.5
28942,-56.0,-100.0,-100.0,-62.125,-87.0,-90.0,-58.75,-56.0
28948,-56.0,-100.0,-100.0,-62.0,-87.0,-90.0,-58.5,-55.8
28953,-56.0,-100.0,-100.0,-61.8,-87.0,-90.0,-58.25,-55.6
28957,-56.0,-100.0,-100.0,-61.6,-87.0,-89.75,-58.0,-55.4
28958,-56.0,-100.0,-100.0,-61.4,-87.0,-89.5,-57.75,-55.2
28961,-56.0,-100.0,-100.0,-61.2,-87.0,-89.25,-57.5,-55.0
28972,-56.0,-100.0,-100.0,-61.0,-87.0,-89.0,-57.25,-54.5
28974,-56.0,-100.0,-100.0,-60.8,-87.0,-88.5,-57.0,-54.0
28976,-56.0,-100.0,-100.0,-60.6,-87.0,-88.0,-56.8,-53.5
28979,-56.0,-100.0,-100.0,-60.4,-87.0,-87.5,-56.6,-53.0
28988,-56.0,-100.0,-100.0,-60.2,-87.0,-87.0,-56.4,-52.8
28989,-56.0,-100.0,-100.0,-60.0,-87.0,-86.8,-56.2,-52.6
28990,-56.0,-100.0,-100.0,-59.7,-87.0,-86.6,-56.0,-52.4
28992,-56.0,-100.0,-100.0,-59.4,-87.0,-86.4,-55.75,-52.2
28999,-56.0,-100.0,-100.0,-59.1,-87.0,-86.2,-55.5,-52.0
29004,-56.0,-100.0,-100.0,-58.8,-87.0,-86.0,-55.25,-51.75
29007,-56.0,-100.0,-100.0,-58.5,-87.0,-85.75,-55.0,-51.5
29010,-56.0,-100.0,-100.0,-58.2,-87.0,-85.5,-54.5,-51.25
29016,-56.0,-100.0,-100.0,-57.9,-87.0,-85.25,-54.0,-51.0
29021,-56.0,-100.0,-100.0,-57.6,-87.0,-85.0,-53.5,-50.8
29024,-56.0,-100.0,-100.0,-57.3,-87.0,-84.8,-53.0,-50.6
29029,-56.0,-100.0,-100.0,-57.0,-87.0,-84.6,-52.8,-50.4
29030,-56.0,-100.0,-100.0,,-87.0,-84.4,-52.6,-50.2
29031,-56.0,-100.0,-100.0,,-87.0,-84.2,-52.4,-50.0
29038,-56.0,-100.0,-100.0,,-87.0,-84.0,-52.2,-49.75
29040,-56.0,-100.0,-100.0,,-87.0,-83.75,-52.0,-49.5
29042,-56.0,-100.0,-100.0,,-87.0,-83.5,-51.75,-49.25
29048,-56.0,-100.0,-100.0,,-87.0,-83.25,-51.5,-49.0
29054,-56.0,-100.0,-100.0,,-87.0,-83.0,-51.25,-48.666666666666664
29058,-56.0,-100.0,-100.0,,-87.0,-82.66666666666667,-51.0,-48.333333333333336
29068,-56.0,-100.0,-100.0,,-87.0,-82.33333333333333,-50.666666666666664,-48.0
29072,-56.0,-100.0,-100.0,,-87.0,-82.0,-50.333333333333336,-47.75
29074,-56.0,-100.0,-100.0,,-87.0,-81.75,-50.0,-47.5
29075,-56.0,-100.0,-100.0,,-87.0,-81.5,-49.75,-47.25
29084,-56.0,-100.0,-100.0,,-87.0,-81.25,-49.5,-47.0
29088,-56.0,-100.0,-100.0,,-87.0,-81.0,-49.25,-46.666666666666664
29090,-56.0,-100.0,-100.0,,-87.0,-80.75,-49.0,-46.333333333333336
29092,-56.0,-100.0,-100.0,,-87.0,-80.5,-48.75,-46.0
29095,-56.0,-100.0,-100.0,,-87.0,-80.25,-48.5,-45.75
29105,-56.0,-100.0,-100.0,,-87.0,-80.0,-48.25,-45.5
29107,-56.0,-100.0,-100.0,,-87.0,-79.66666666666667,-48.0,-45.25
29109,-56.0,-100.0,-100.0,,-87.0,-79.33333333333333,-47.666666666666664,-45.0
29122,-56.0,-100.0,-100.0,,-87.0,-79.0,-47.333333333333336,-44.5
29123,-56.0,-100.0,-100.0,,-87.0,-78.5,-47.0,-44.0
29125,-56.0,-100.0,-100.0,,-87.0,-78.0,-46.75,-43.5
29126,-56.0,-100.0,-100.0,,-87.0,-77.5,-46.5,-43.0
29138,-56.0,-100.0,-100.0,,-87.0,-77.0,-46.25,-42.666666666666664
29140,-56.0,-100.0,-100.0,,-87.0,-77.0,-46.0,-42.333333333333336
29144,-56.0,-100.0,-100.0,,-87.0,-77.0,-45.666666666666664,-42.0
29145,-56.0,-100.0,-100.0,,-87.0,-77.0,-45.333333333333336,-42.0
29157,-56.0,-100.0,-100.0,,-87.0,-77.0,-45.0,-42.0
29160,-56.0,-100.0,-100.0,,-87.0,-77.0,-44.333333333333336,-42.0
29162,-56.0,-100.0,-100.0,,-87.0,-77.0,-43.666666666666664,-42.0
29174,-56.0,-100.0,-100.0,,-87.0,-77.0,-43.0,-42.0
29176,-56.0,-100.0,-100.0,,-87.0,-77.0,-42.666666666666664,-42.0
29178,-56.0,-100.0,-100.0,,-87.0,-77.0,-42.333333333333336,-42.0
29190,-56.0,-100.0,-100.0,,-87.0,-77.0,-42.0,-42.0
29194,-56.0,-100.0,-100.0,,-87.0,-77.0,-41.666666666666664,-42.0
29199,-56.0,-100.0,-100.0,,-87.0,-77.0,-41.333333333333336,-42.0
29207,-56.0,-100.0,-100.0,,-87.0,-77.0,-41.0,-42.0
29211,-56.0,-100.0,-100.0,,-87.0,-77.0,-40.666666666666664,-42.0
29213,-56.0,-100.0,-100.0,,-87.0,-77.0,-40.333333333333336,-42.0
29224,-56.0,-100.0,-100.0,,-87.0,-77.0,-40.0,-42.0
29228,-56.0,-100.0,-100.0,,-87.0,-77.0,-40.0,-42.0
29236,-56.0,-100.0,-100.0,,-87.0,-77.0,-40.0,-42.0
29244,-56.0,-100.0,-100.0,,-87.0,-77.0,-40.0,-42.0
29246,-56.0,-100.0,-100.0,,-87.0,-77.0,-40.0,-42.0
29261,-56.0,-100.0,-100.0,,-87.0,-77.0,-40.0,-42.0
29269,-56.0,-100.0,-100.0,,-87.0,-77.0,-40.0,-42.0
29270,-56.0,-100.0,-100.0,,-87.0,-77.0,-40.0,-42.0
29278,-56.0,-100.0,-100.0,,-86.85714285714286,-77.0,-40.0,-42.0
29283,-56.0,-100.0,-100.0,,-86.71428571428571,-77.0,-40.0,-42.0
29294,-56.0,-100.0,-100.0,,-86.57142857142857,-77.0,-40.0,-42.0
29301,-56.0,-100.0,-100.0,,-86.42857142857143,-77.0,-40.0,-42.0
29307,-56.0,-100.0,-100.0,,-86.28571428571429,-77.0,-40.0,-42.0
29311,-56.0,-100.0,-100.0,,-86.14285714285714,-76.75,-40.0,-42.0
