,AZSSG2REHDX18,ASEW6NZHLI41K,ACBG07QLGIDP0,AYYSG3O9FNU15,AJE5OG666CBAC,A1XY2JMPVJCF4,A5XU9JZ5IHLA1,ACM1CEGHXTKZP
0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
2,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
3961,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
3978,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
3994,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
4011,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
4028,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
4044,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
4061,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
8611,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
8628,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
8644,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
8661,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
8678,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
8694,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
8711,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
13444,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
13462,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
13478,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
13494,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
13511,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
13528,-100.0,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
