,AYYSG3O9FNU15,AOEGJLWFISOZQ,A4FNENGCDFSOG,AJE5OG666CBAC
298564,,-100.0,-92.0,
298596,,-100.0,-94.0,
298630,,-100.0,-96.0,
298648,,-100.0,-97.0,
298678,,-100.0,-99.0,
298712,,-100.0,-100.0,
313922,,-100.0,-100.0,
313941,,-100.0,-100.0,
313949,,-100.0,-100.0,
313988,,-100.0,-100.0,
313994,,-100.0,-100.0,
314038,,-100.0,-100.0,
314042,,-100.0,-100.0,
314071,,-100.0,-100.0,
314076,,-100.0,-100.0,
314121,,-100.0,-100.0,
317522,,-100.0,-100.0,
317539,,-100.0,-100.0,
317545,,-100.0,-100.0,
317571,,-100.0,-100.0,
317577,,-100.0,-100.0,
317620,,-100.0,-100.0,
317626,,-100.0,-100.0,
317670,,-100.0,-100.0,
317674,,-100.0,-100.0,
317703,,-100.0,-100.0,
317704,,-100.0,-100.0,
409759,,-100.0,-100.0,
409792,,-100.0,-98.0,
409823,,-100.0,-96.0,
409875,,-100.0,-92.0,
409906,,-100.0,-91.0,
413639,,-100.0,-91.0,
413658,,-100.0,-90.0,
413689,,-100.0,-88.0,
413707,,-100.0,-87.0,
413739,,-100.0,-84.0,
413758,,-100.0,-83.0,
415196,,-100.0,-83.0,
415214,,-99.0,-83.0,
415230,,-97.0,-83.0,
415247,,-96.0,-83.0,
415263,,-95.0,-83.0,
415631,,-95.0,-83.0,
415648,,-94.0,-83.0,
415664,,-93.0,-83.0,
415681,,-91.0,-83.0,
415697,,-90.0,-83.0,
417472,,-90.0,-83.0,
417491,,-90.0,-84.0,
417523,,-90.0,-86.0,
417540,,-90.0,-87.0,
417557,,-90.0,-89.0,
417589,,-90.0,-91.0,
417624,,-90.0,-93.0,
417656,,-90.0,-95.0,
417674,,-90.0,-96.0,
417707,,-90.0,-99.0,
417723,,-90.0,-100.0,
419134,,-90.0,-100.0,
419151,,-91.0,-100.0,
419168,,-92.0,-100.0,
419185,,-93.0,-100.0,
419201,,-94.0,-100.0,
419218,,-95.0,-100.0,
419234,,-96.0,-100.0,
419251,,-97.0,-100.0,
419269,,-98.0,-100.0,
419285,,-99.0,-100.0,
419301,,-100.0,-100.0,
433176,,-100.0,-100.0,
433194,,-100.0,-100.0,
457182,,-100.0,-100.0,
457183,,-100.0,-100.0,
457195,,-100.0,-100.0,
457208,,-100.0,-100.0,
457245,,-100.0,-100.0,
457252,,-100.0,-100.0,
457295,,-100.0,-100.0,
457302,,-100.0,-100.0,
457346,,-100.0,-100.0,
457353,,-100.0,-100.0,
457384,,-100.0,-100.0,
457391,,-100.0,-100.0,
457412,,-100.0,-100.0,
457815,,-100.0,-100.0,
457832,,-100.0,-100.0,
457837,,-100.0,-100.0,
457853,,-100.0,-100.0,
457857,,-100.0,-100.0,
457872,,-100.0,-100.0,
457883,,-100.0,-100.0,
457903,,-100.0,-100.0,
457908,,-100.0,-100.0,
457923,,-100.0,-100.0,
457931,,-100.0,-100.0,
457948,,-100.0,-100.0,
457980,,-100.0,-100.0,
457992,,-100.0,-100.0,
458000,,-100.0,-100.0,
458018,,-100.0,-100.0,
458315,,-100.0,-100.0,
458332,,-100.0,-100.0,
458340,,-100.0,-100.0,
458354,,-100.0,-100.0,
458359,,-100.0,-100.0,
458372,,-100.0,-100.0,
458380,,-100.0,-100.0,
458402,,-100.0,-100.0,
458409,,-100.0,-100.0,
458428,,-100.0,-100.0,
458437,,-100.0,-100.0,
458454,,-100.0,-100.0,
458485,,-100.0,-100.0,
458505,,-100.0,-100.0,
458536,,-100.0,-100.0,
458548,,-100.0,-100.0,
458558,,-100.0,-100.0,
458569,,-100.0,-100.0,
464301,,-100.0,-100.0,
464317,,-100.0,-100.0,
464322,,-100.0,-100.0,
464347,,-100.0,-100.0,
464352,,-100.0,-100.0,
464371,,-100.0,-100.0,
464381,,-100.0,-100.0,
464398,,-100.0,-100.0,
464405,,-100.0,-100.0,
464418,,-100.0,-100.0,
464424,,-100.0,-100.0,
464447,,-100.0,-100.0,
464478,,-100.0,-100.0,
464504,,-100.0,-100.0,
464511,,-100.0,-100.0,
464527,,-100.0,-100.0,
464536,,-100.0,-100.0,
464551,,-100.0,-100.0,
464561,,-100.0,-100.0,
464575,,-100.0,-100.0,
464889,,-100.0,-100.0,
464901,,-100.0,-100.0,
464908,,-100.0,-100.0,
464928,,-100.0,-100.0,
464936,,-100.0,-100.0,
464953,,-100.0,-100.0,
464960,,-100.0,-100.0,
464980,,-100.0,-100.0,
464986,,-100.0,-100.0,
465000,,-100.0,-100.0,
465032,,-100.0,-100.0,
465048,,-100.0,-100.0,
465059,,-100.0,-100.0,
465086,,-100.0,-100.0,
465681,,-100.0,-100.0,
465698,,-100.0,-100.0,
465707,,-100.0,-100.0,
465723,,-100.0,-100.0,
465727,,-100.0,-100.0,
465750,,-100.0,-100.0,
465759,,-100.0,-100.0,
465784,,-100.0,-100.0,
465789,,-100.0,-100.0,
465833,,-100.0,-100.0,
465842,,-100.0,-100.0,
465859,,-100.0,-100.0,
465867,,-100.0,-100.0,
465891,,-100.0,-100.0,
466259,,-100.0,-100.0,
466278,,-100.0,-100.0,
466284,,-100.0,-100.0,
466303,,-100.0,-100.0,
466307,,-100.0,-100.0,
466330,,-100.0,-100.0,
466337,,-100.0,-100.0,
466361,,-100.0,-100.0,
466367,,-100.0,-100.0,
466385,,-100.0,-100.0,
466391,,-100.0,-100.0,
466412,,-100.0,-100.0,
466418,,-100.0,-100.0,
466451,,-100.0,-100.0,
466459,,-100.0,-100.0,
466477,,-100.0,-100.0,
466485,,-100.0,-100.0,
466504,,-100.0,-100.0,
466511,,-100.0,-100.0,
466528,,-100.0,-100.0,
472067,,-100.0,-100.0,
472084,,-100.0,-100.0,
472090,,-100.0,-100.0,
472128,,-100.0,-100.0,
472132,,-100.0,-100.0,
472162,,-100.0,-100.0,
472168,,-100.0,-100.0,
472194,,-100.0,-100.0,
472200,,-100.0,-100.0,
472218,,-100.0,-100.0,
472227,,-100.0,-100.0,
472245,,-100.0,-100.0,
472257,,-100.0,-100.0,
472285,,-100.0,-100.0,
472533,,-100.0,-100.0,
472557,,-100.0,-100.0,
472564,,-100.0,-100.0,
472582,,-100.0,-100.0,
472599,,-100.0,-100.0,
472611,,-100.0,-100.0,
472616,,-100.0,-100.0,
472631,,-100.0,-100.0,
472635,,-100.0,-100.0,
472653,,-100.0,-100.0,
472657,,-100.0,-100.0,
472675,,-100.0,-100.0,
472679,,-100.0,-100.0,
472687,,-100.0,-100.0,
472691,,-100.0,-100.0,
472701,,-100.0,-100.0,
472705,,-100.0,-100.0,
472733,,-100.0,-100.0,
472738,,-100.0,-100.0,
472765,,-100.0,-100.0,
474945,,-100.0,-100.0,
474962,,-100.0,-100.0,
474965,,-100.0,-100.0,
474993,,-100.0,-100.0,
474997,,-100.0,-100.0,
475027,,-100.0,-100.0,
475032,,-100.0,-100.0,
475077,,-100.0,-100.0,
475080,,-100.0,-100.0,
475093,,-100.0,-100.0,
475097,,-100.0,-100.0,
475127,,-100.0,-100.0,
475134,,-100.0,-100.0,
475160,,-100.0,-100.0,
475164,,-100.0,-100.0,
475177,,-100.0,-100.0,
475183,,-100.0,-100.0,
475210,,-100.0,-100.0,
480814,,-100.0,-100.0,
480829,,-100.0,-100.0,
480834,,-100.0,-100.0,
480861,,-100.0,-100.0,
480868,,-100.0,-100.0,
480910,,-100.0,-100.0,
480916,,-100.0,-100.0,
480946,,-100.0,-100.0,
480951,,-100.0,-100.0,
480993,,-100.0,-100.0,
481001,,-100.0,-100.0,
481028,,-100.0,-100.0,
481035,,-100.0,-100.0,
481061,,-100.0,-100.0,
481314,,-100.0,-100.0,
481330,,-100.0,-100.0,
481336,,-100.0,-100.0,
481352,,-100.0,-100.0,
481372,,-100.0,-100.0,
481385,,-100.0,-100.0,
481392,,-100.0,-100.0,
481402,,-100.0,-100.0,
481407,,-100.0,-100.0,
481422,,-100.0,-100.0,
481426,,-100.0,-100.0,
481440,,-100.0,-100.0,
481444,,-100.0,-100.0,
481463,,-100.0,-100.0,
481472,,-100.0,-100.0,
481501,,-100.0,-100.0,
481507,,-100.0,-100.0,
481518,,-100.0,-100.0,
481795,,-100.0,-100.0,
481812,,-100.0,-100.0,
481817,,-100.0,-100.0,
481831,,-100.0,-100.0,
481835,,-100.0,-100.0,
481848,,-100.0,-100.0,
481857,,-100.0,-100.0,
481870,,-100.0,-100.0,
481876,,-100.0,-100.0,
481887,,-100.0,-100.0,
481896,,-100.0,-100.0,
481908,,-100.0,-100.0,
481915,,-100.0,-100.0,
481929,,-100.0,-100.0,
481934,,-100.0,-100.0,
481948,,-100.0,-100.0,
481955,,-100.0,-100.0,
481988,,-100.0,-100.0,
482241,,-100.0,-100.0,
482260,,-100.0,-100.0,
482274,,-100.0,-100.0,
482308,,-100.0,-100.0,
482325,,-100.0,-100.0,
482341,,-100.0,-100.0,
482348,,-100.0,-100.0,
482358,,-100.0,-100.0,
482371,,-100.0,-100.0,
482375,,-100.0,-100.0,
482378,,-100.0,-100.0,
482391,,-100.0,-100.0,
482397,,-100.0,-100.0,
482408,,-100.0,-100.0,
482426,,-100.0,-100.0,
482431,,-100.0,-100.0,
482448,,-100.0,-100.0,
482455,,-100.0,-100.0,
482471,,-100.0,-100.0,
482475,,-100.0,-100.0,
482489,,-100.0,-100.0,
482510,,-100.0,-100.0,
482530,,-100.0,-100.0,
482537,,-100.0,-100.0,
482547,,-100.0,-100.0,
482553,,-100.0,-100.0,
482565,,-100.0,-100.0,
482915,,-100.0,-100.0,
482930,,-100.0,-100.0,
482934,,-100.0,-100.0,
482952,,-100.0,-100.0,
482957,,-100.0,-100.0,
482972,,-100.0,-100.0,
483002,,-100.0,-100.0,
483014,,-100.0,-100.0,
483020,,-100.0,-100.0,
483034,,-100.0,-100.0,
483040,,-100.0,-100.0,
483052,,-100.0,-100.0,
483058,,-100.0,-100.0,
483079,,-100.0,-100.0,
483085,,-100.0,-100.0,
483104,,-100.0,-100.0,
483111,,-100.0,-100.0,
483131,,-100.0,-100.0,
483136,,-100.0,-100.0,
483160,,-100.0,-100.0,
483496,,-100.0,-100.0,
483512,,-100.0,-100.0,
483546,,-100.0,-100.0,
483556,,-100.0,-100.0,
483577,,-100.0,-100.0,
483590,,-100.0,-100.0,
483596,,-100.0,-100.0,
483606,,-100.0,-100.0,
483615,,-100.0,-100.0,
483630,,-100.0,-100.0,
483641,,-100.0,-100.0,
483650,,-100.0,-100.0,
483656,,-100.0,-100.0,
483684,,-100.0,-100.0,
483694,,-100.0,-100.0,
483706,,-100.0,-100.0,
483711,,-100.0,-100.0,
483721,,-100.0,-100.0,
483732,,-100.0,-100.0,
483746,,-100.0,-100.0,
483753,,-100.0,-100.0,
483769,,-100.0,-100.0,
486045,,-100.0,-100.0,
486061,,-100.0,-100.0,
486066,,-100.0,-100.0,
486092,,-100.0,-100.0,
486099,,-100.0,-100.0,
486126,,-100.0,-100.0,
486130,,-100.0,-100.0,
486144,,-100.0,-100.0,
486148,,-100.0,-100.0,
486161,,-100.0,-100.0,
486169,,-100.0,-100.0,
486187,,-100.0,-100.0,
486191,,-100.0,-100.0,
486213,,-100.0,-100.0,
486585,,-100.0,-100.0,
486597,,-100.0,-100.0,
486601,,-100.0,-100.0,
486618,,-100.0,-100.0,
486636,,-100.0,-100.0,
486647,,-100.0,-100.0,
486651,,-100.0,-100.0,
486668,,-100.0,-100.0,
486676,,-100.0,-100.0,
486693,,-100.0,-100.0,
486701,,-100.0,-100.0,
486715,,-100.0,-100.0,
486720,,-100.0,-100.0,
486739,,-100.0,-100.0,
486743,,-100.0,-100.0,
486795,,-100.0,-100.0,
487180,,-100.0,-100.0,
487196,,-100.0,-100.0,
487202,,-100.0,-100.0,
487215,,-100.0,-100.0,
487219,,-100.0,-100.0,
487235,,-100.0,-100.0,
487240,,-100.0,-100.0,
487263,,-100.0,-100.0,
487267,,-100.0,-100.0,
487285,,-100.0,-100.0,
487291,,-100.0,-100.0,
487303,,-100.0,-100.0,
487309,,-100.0,-100.0,
487324,,-100.0,-100.0,
487329,,-100.0,-100.0,
487342,,-100.0,-100.0,
487348,,-100.0,-100.0,
487381,,-100.0,-100.0,
487815,,-100.0,-100.0,
487838,,-100.0,-100.0,
487845,,-100.0,-100.0,
487862,,-100.0,-100.0,
487867,,-100.0,-100.0,
487882,,-100.0,-100.0,
487888,,-100.0,-100.0,
487905,,-100.0,-100.0,
487926,,-100.0,-100.0,
487936,,-100.0,-100.0,
487941,,-100.0,-100.0,
487960,,-100.0,-100.0,
487967,,-100.0,-100.0,
487978,,-100.0,-100.0,
487985,,-100.0,-100.0,
488017,,-100.0,-100.0,
488897,,-100.0,-100.0,
488914,,-100.0,-100.0,
488926,,-100.0,-100.0,
488948,,-100.0,-100.0,
488955,,-100.0,-100.0,
488968,,-100.0,-100.0,
488973,,-100.0,-100.0,
488989,,-100.0,-100.0,
488995,,-100.0,-100.0,
489013,,-100.0,-100.0,
489022,,-100.0,-100.0,
489040,,-100.0,-100.0,
489049,,-100.0,-100.0,
489059,,-100.0,-100.0,
489066,,-100.0,-100.0,
489081,,-100.0,-100.0,
493225,,-100.0,-100.0,
493226,-99.0,-100.0,-100.0,
493267,-98.0,-100.0,-100.0,
493307,-96.0,-100.0,-100.0,
493348,-93.0,-100.0,-100.0,
493349,,-100.0,-100.0,
494165,,-100.0,-100.0,
494179,,-100.0,-100.0,
494184,,-100.0,-100.0,
494208,,-100.0,-100.0,
494218,,-100.0,-100.0,
494219,,-100.0,-100.0,
494232,,-100.0,-100.0,
494236,,-100.0,-100.0,
494239,,-100.0,-100.0,
494252,,-100.0,-100.0,
494254,,-100.0,-100.0,
494263,,-100.0,-100.0,
494269,,-100.0,-100.0,
494270,,-100.0,-100.0,
494282,,-100.0,-100.0,
494286,,-100.0,-100.0,
494288,,-100.0,-100.0,
494303,,-100.0,-100.0,
494304,,-100.0,-100.0,
494312,,-100.0,-100.0,
494317,,-100.0,-100.0,
494319,,-100.0,-100.0,
494321,,-100.0,-100.0,
494336,,-100.0,-100.0,
494347,,-100.0,-100.0,
494357,,-100.0,-100.0,
494374,,-100.0,-100.0,
494379,,-100.0,-100.0,
494395,,-100.0,-100.0,
495949,,-100.0,-100.0,
495950,-95.0,-100.0,-100.0,
495990,-96.0,-100.0,-100.0,
496031,-98.0,-100.0,-100.0,
496032,,-100.0,-100.0,
497345,,-100.0,-100.0,
497362,,-100.0,-100.0,
497368,,-100.0,-100.0,
497387,,-100.0,-100.0,
497392,,-100.0,-100.0,
497411,,-100.0,-100.0,
497423,,-100.0,-100.0,
497442,,-100.0,-100.0,
497478,,-100.0,-100.0,
497490,,-100.0,-100.0,
497499,,-100.0,-100.0,
497515,,-100.0,-100.0,
497522,,-100.0,-100.0,
497544,,-100.0,-100.0,
497552,,-100.0,-100.0,
497565,,-100.0,-100.0,
498243,,-100.0,-100.0,
498260,,-100.0,-100.0,
498267,,-100.0,-100.0,
498289,,-100.0,-100.0,
498295,,-100.0,-100.0,
498303,,-100.0,-100.0,
498308,,-100.0,-100.0,
498323,,-100.0,-100.0,
498332,,-100.0,-100.0,
498340,,-100.0,-100.0,
498346,,-100.0,-100.0,
498355,,-100.0,-100.0,
498359,,-100.0,-100.0,
498371,,-100.0,-100.0,
498391,,-100.0,-100.0,
498397,,-100.0,-100.0,
498401,,-100.0,-100.0,
498427,,-100.0,-100.0,
498432,,-100.0,-100.0,
498459,,-100.0,-100.0,
498477,,-100.0,-100.0,
498494,,-100.0,-100.0,
498500,,-100.0,-100.0,
498514,,-100.0,-100.0,
501675,,-100.0,-100.0,
501693,,-99.0,-100.0,
501709,,-98.0,-100.0,
501725,,-96.0,-100.0,
501742,,-95.0,-100.0,
501759,,-94.0,-100.0,
501775,,-93.0,-100.0,
504822,,-93.0,-100.0,
504823,-100.0,-93.0,-100.0,
504864,-99.0,-93.0,-100.0,
504905,-96.0,-93.0,-100.0,
504946,-94.0,-93.0,-100.0,
504947,,-93.0,-100.0,
508600,,-93.0,-100.0,
508617,,-92.0,-100.0,
508633,,-91.0,-100.0,
508650,,-90.0,-100.0,
508666,,-89.0,-100.0,
508683,,-88.0,-100.0,
509017,,-88.0,-100.0,
509028,,-87.5,-100.0,
509034,,-87.0,-100.0,
509043,,-86.5,-100.0,
509050,,-86.0,-100.0,
509052,,-85.5,-100.0,
509067,,-85.0,-100.0,
509084,,-83.0,-100.0,
509093,,-83.0,-100.0,
509100,,-83.0,-100.0,
509143,,-83.0,-100.0,
509151,,-83.0,-100.0,
509176,,-83.0,-100.0,
509181,,-83.0,-100.0,
509225,,-83.0,-100.0,
509501,,-83.0,-100.0,
509502,-92.0,-83.0,-100.0,
509514,-91.75,-83.0,-100.0,
509529,-91.5,-83.0,-100.0,
509536,-91.25,-83.0,-100.0,
509542,-91.0,-83.0,-100.0,
509559,-90.5,-83.0,-100.0,
509565,-90.0,-83.0,-100.0,
509581,-89.5,-83.0,-100.0,
509583,-89.0,-83.0,-100.0,
509587,-88.0,-83.0,-100.0,
509610,-87.0,-83.0,-100.0,
509623,-86.0,-83.0,-100.0,
509624,,-83.0,-100.0,
510693,,-83.0,-100.0,
510711,,-83.0,-100.0,
510717,,-83.0,-100.0,
510743,,-83.0,-100.0,
510748,,-83.0,-100.0,
510775,,-83.0,-100.0,
510780,,-83.0,-100.0,
510793,,-83.0,-100.0,
510797,,-83.0,-100.0,
510825,,-83.0,-100.0,
510832,,-83.0,-100.0,
510859,,-83.0,-100.0,
510863,,-83.0,-100.0,
510880,,-83.0,-100.0,
510884,,-83.0,-100.0,
510916,,-83.0,-100.0,
511784,,-83.0,-100.0,
511802,,-83.0,-99.0,
511806,,-83.0,-98.25,
511807,,-83.0,-97.5,-99.0
511841,,-83.0,-96.75,-98.0
511850,,-83.0,-96.0,-96.5
511888,,-83.0,-94.5,-95.0
511901,,-83.0,-93.0,-94.0
511923,,-83.0,-93.0,-93.0
511969,,-83.0,-93.0,-90.0
511970,,-83.0,-93.0,
512204,,-83.0,-93.0,
512218,,-83.5,-93.0,
512221,,-84.0,-92.5,
512237,,-85.0,-92.0,
512254,,-87.0,-91.0,
512268,,-87.5,-90.0,
512270,,-88.0,-89.5,
512285,,-88.5,-89.0,
512287,,-89.0,-87.5,
512322,,-89.0,-86.0,
512687,,-89.0,-86.0,
512705,,-87.0,-86.0,
512721,,-86.0,-86.0,
512738,,-85.0,-86.0,
512754,,-84.0,-86.0,
513172,,-84.0,-86.0,
513189,,-83.0,-86.0,
513205,,-82.0,-86.0,
513221,,-81.0,-86.0,
513238,,-80.0,-86.0,
513255,,-79.0,-86.0,
513896,,-79.0,-86.0,
513897,-87.0,-79.0,-86.0,
513937,-88.0,-79.0,-86.0,
513978,-90.0,-79.0,-86.0,
514018,-93.0,-79.0,-86.0,
514058,-95.0,-79.0,-86.0,
514751,-97.0,-79.0,-86.0,
514792,-98.0,-79.0,-86.0,
514833,-100.0,-79.0,-86.0,
517778,-100.0,-79.0,-86.0,
517809,-100.0,-79.0,-86.0,
517815,-100.0,-79.0,-86.0,
517845,-100.0,-79.0,-86.0,
517850,-100.0,-79.0,-86.0,
517891,-100.0,-79.0,-86.0,
517897,-100.0,-79.0,-86.0,
517913,-100.0,-79.0,-86.0,
517918,-100.0,-79.0,-86.0,
517957,-100.0,-79.0,-86.0,
517964,-100.0,-79.0,-86.0,
518008,-100.0,-79.0,-86.0,
518811,-100.0,-79.0,-86.0,
518827,-100.0,-79.0,-86.0,
518832,-100.0,-79.0,-86.0,
518857,-100.0,-79.0,-86.0,
518864,-100.0,-79.0,-86.0,
518882,-100.0,-79.0,-86.0,
518887,-100.0,-79.0,-86.0,
518908,-100.0,-79.0,-86.0,
518913,-100.0,-79.0,-86.0,
518936,-100.0,-79.0,-86.0,
518961,-100.0,-79.0,-86.0,
518977,-100.0,-79.0,-86.0,
518984,-100.0,-79.0,-86.0,
519021,-100.0,-79.0,-86.0,
519195,-100.0,-79.0,-86.0,
519212,-100.0,-80.0,-86.0,
519228,-100.0,-81.0,-86.0,
519245,-100.0,-83.0,-86.0,
519261,-100.0,-84.0,-86.0,
519279,-100.0,-85.0,-86.0,
519295,-100.0,-86.0,-86.0,
519312,-100.0,-87.0,-86.0,
520646,-100.0,-87.0,-86.0,
520663,-100.0,-86.0,-86.0,
520680,-100.0,-85.0,-86.0,
520696,-100.0,-84.0,-86.0,
520713,-100.0,-83.0,-86.0,
520730,-100.0,-82.0,-86.0,
520746,-100.0,-81.0,-86.0,
521924,-100.0,-81.0,-86.0,
521964,-99.0,-81.0,-86.0,
522005,-97.0,-81.0,-86.0,
522006,,-81.0,-86.0,
522673,,-81.0,-86.0,
522674,,-81.0,-86.0,-88.0
522708,,-81.0,-86.0,-87.0
522755,,-81.0,-86.0,-85.0
522790,,-81.0,-86.0,-83.0
522836,,-81.0,-86.0,-80.0
522883,,-81.0,-86.0,-78.0
522884,,-81.0,-86.0,
524848,,-81.0,-86.0,
524849,-98.0,-81.0,-86.0,
524889,-99.0,-81.0,-86.0,
525168,-99.0,-81.0,-86.0,
525185,-99.0,-82.0,-86.0,
525201,-99.0,-83.0,-86.0,
525218,-99.0,-84.0,-86.0,
525235,-99.0,-85.0,-86.0,
525251,-99.0,-86.0,-86.0,
525268,-99.0,-87.0,-86.0,
525285,-99.0,-88.0,-86.0,
525302,-99.0,-89.0,-86.0,
525619,-99.0,-89.0,-86.0,
525659,-98.0,-89.0,-86.0,
525700,-96.0,-89.0,-86.0,
525742,-93.0,-89.0,-86.0,
525743,,-89.0,-86.0,
525970,,-89.0,-86.0,
525986,,-90.0,-86.0,
526002,,-91.0,-86.0,
526019,,-92.0,-86.0,
526035,,-93.0,-86.0,
526052,,-94.0,-86.0,
526069,,-95.0,-86.0,
526086,,-96.0,-86.0,
528981,,-96.0,-86.0,
528997,,-96.0,-86.0,
529005,,-96.0,-86.0,
529031,,-96.0,-86.0,
529036,,-96.0,-86.0,
529047,,-96.0,-86.0,
529050,,-96.0,-86.0,
529064,,-96.0,-86.0,
529066,,-96.0,-86.0,
529081,,-96.0,-86.0,
530553,,-96.0,-86.0,
530569,,-96.0,-86.0,
530571,,-96.0,-86.0,
530586,,-96.0,-86.0,
530587,,-96.0,-86.0,
530603,,-96.0,-86.0,
530605,,-96.0,-86.0,
530619,,-96.0,-86.0,
530621,,-96.0,-86.0,
530636,,-96.0,-86.0,
530639,,-96.0,-86.0,
530653,,-96.0,-86.0,
532286,,-96.0,-86.0,
532287,-92.0,-96.0,-86.0,
532327,-93.0,-96.0,-86.0,
532368,-96.0,-96.0,-86.0,
532937,-96.0,-96.0,-86.0,
532977,-97.0,-96.0,-86.0,
533017,-100.0,-96.0,-86.0,
533018,,-96.0,-86.0,
535359,,-96.0,-86.0,
535362,,-96.0,-86.0,
535363,,-96.0,-86.0,-79.0
535375,,-96.0,-86.0,-79.33333333333333
535380,,-96.0,-86.0,-79.66666666666667
535398,,-96.0,-86.0,-80.0
535408,,-96.0,-86.0,-80.66666666666667
535417,,-96.0,-86.0,-81.33333333333333
535445,,-96.0,-86.0,-82.0
535457,,-96.0,-86.0,-82.66666666666667
535463,,-96.0,-86.0,-83.33333333333333
535479,,-96.0,-86.0,-84.0
535507,,-96.0,-86.0,-85.0
535511,,-96.0,-86.0,-86.0
535526,,-96.0,-86.0,-87.0
535527,,-96.0,-86.0,
535541,,-96.0,-86.0,
535548,,-96.0,-86.0,
535573,,-96.0,-86.0,
535648,,-96.0,-86.0,
535668,,-96.0,-87.0,
535699,,-96.0,-89.0,
535717,,-96.0,-90.0,
535768,,-96.0,-93.0,
535989,,-96.0,-93.0,
536017,,-96.0,-95.0,
536049,,-96.0,-97.0,
536083,,-96.0,-99.0,
536115,,-96.0,-100.0,
536570,,-96.0,-100.0,
536571,,-96.0,-100.0,-89.0
536606,,-96.0,-100.0,-90.0
536640,,-96.0,-100.0,-92.0
536687,,-96.0,-100.0,-95.0
536733,,-96.0,-100.0,-97.0
536734,,-96.0,-100.0,
537525,,-96.0,-100.0,
537543,,-96.0,-100.0,
537549,,-96.0,-100.0,
537573,,-96.0,-100.0,
537579,,-96.0,-100.0,
537624,,-96.0,-100.0,
537631,,-96.0,-100.0,
537673,,-96.0,-100.0,
537677,,-96.0,-100.0,
537708,,-96.0,-100.0,
537713,,-96.0,-100.0,
537741,,-96.0,-100.0,
537925,,-96.0,-100.0,
537942,,-96.0,-100.0,
537948,,-96.0,-100.0,
537963,,-96.0,-100.0,
537967,,-96.0,-100.0,
537981,,-96.0,-100.0,
537988,,-96.0,-100.0,
538003,,-96.0,-100.0,
538007,,-96.0,-100.0,
538017,,-96.0,-100.0,
538024,,-96.0,-100.0,
538037,,-96.0,-100.0,
538041,,-96.0,-100.0,
538060,,-96.0,-100.0,
538066,,-96.0,-100.0,
538075,,-96.0,-100.0,
538078,,-96.0,-100.0,
538107,,-96.0,-100.0,
538480,,-96.0,-100.0,
538493,,-96.0,-100.0,
538502,,-96.0,-100.0,
538520,,-96.0,-100.0,
538528,,-96.0,-100.0,
538549,,-96.0,-100.0,
538557,,-96.0,-100.0,
538570,,-96.0,-100.0,
538579,,-96.0,-100.0,
538587,,-96.0,-100.0,
538612,,-96.0,-100.0,
538627,,-96.0,-100.0,
538635,,-96.0,-100.0,
538670,,-96.0,-100.0,
542537,,-96.0,-100.0,
542555,,-95.0,-100.0,
542570,,-94.0,-100.0,
542587,,-93.0,-100.0,
542604,,-91.0,-100.0,
542620,,-90.0,-100.0,
543146,,-90.0,-100.0,
543147,-98.0,-90.0,-100.0,
543188,-97.0,-90.0,-100.0,
543228,-95.0,-90.0,-100.0,
543268,-93.0,-90.0,-100.0,
543269,,-90.0,-100.0,
543345,,-90.0,-100.0,
543359,,-90.0,-100.0,
543364,,-90.0,-100.0,
543391,,-90.0,-100.0,
543397,,-90.0,-100.0,
543408,,-90.0,-100.0,
543412,,-90.0,-100.0,
543425,,-90.0,-100.0,
543430,,-90.0,-100.0,
543457,,-90.0,-100.0,
543481,,-90.0,-100.0,
543508,,-90.0,-100.0,
543514,,-90.0,-100.0,
543541,,-90.0,-100.0,
543550,,-90.0,-100.0,
543575,,-90.0,-100.0,
543966,,-90.0,-100.0,
543989,,-90.0,-99.5,
544000,,-89.5,-99.0,
544006,,-89.0,-98.33333333333333,
544022,,-88.0,-97.66666666666667,
544032,,-87.5,-97.0,
544039,,-87.0,-96.33333333333333,
544056,,-86.0,-95.66666666666667,
544065,,-85.5,-95.0,
544072,,-85.0,-94.5,
544083,,-84.5,-94.0,
544089,,-84.0,-93.0,
544116,,-84.0,-92.0,
545989,,-84.0,-92.0,
545990,-92.0,-84.0,-92.0,
546032,-93.0,-84.0,-92.0,
546073,-95.0,-84.0,-92.0,
546112,-98.0,-84.0,-92.0,
546152,-100.0,-84.0,-92.0,
547717,-100.0,-84.0,-92.0,
547745,-100.0,-84.0,-91.5,
547751,-100.0,-84.0,-91.0,
547761,-100.0,-84.0,-90.33333333333333,
547767,-100.0,-84.0,-89.66666666666667,
547781,-100.0,-84.0,-89.0,
547791,-100.0,-84.0,-88.33333333333333,
547796,-100.0,-84.0,-87.66666666666667,
547815,-100.0,-84.0,-87.0,
547824,-100.0,-84.0,-86.5,
547833,-100.0,-84.0,-86.0,
547850,-100.0,-84.0,-85.0,
547857,-100.0,-84.0,-84.6,
547862,-100.0,-84.0,-84.2,
547874,-100.0,-84.0,-83.8,
547882,-100.0,-84.0,-83.4,
547899,-100.0,-84.0,-83.0,
547907,-100.0,-84.0,-83.0,
547916,-100.0,-84.0,-83.0,
547958,-100.0,-84.0,-83.0,
547999,-100.0,-84.0,-83.0,
548019,-100.0,-84.0,-82.0,
548048,-100.0,-84.0,-80.0,
548100,-100.0,-84.0,-77.0,
548135,-100.0,-84.0,-76.0,
