,A10I249SZXANR,A11W9XU1ESKSA,AA3OOA62I1EEB
34413,-100.0,-100.0,-100.0
34437,-100.0,-100.0,-100.0
34452,-100.0,-100.0,-100.0
34475,-100.0,-100.0,-100.0
34484,-100.0,-100.0,-100.0
34485,-100.0,-100.0,-100.0
34490,-100.0,-100.0,-100.0
34502,-100.0,-100.0,-100.0
34533,-100.0,-100.0,-100.0
34534,-100.0,-100.0,-100.0
34543,-100.0,-100.0,-100.0
34554,-100.0,-100.0,-100.0
34560,-100.0,-100.0,-100.0
34576,-100.0,-100.0,-100.0
34585,-100.0,-100.0,-100.0
34588,-100.0,-100.0,-100.0
34596,-100.0,-100.0,-100.0
34597,-100.0,-100.0,-100.0
34602,-100.0,-100.0,-100.0
34618,-100.0,-100.0,-100.0
34622,-100.0,-100.0,-100.0
34629,-100.0,-100.0,-100.0
34635,-100.0,-100.0,-100.0
34645,-100.0,-100.0,-100.0
34670,-100.0,-100.0,-100.0
34673,-100.0,-100.0,-100.0
34679,-100.0,-100.0,-100.0
34692,-100.0,-100.0,-100.0
34721,-100.0,-100.0,-100.0
34737,-100.0,-100.0,-100.0
34759,-100.0,-100.0,-100.0
34767,-100.0,-100.0,-100.0
34770,-100.0,-100.0,-100.0
34784,-100.0,-100.0,-100.0
34793,-100.0,-100.0,-100.0
34796,-100.0,-100.0,-100.0
34802,-100.0,-100.0,-100.0
34805,-100.0,-100.0,-100.0
34816,-100.0,-100.0,-100.0
34820,-100.0,-100.0,-100.0
34821,-100.0,-100.0,-100.0
34831,-100.0,-100.0,-100.0
34837,-100.0,-100.0,-100.0
34850,-100.0,-100.0,-100.0
34851,-100.0,-100.0,-100.0
34855,-100.0,-100.0,-100.0
34866,-100.0,-100.0,-100.0
34872,-100.0,-100.0,-100.0
34885,-100.0,-100.0,-100.0
34898,-100.0,-100.0,-100.0
34905,-100.0,-100.0,-100.0
34913,-100.0,-100.0,-100.0
34919,-100.0,-100.0,-100.0
34924,-100.0,-100.0,-100.0
34937,-100.0,-100.0,-100.0
34943,-100.0,-100.0,-100.0
34953,-100.0,-100.0,-100.0
34959,-100.0,-100.0,-100.0
34960,-100.0,-100.0,-100.0
34971,-100.0,-100.0,-100.0
34976,-100.0,-100.0,-100.0
34989,-100.0,-100.0,-100.0
34992,-100.0,-100.0,-100.0
34993,-100.0,-100.0,-100.0
35005,-100.0,-100.0,-100.0
35006,-100.0,-100.0,-100.0
35016,-100.0,-100.0,-100.0
35030,-100.0,-100.0,-100.0
35032,-100.0,-100.0,-100.0
35035,-100.0,-100.0,-100.0
35036,-100.0,-100.0,-100.0
35048,-100.0,-100.0,-100.0
35054,-100.0,-100.0,-100.0
35066,-100.0,-100.0,-100.0
35069,-100.0,-100.0,-100.0
35070,-100.0,-100.0,-100.0
35083,-100.0,-100.0,-100.0
35088,-100.0,-100.0,-100.0
35100,-100.0,-100.0,-100.0
35105,-100.0,-100.0,-100.0
35116,-100.0,-100.0,-100.0
35123,-100.0,-100.0,-100.0
35126,-100.0,-100.0,-100.0
35132,-100.0,-100.0,-100.0
35135,-100.0,-100.0,-100.0
35141,-100.0,-100.0,-100.0
35158,-100.0,-100.0,-100.0
35166,-100.0,-100.0,-100.0
35177,-100.0,-100.0,-100.0
35188,-100.0,-100.0,-100.0
35194,-100.0,-100.0,-100.0
35203,-100.0,-100.0,-100.0
35205,-100.0,-100.0,-100.0
35210,-100.0,-100.0,-100.0
35213,-100.0,-100.0,-100.0
35217,-100.0,-100.0,-100.0
35229,-100.0,-100.0,-100.0
35233,-100.0,-100.0,-100.0
35235,-100.0,-100.0,-100.0
35237,-100.0,-100.0,-100.0
35247,-100.0,-100.0,-100.0
35252,-100.0,-100.0,-100.0
35264,-100.0,-100.0,-100.0
35269,-100.0,-100.0,-100.0
35273,-100.0,-100.0,-100.0
35282,-100.0,-100.0,-100.0
35286,-100.0,-100.0,-100.0
35288,-100.0,-100.0,-100.0
35302,-100.0,-100.0,-100.0
35307,-100.0,-100.0,-100.0
35318,-100.0,-100.0,-100.0
35320,-100.0,-100.0,-100.0
35326,-100.0,-100.0,-100.0
35332,-100.0,-100.0,-100.0
35337,-100.0,-100.0,-100.0
35341,-100.0,-100.0,-100.0
35352,-100.0,-100.0,-100.0
35357,-100.0,-100.0,-100.0
35362,-100.0,-100.0,-100.0
35370,-100.0,-100.0,-100.0
35375,-100.0,-100.0,-100.0
35377,-100.0,-100.0,-100.0
35389,-100.0,-100.0,-100.0
35407,-100.0,-100.0,-100.0
35410,-100.0,-100.0,-100.0
35422,-100.0,-100.0,-100.0
35430,-100.0,-100.0,-100.0
35444,-100.0,-100.0,-100.0
35447,-100.0,-100.0,-100.0
35465,-100.0,-100.0,-100.0
35470,-100.0,-100.0,-100.0
35481,-100.0,-100.0,-100.0
35482,-100.0,-100.0,-100.0
35486,-100.0,-100.0,-100.0
35499,-100.0,-100.0,-100.0
35504,-100.0,-100.0,-100.0
35513,-100.0,-100.0,-100.0
35516,-100.0,-100.0,-100.0
35523,-100.0,-100.0,-100.0
35527,-100.0,-100.0,-100.0
35535,-100.0,-100.0,-100.0
35539,-100.0,-100.0,-100.0
35551,-100.0,-100.0,-100.0
35557,-100.0,-100.0,-100.0
35569,-100.0,-100.0,-100.0
35574,-100.0,-100.0,-100.0
35587,-100.0,-100.0,-100.0
35591,-100.0,-100.0,-100.0
35603,-100.0,-100.0,-100.0
35604,-100.0,-100.0,-100.0
35625,-100.0,-100.0,-100.0
35637,-100.0,-100.0,-100.0
35639,-100.0,-100.0,-100.0
35645,-100.0,-100.0,-100.0
35647,-100.0,-100.0,-100.0
35651,-100.0,-100.0,-100.0
35664,-100.0,-100.0,-100.0
35669,-100.0,-100.0,-100.0
35670,-100.0,-100.0,-100.0
35682,-100.0,-100.0,-100.0
35686,-100.0,-100.0,-100.0
35687,-100.0,-100.0,-100.0
35698,-100.0,-100.0,-100.0
35703,-100.0,-100.0,-100.0
35705,-100.0,-100.0,-100.0
35716,-100.0,-100.0,-100.0
35719,-100.0,-100.0,-100.0
35736,-100.0,-100.0,-100.0
35738,-100.0,-100.0,-100.0
35752,-100.0,-100.0,-100.0
35753,-100.0,-100.0,-100.0
35759,-100.0,-100.0,-100.0
35770,-100.0,-100.0,-100.0
35776,-100.0,-100.0,-100.0
35787,-100.0,-100.0,-100.0
35804,-100.0,-100.0,-100.0
35812,-100.0,-100.0,-100.0
35838,-100.0,-100.0,-100.0
35856,-100.0,-100.0,-100.0
35861,-100.0,-100.0,-100.0
35864,-100.0,-100.0,-100.0
35868,-100.0,-100.0,-100.0
35870,-100.0,-100.0,-100.0
35880,-100.0,-100.0,-100.0
35887,-100.0,-100.0,-100.0
35888,-100.0,-100.0,-100.0
35898,-100.0,-100.0,-100.0
35902,-100.0,-100.0,-100.0
35904,-100.0,-100.0,-100.0
35918,-100.0,-100.0,-100.0
35920,-100.0,-100.0,-100.0
35921,-100.0,-100.0,-100.0
35933,-100.0,-100.0,-100.0
35937,-100.0,-100.0,-100.0
35939,-100.0,-100.0,-100.0
35950,-100.0,-100.0,-100.0
35954,-100.0,-100.0,-100.0
35955,-100.0,-100.0,-100.0
35967,-100.0,-100.0,-100.0
35972,-100.0,-100.0,-100.0
35987,-100.0,-100.0,-100.0
35993,-100.0,-100.0,-100.0
36002,-100.0,-100.0,-100.0
36004,-100.0,-100.0,-100.0
36007,-100.0,-100.0,-100.0
36020,-100.0,-100.0,-100.0
36021,-100.0,-100.0,-100.0
36025,-100.0,-100.0,-100.0
36037,-100.0,-100.0,-100.0
36038,-100.0,-100.0,-100.0
36042,-100.0,-100.0,-100.0
36055,-100.0,-100.0,-100.0
36056,-100.0,-100.0,-100.0
36061,-100.0,-100.0,-100.0
36073,-100.0,-100.0,-100.0
36080,-100.0,-100.0,-100.0
36081,-100.0,-100.0,-100.0
36104,-100.0,-100.0,-100.0
36121,-100.0,-100.0,-100.0
36138,-100.0,-100.0,-100.0
36155,-100.0,-100.0,-100.0
36172,-100.0,-100.0,-100.0
36188,-100.0,-100.0,-100.0
36205,-100.0,-100.0,-100.0
36222,-100.0,-100.0,-100.0
36238,-100.0,-100.0,-100.0
36256,-100.0,-100.0,-100.0
36305,-100.0,-100.0,-100.0
36322,-100.0,-100.0,-100.0
36339,-100.0,-100.0,-100.0
36355,-100.0,-100.0,-100.0
36372,-100.0,-100.0,-100.0
36389,-100.0,-100.0,-100.0
36406,-100.0,-100.0,-100.0
36423,-100.0,-100.0,-100.0
36539,-100.0,-100.0,-100.0
36557,-100.0,-100.0,-100.0
36590,-100.0,-100.0,-100.0
36606,-100.0,-100.0,-100.0
36623,-100.0,-100.0,-100.0
36707,-100.0,-100.0,-100.0
36724,-100.0,-100.0,-100.0
36740,-100.0,-100.0,-100.0
36758,-100.0,-100.0,-100.0
36774,-100.0,-100.0,-100.0
36790,-100.0,-100.0,-100.0
36842,-100.0,-100.0,-100.0
36857,-100.0,-100.0,-100.0
36874,-100.0,-100.0,-100.0
36892,-100.0,-100.0,-100.0
36908,-100.0,-100.0,-100.0
36925,-100.0,-100.0,-100.0
36941,-100.0,-100.0,-100.0
36958,-100.0,-100.0,-100.0
36976,-100.0,-100.0,-100.0
36991,-100.0,-100.0,-100.0
37009,-100.0,-100.0,-100.0
37026,-100.0,-100.0,-100.0
37041,-100.0,-100.0,-100.0
37058,-100.0,-100.0,-100.0
37075,-100.0,-100.0,-100.0
37092,-100.0,-100.0,-100.0
37108,-100.0,-100.0,-100.0
37175,-100.0,-100.0,-100.0
37192,-100.0,-100.0,-100.0
37209,-100.0,-100.0,-100.0
37225,-100.0,-100.0,-100.0
37242,-100.0,-100.0,-100.0
37259,-100.0,-100.0,-100.0
37276,-100.0,-100.0,-100.0
37293,-100.0,-100.0,-100.0
37343,-100.0,-100.0,-100.0
37359,-100.0,-100.0,-100.0
37376,-100.0,-100.0,-100.0
37393,-100.0,-100.0,-100.0
37410,-100.0,-100.0,-100.0
37426,-100.0,-100.0,-100.0
37443,-100.0,-100.0,-100.0
37527,-100.0,-100.0,-100.0
37543,-100.0,-100.0,-100.0
37560,-100.0,-100.0,-100.0
37577,-100.0,-100.0,-100.0
37595,-100.0,-100.0,-100.0
37610,-100.0,-100.0,-100.0
37677,-100.0,-100.0,-100.0
37696,-100.0,-100.0,-100.0
37716,-100.0,-100.0,-100.0
37744,-100.0,-100.0,-100.0
37762,-100.0,-100.0,-100.0
37778,-100.0,-100.0,-100.0
37828,-100.0,-100.0,-100.0
37846,-100.0,-100.0,-100.0
37861,-100.0,-100.0,-100.0
37865,-100.0,-100.0,-100.0
37878,-100.0,-100.0,-100.0
37887,-100.0,-100.0,-100.0
37895,-100.0,-100.0,-100.0
37911,-100.0,-100.0,-100.0
37929,-100.0,-100.0,-100.0
37945,-100.0,-100.0,-100.0
37949,-100.0,-100.0,-100.0
37959,-100.0,-100.0,-100.0
37980,-100.0,-100.0,-100.0
38002,-100.0,-100.0,-100.0
38012,-100.0,-100.0,-100.0
38023,-100.0,-100.0,-100.0
38029,-100.0,-100.0,-100.0
38043,-100.0,-100.0,-100.0
38045,-100.0,-100.0,-100.0
38062,-100.0,-100.0,-100.0
38065,-100.0,-100.0,-100.0
38079,-100.0,-100.0,-100.0
38087,-100.0,-100.0,-100.0
38096,-100.0,-100.0,-100.0
38106,-100.0,-100.0,-100.0
38128,-100.0,-100.0,-100.0
38129,-100.0,-100.0,-100.0
38147,-100.0,-100.0,-100.0
38149,-100.0,-100.0,-100.0
38159,-100.0,-100.0,-100.0
38163,-100.0,-100.0,-100.0
38180,-100.0,-100.0,-100.0
38201,-100.0,-100.0,-100.0
38222,-100.0,-100.0,-100.0
38243,-100.0,-100.0,-100.0
38265,-100.0,-100.0,-100.0
38285,-100.0,-100.0,-100.0
38306,-100.0,-100.0,-100.0
38328,-100.0,-100.0,-100.0
38348,-100.0,-100.0,-100.0
38369,-100.0,-100.0,-100.0
38380,-100.0,-100.0,-100.0
38401,-100.0,-100.0,-100.0
38421,-100.0,-100.0,-100.0
38444,-100.0,-100.0,-100.0
38464,-100.0,-100.0,-100.0
38485,-100.0,-100.0,-100.0
38506,-100.0,-100.0,-100.0
38528,-100.0,-100.0,-100.0
38547,-100.0,-100.0,-100.0
38569,-100.0,-100.0,-100.0
38579,-100.0,-100.0,-100.0
38601,-100.0,-100.0,-100.0
38622,-100.0,-100.0,-100.0
38643,-100.0,-100.0,-100.0
38664,-100.0,-100.0,-100.0
38684,-100.0,-100.0,-100.0
38705,-100.0,-100.0,-100.0
38727,-100.0,-100.0,-100.0
38748,-100.0,-100.0,-100.0
38768,-100.0,-100.0,-100.0
38790,-100.0,-100.0,-100.0
38800,-100.0,-100.0,-100.0
44412,-100.0,-100.0,-100.0
44413,-100.0,-100.0,-100.0
44426,-100.0,-100.0,-100.0
44627,-100.0,-100.0,-100.0
44647,-100.0,-100.0,-100.0
44716,-100.0,-100.0,-100.0
44734,-100.0,-100.0,-100.0
44793,-100.0,-100.0,-100.0
44804,-100.0,-100.0,-100.0
44841,-100.0,-100.0,-100.0
44846,-100.0,-100.0,-100.0
45529,-100.0,-100.0,-100.0
45537,-100.0,-100.0,-100.0
45554,-100.0,-100.0,-100.0
45574,-100.0,-100.0,-100.0
45599,-100.0,-100.0,-100.0
45608,-100.0,-100.0,-100.0
45621,-100.0,-100.0,-100.0
45642,-100.0,-100.0,-100.0
45659,-100.0,-100.0,-100.0
45680,-100.0,-100.0,-100.0
45814,-100.0,-100.0,-100.0
45826,-100.0,-100.0,-100.0
45844,-100.0,-100.0,-100.0
45861,-100.0,-100.0,-100.0
45874,-100.0,-100.0,-100.0
45893,-100.0,-100.0,-100.0
45999,-100.0,-100.0,-100.0
46006,-100.0,-100.0,-100.0
46020,-100.0,-100.0,-100.0
46041,-100.0,-100.0,-100.0
46055,-100.0,-100.0,-100.0
46060,-100.0,-100.0,-100.0
46070,-100.0,-100.0,-100.0
46098,-100.0,-100.0,-100.0
46123,-100.0,-100.0,-100.0
46128,-100.0,-100.0,-100.0
46232,-100.0,-100.0,-100.0
46243,-100.0,-100.0,-100.0
46261,-100.0,-100.0,-100.0
46278,-100.0,-100.0,-100.0
46297,-100.0,-100.0,-100.0
46311,-100.0,-100.0,-100.0
46321,-100.0,-100.0,-100.0
46345,-100.0,-100.0,-100.0
46360,-100.0,-100.0,-100.0
46370,-100.0,-100.0,-100.0
46452,-100.0,-100.0,-100.0
46477,-100.0,-100.0,-100.0
46491,-100.0,-100.0,-100.0
46510,-100.0,-100.0,-100.0
46523,-100.0,-100.0,-100.0
46545,-100.0,-100.0,-100.0
46559,-100.0,-100.0,-100.0
