,nan_x,nan_y,ASM06EV1KY10G,2VKACLXTMOQWO,A4CHLWPHZIP7Y,A8DMLATJZOF4Q,A4AB8514GUJS5,A4WBW7FVQASZE
2558,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2575,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2579,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2602,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2608,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2628,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2693,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2709,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2711,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2734,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2739,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2744,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2748,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2758,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2759,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2777,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2793,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2803,-100.0,-100.0,-100.0,-99.75,-100.0,-100.0,-100.0,-100.0
2809,-100.0,-100.0,-100.0,-99.5,-100.0,-100.0,-100.0,-100.0
2811,-100.0,-100.0,-100.0,-99.25,-100.0,-100.0,-100.0,-100.0
2813,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0
2854,-100.0,-100.0,-100.0,-98.5,-100.0,-100.0,-100.0,-100.0
2887,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
2893,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
2915,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
2934,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
2960,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
2966,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
2971,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
3000,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
3004,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
3011,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
3033,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
3041,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
3044,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
3057,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
3081,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
3089,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
3099,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
3105,-100.0,-100.0,-100.0,-98.25,-100.0,-100.0,-100.0,-100.0
3122,-100.0,-100.0,-100.0,-98.5,-100.0,-100.0,-100.0,-100.0
3124,-100.0,-100.0,-100.0,-98.75,-100.0,-100.0,-100.0,-100.0
3125,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0
3133,-100.0,-100.0,-100.0,-99.16666666666667,-100.0,-100.0,-100.0,-100.0
3138,-100.0,-100.0,-100.0,-99.33333333333333,-100.0,-100.0,-100.0,-100.0
3157,-100.0,-100.0,-100.0,-99.5,-100.0,-100.0,-100.0,-100.0
3160,-100.0,-100.0,-100.0,-99.66666666666667,-100.0,-100.0,-100.0,-100.0
3163,-100.0,-100.0,-100.0,-99.83333333333333,-100.0,-100.0,-100.0,-100.0
3169,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3172,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3175,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3200,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3230,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3235,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3274,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3277,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3289,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3313,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3326,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3391,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3422,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3427,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3432,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3439,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3443,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3452,-100.0,-100.0,-100.0,-99.66666666666667,-100.0,-100.0,-100.0,-100.0
3461,-100.0,-100.0,-100.0,-99.33333333333333,-100.0,-100.0,-100.0,-100.0
3463,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0
3471,-100.0,-100.0,-100.0,-98.83333333333333,-100.0,-100.0,-100.0,-100.0
3477,-100.0,-100.0,-100.0,-98.66666666666667,-100.0,-100.0,-100.0,-100.0
3482,-100.0,-100.0,-100.0,-98.5,-100.0,-100.0,-100.0,-100.0
3504,-100.0,-100.0,-100.0,-98.33333333333333,-100.0,-100.0,-100.0,-100.0
3510,-100.0,-100.0,-100.0,-98.16666666666667,-100.0,-100.0,-100.0,-100.0
3523,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
3529,-100.0,-100.0,-100.0,-98.03703703703704,-100.0,-100.0,-100.0,-100.0
3535,-100.0,-100.0,-100.0,-98.07407407407408,-100.0,-100.0,-100.0,-100.0
3559,-100.0,-100.0,-100.0,-98.11111111111111,-100.0,-100.0,-100.0,-100.0
3579,-100.0,-100.0,-100.0,-98.14814814814815,-100.0,-100.0,-100.0,-100.0
3624,-100.0,-100.0,-100.0,-98.18518518518519,-100.0,-100.0,-100.0,-100.0
3625,-100.0,-100.0,-100.0,-98.22222222222223,-100.0,-100.0,-100.0,-100.0
3652,-100.0,-100.0,-100.0,-98.25925925925925,-100.0,-100.0,-100.0,-100.0
3658,-100.0,-100.0,-100.0,-98.29629629629629,-100.0,-100.0,-100.0,-100.0
3677,-100.0,-100.0,-100.0,-98.33333333333333,-100.0,-100.0,-100.0,-100.0
3684,-100.0,-100.0,-100.0,-98.37037037037037,-100.0,-100.0,-100.0,-100.0
3703,-100.0,-100.0,-100.0,-98.4074074074074,-100.0,-100.0,-100.0,-100.0
3710,-100.0,-100.0,-100.0,-98.44444444444444,-100.0,-100.0,-100.0,-100.0
3729,-100.0,-100.0,-100.0,-98.48148148148148,-100.0,-100.0,-100.0,-100.0
3733,-100.0,-100.0,-100.0,-98.51851851851852,-100.0,-100.0,-100.0,-100.0
3742,-100.0,-100.0,-100.0,-98.55555555555556,-100.0,-100.0,-100.0,-100.0
3755,-100.0,-100.0,-100.0,-98.5925925925926,-100.0,-100.0,-100.0,-100.0
3762,-100.0,-100.0,-100.0,-98.62962962962963,-100.0,-100.0,-100.0,-100.0
3763,-100.0,-100.0,-100.0,-98.66666666666667,-100.0,-100.0,-100.0,-100.0
3781,-100.0,-100.0,-100.0,-98.70370370370371,-100.0,-100.0,-100.0,-100.0
3788,-100.0,-100.0,-100.0,-98.74074074074075,-100.0,-100.0,-100.0,-100.0
3828,-100.0,-100.0,-100.0,-98.77777777777777,-100.0,-100.0,-100.0,-100.0
3849,-100.0,-100.0,-100.0,-98.81481481481481,-100.0,-100.0,-100.0,-100.0
3905,-100.0,-100.0,-100.0,-98.85185185185185,-100.0,-100.0,-100.0,-100.0
3929,-100.0,-100.0,-100.0,-98.88888888888889,-100.0,-100.0,-100.0,-100.0
3933,-100.0,-100.0,-100.0,-98.92592592592592,-100.0,-100.0,-100.0,-100.0
3954,-100.0,-100.0,-100.0,-98.96296296296296,-100.0,-100.0,-100.0,-100.0
3963,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0
3969,-100.0,-100.0,-100.0,-99.03703703703704,-100.0,-100.0,-100.0,-100.0
3982,-100.0,-100.0,-100.0,-99.07407407407408,-100.0,-100.0,-100.0,-100.0
3988,-100.0,-100.0,-100.0,-99.11111111111111,-100.0,-100.0,-100.0,-100.0
3992,-100.0,-100.0,-100.0,-99.14814814814815,-100.0,-100.0,-100.0,-100.0
4007,-100.0,-100.0,-100.0,-99.18518518518519,-100.0,-100.0,-100.0,-100.0
4011,-100.0,-100.0,-100.0,-99.22222222222223,-100.0,-100.0,-100.0,-100.0
4023,-100.0,-100.0,-100.0,-99.25925925925925,-100.0,-100.0,-100.0,-100.0
4032,-100.0,-100.0,-100.0,-99.29629629629629,-100.0,-100.0,-100.0,-100.0
4050,-100.0,-100.0,-100.0,-99.33333333333333,-100.0,-100.0,-100.0,-100.0
4088,-100.0,-100.0,-100.0,-99.37037037037037,-100.0,-100.0,-100.0,-100.0
4105,-100.0,-100.0,-100.0,-99.4074074074074,-100.0,-100.0,-100.0,-100.0
4129,-100.0,-100.0,-100.0,-99.44444444444444,-100.0,-100.0,-100.0,-100.0
4137,-100.0,-100.0,-100.0,-99.48148148148148,-100.0,-100.0,-100.0,-100.0
4139,-100.0,-100.0,-100.0,-99.51851851851852,-100.0,-100.0,-100.0,-100.0
4159,-100.0,-100.0,-100.0,-99.55555555555556,-100.0,-100.0,-100.0,-100.0
4174,-100.0,-100.0,-100.0,-99.5925925925926,-100.0,-100.0,-100.0,-100.0
4180,-100.0,-100.0,-100.0,-99.62962962962963,-100.0,-100.0,-100.0,-100.0
4186,-100.0,-100.0,-100.0,-99.66666666666667,-100.0,-100.0,-100.0,-100.0
4196,-100.0,-100.0,-100.0,-99.70370370370371,-100.0,-100.0,-100.0,-100.0
4208,-100.0,-100.0,-100.0,-99.74074074074075,-100.0,-100.0,-100.0,-100.0
4209,-100.0,-100.0,-100.0,-99.77777777777777,-100.0,-100.0,-100.0,-100.0
4234,-100.0,-100.0,-100.0,-99.81481481481481,-100.0,-100.0,-100.0,-100.0
4248,-100.0,-100.0,-100.0,-99.85185185185185,-100.0,-100.0,-100.0,-100.0
4252,-100.0,-100.0,-100.0,-99.88888888888889,-100.0,-100.0,-100.0,-100.0
4275,-100.0,-100.0,-100.0,-99.92592592592592,-100.0,-100.0,-100.0,-100.0
4280,-100.0,-100.0,-100.0,-99.96296296296296,-100.0,-100.0,-100.0,-100.0
4293,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4307,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0
4308,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0
4354,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0
4358,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0
4365,-100.0,-100.0,-100.0,-98.5,-100.0,-100.0,-100.0,-100.0
4376,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
4381,-100.0,-100.0,-100.0,-97.33333333333333,-100.0,-100.0,-100.0,-100.0
4405,-100.0,-100.0,-100.0,-96.66666666666667,-100.0,-100.0,-100.0,-100.0
4408,-100.0,-100.0,-100.0,-96.0,-100.0,-100.0,-100.0,-100.0
4450,-100.0,-100.0,-100.0,-96.0,-100.0,-100.0,-100.0,-100.0
4476,-100.0,-100.0,-100.0,-96.0,-100.0,-100.0,-100.0,-100.0
4479,-100.0,-100.0,-100.0,-96.0,-100.0,-100.0,-100.0,-100.0
4500,-100.0,-100.0,-100.0,-96.0,-100.0,-100.0,-100.0,-100.0
4507,-100.0,-100.0,-100.0,-96.0,-100.0,-100.0,-100.0,-100.0
4528,-100.0,-100.0,-100.0,-96.0,-100.0,-100.0,-100.0,-100.0
4534,-100.0,-100.0,-100.0,-96.0,-100.0,-100.0,-100.0,-100.0
4553,-100.0,-100.0,-100.0,-96.0,-100.0,-100.0,-100.0,-100.0
4560,-100.0,-100.0,-100.0,-96.0,-100.0,-100.0,-100.0,-100.0
4579,-100.0,-100.0,-100.0,-96.0,-100.0,-100.0,-100.0,-100.0
4624,-100.0,-100.0,-100.0,-96.5,-100.0,-100.0,-100.0,-100.0
4627,-100.0,-100.0,-100.0,-97.0,-100.0,-100.0,-100.0,-100.0
4645,-100.0,-100.0,-100.0,-97.0,-100.0,-100.0,-100.0,-100.0
4668,-100.0,-100.0,-100.0,-97.0,-100.0,-100.0,-100.0,-100.0
4677,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
4692,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0
4698,-100.0,-100.0,-100.0,-99.33333333333333,-100.0,-100.0,-100.0,-100.0
4729,-100.0,-100.0,-100.0,-99.66666666666667,-100.0,-100.0,-100.0,-100.0
4730,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4741,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4754,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4760,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4774,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4777,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4785,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4791,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4804,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4806,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4807,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4809,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4814,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4831,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4834,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4837,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4838,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4851,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4857,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4866,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4875,-100.0,-99.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4885,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4894,-100.0,-98.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4899,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4903,-100.0,-97.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4916,-100.0,-97.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4926,-100.0,-96.66666666666667,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4931,-100.0,-96.33333333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4932,-100.0,-96.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4933,-100.0,-95.75,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4937,-100.0,-95.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4948,-100.0,-95.25,-100.0,-99.75,-100.0,-100.0,-100.0,-100.0
4950,-100.0,-95.0,-100.0,-99.5,-100.0,-100.0,-100.0,-100.0
4952,-100.0,-94.75,-100.0,-99.25,-100.0,-100.0,-100.0,-100.0
4958,-100.0,-94.5,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0
4964,-100.0,-94.25,-100.0,-98.88888888888889,-100.0,-100.0,-100.0,-100.0
4966,-100.0,-94.0,-100.0,-98.77777777777777,-100.0,-100.0,-100.0,-100.0
4970,-100.0,-93.66666666666667,-100.0,-98.66666666666667,-100.0,-100.0,-100.0,-100.0
4979,-100.0,-93.33333333333333,-100.0,-98.55555555555556,-100.0,-100.0,-100.0,-100.0
4984,-100.0,-93.0,-100.0,-98.44444444444444,-100.0,-100.0,-100.0,-100.0
4985,-100.0,-92.6,-100.0,-98.33333333333333,-100.0,-100.0,-100.0,-100.0
4987,-100.0,-92.2,-100.0,-98.22222222222223,-100.0,-100.0,-100.0,-100.0
4990,-100.0,-91.8,-100.0,-98.11111111111111,-100.0,-100.0,-100.0,-100.0
4992,-100.0,-91.4,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5000,-100.0,-91.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5004,-100.0,-90.75,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5006,-100.0,-90.5,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5007,-100.0,-90.25,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5017,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5022,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5026,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5030,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5033,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5036,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5048,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5055,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5060,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5085,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5098,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5103,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5110,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5119,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5126,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5131,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5136,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5145,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5150,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5156,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5175,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5179,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5182,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5203,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5207,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5230,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5232,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5239,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5248,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5253,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5274,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5278,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5282,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5297,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5308,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5334,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5340,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5351,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5371,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5377,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5382,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5392,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5400,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5403,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5409,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5430,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5438,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5446,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5454,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5459,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5465,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5472,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5481,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5487,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5496,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5509,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5510,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5549,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5550,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5554,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5576,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5578,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5582,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5585,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5602,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5609,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5626,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5629,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5635,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
5654,-100.0,-90.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0
