,nan_x,nan_y,ASM06EV1KY10G,2VKACLXTMOQWO,A4CHLWPHZIP7Y,A8DMLATJZOF4Q,A4AB8514GUJS5,A4WBW7FVQASZE
0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
8,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1712,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1727,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1764,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1778,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1810,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1897,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1911,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1934,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1949,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1968,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2097,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2116,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2232,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2262,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2285,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2308,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2310,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2325,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2331,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2333,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2344,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2376,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2380,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2398,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2401,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2407,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2409,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2427,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2432,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2435,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2446,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2454,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2460,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2507,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2512,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2532,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2537,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2548,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
