Time(sec),ABB9DYBUWGNNX
299.0,-6.0
300.0,-6.0
301.0,-6.0
302.0,-6.0
303.0,-6.0
304.0,-6.0
305.0,-6.0
306.0,-6.0
307.0,-6.0
308.0,-6.0
309.0,-6.0
310.0,-6.572638888888889
311.0,-29.114108345358346
312.0,-35.06
313.0,-43.04058441558442
314.0,-60.962962962962955
315.0,-61.0
316.0,-61.0
317.0,-61.0
318.0,-61.0
319.0,-61.0
320.0,-61.0
321.0,-61.0
322.0,-61.0
323.0,-61.0
324.0,-61.0
325.0,-61.0
326.0,-61.0
327.0,-61.0
328.0,-61.0
329.0,-61.0
330.0,-61.0
331.0,-61.0
332.0,-61.0
333.0,-61.0
334.0,-61.0
335.0,-61.0
336.0,-61.0
337.0,-61.0
338.0,-61.0
339.0,-61.0
340.0,-61.0
341.0,-61.0
342.0,-61.0
343.0,-61.0
344.0,-61.0
345.0,-61.0
346.0,-61.0
347.0,-61.0
348.0,-61.0
349.0,-61.0
350.0,-61.0
351.0,-61.0
352.0,-61.0
353.0,-61.0
354.0,-48.35843323343323
355.0,-16.83174603174603
356.0,9.028240576932527
357.0,24.19772727272727
358.0,32.28235294117647
359.0,32.647058823529406
360.0,48.140654209052045
361.0,85.25968253968254
362.0,100.0
363.0,100.0
364.0,100.0
365.0,100.0
366.0,100.0
367.0,100.0
368.0,100.0
369.0,100.0
370.0,100.0
371.0,100.0
372.0,100.0
373.0,100.0
374.0,100.0
375.0,100.0
376.0,100.0
377.0,100.0
378.0,100.0
379.0,100.0
380.0,100.0
381.0,100.0
382.0,100.0
383.0,100.0
384.0,100.0
385.0,100.0
386.0,100.0
387.0,100.0
388.0,100.0
389.0,100.0
390.0,100.0
391.0,100.0
392.0,100.0
393.0,100.0
394.0,100.0
395.0,100.0
396.0,100.0
397.0,100.0
398.0,100.0
399.0,100.0
400.0,100.0
401.0,100.0
402.0,100.0
403.0,100.0
404.0,100.0
405.0,100.0
406.0,100.0
407.0,100.0
408.0,100.0
409.0,100.0
410.0,100.0
411.0,100.0
412.0,100.0
413.0,100.0
414.0,100.0
415.0,100.0
416.0,100.0
417.0,100.0
418.0,100.0
419.0,100.0
420.0,100.0
421.0,100.0
422.0,100.0
423.0,100.0
424.0,100.0
425.0,100.0
426.0,100.0
427.0,100.0
428.0,100.0
429.0,100.0
430.0,100.0
431.0,100.0
432.0,100.0
433.0,100.0
434.0,100.0
435.0,100.0
436.0,100.0
437.0,100.0
438.0,100.0
439.0,100.0
440.0,100.0
441.0,100.0
442.0,100.0
443.0,100.0
444.0,100.0
445.0,100.0
446.0,100.0
447.0,100.0
448.0,100.0
449.0,100.0
450.0,100.0
451.0,100.0
452.0,100.0
453.0,100.0
454.0,100.0
455.0,100.0
456.0,100.0
457.0,100.0
458.0,100.0
459.0,100.0
460.0,99.04107142857143
461.0,98.80357142857143
462.0,98.80357142857143
463.0,98.80357142857143
464.0,98.80357142857143
465.0,92.62678564411321
466.0,78.31352842809365
467.0,66.0
468.0,65.32142857142858
469.0,45.272438672438675
470.0,30.080555555555556
471.0,23.0
472.0,21.0
473.0,21.0
474.0,20.6
475.0,13.671428571428573
476.0,10.714285714285712
477.0,1.7214285714285722
478.0,-0.33333333333333337
479.0,-1.7229166666666664
480.0,-12.360000000000001
481.0,-36.92648809523809
482.0,-48.7
483.0,-65.81861111111111
484.0,-72.0
485.0,-72.0
486.0,-72.0
487.0,-72.0
488.0,-72.0
489.0,-72.0
490.0,-72.0
491.0,-72.0
492.0,-72.0
493.0,-72.0
494.0,-72.0
495.0,-72.0
496.0,-72.0
497.0,-72.0
498.0,-72.0
499.0,-72.0
500.0,-72.0
501.0,-72.0
502.0,-72.0
503.0,-72.0
504.0,-72.0
505.0,-72.0
506.0,-72.0
507.0,-72.0
508.0,-72.0
509.0,-72.0
510.0,-72.0
511.0,-72.0
512.0,-72.0
513.0,-72.0
514.0,-72.0
515.0,-72.0
516.0,-72.0
517.0,-72.0
518.0,-72.0
519.0,-72.0
520.0,-72.0
521.0,-72.0
522.0,-72.0
523.0,-72.0
524.0,-72.0
525.0,-72.0
526.0,-72.0
527.0,-72.0
528.0,-72.0
529.0,-72.0
530.0,-72.0
531.0,-72.0
532.0,-72.0
533.0,-72.0
534.0,-72.0
535.0,-72.0
536.0,-72.0
537.0,-72.0
538.0,-72.0
539.0,-72.0
540.0,-72.0
541.0,-72.0
542.0,-72.0
543.0,-72.0
544.0,-72.0
545.0,-72.0
546.0,-72.0
547.0,-72.0
548.0,-72.0
549.0,-72.0
550.0,-72.0
551.0,-72.0
552.0,-72.0
553.0,-72.0
554.0,-72.0
555.0,-72.0
556.0,-72.0
557.0,-72.0
558.0,-72.0
559.0,-72.0
560.0,-72.0
561.0,-72.0
562.0,-72.0
563.0,-72.0
564.0,-72.0
565.0,-72.0
566.0,-72.0
567.0,-72.0
