Time(sec),ASEW6NZHLI41K
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-99.96666666666667
26.0,-88.46096256684491
27.0,-87.76470588235294
28.0,-76.90985748320307
29.0,-55.58479166666666
30.0,-55.016666666666666
31.0,-55.016666666666666
32.0,-55.016666666666666
33.0,-54.20333333333333
34.0,-54.0
35.0,-54.0
36.0,-54.0
37.0,-54.0
38.0,-54.0
39.0,-49.386250000000004
40.0,-41.10000000000001
41.0,-41.10000000000001
42.0,-34.260000000000005
43.0,-27.105
44.0,-22.0
45.0,-13.605821078431372
46.0,-11.529411764705882
47.0,-6.927042483660131
48.0,18.369999999999997
49.0,20.0
50.0,25.62117647058823
51.0,35.76666666666666
52.0,35.76666666666666
53.0,37.156190476190474
54.0,65.32440559440559
55.0,69.3181818181818
56.0,69.3181818181818
57.0,69.3181818181818
58.0,69.3181818181818
59.0,71.86590909090908
60.0,76.0
61.0,76.0
62.0,76.0
63.0,76.0
64.0,76.0
65.0,76.0
66.0,76.0
67.0,76.0
68.0,76.0
69.0,76.0
70.0,76.0
71.0,76.0
72.0,76.0
73.0,76.0
74.0,76.0
75.0,76.0
76.0,76.0
77.0,76.0
78.0,76.0
79.0,76.0
80.0,74.39199346405229
81.0,63.175
82.0,34.0140422077922
83.0,21.895668109668108
84.0,10.609
85.0,9.95
86.0,-8.859469696969697
87.0,-28.0
88.0,-44.45096035543404
89.0,-66.70476190476191
90.0,-69.0
91.0,-69.0
92.0,-76.01801470588235
93.0,-89.86775811688311
94.0,-100.0
95.0,-100.0
96.0,-100.0
97.0,-100.0
98.0,-100.0
99.0,-100.0
100.0,-100.0
101.0,-100.0
102.0,-100.0
103.0,-100.0
104.0,-100.0
105.0,-100.0
106.0,-100.0
107.0,-100.0
108.0,-100.0
109.0,-100.0
110.0,-100.0
111.0,-100.0
112.0,-100.0
113.0,-100.0
114.0,-100.0
115.0,-100.0
116.0,-100.0
117.0,-100.0
118.0,-100.0
119.0,-100.0
120.0,-100.0
121.0,-100.0
122.0,-100.0
123.0,-100.0
124.0,-100.0
125.0,-100.0
126.0,-100.0
127.0,-100.0
128.0,-100.0
129.0,-100.0
130.0,-100.0
131.0,-100.0
132.0,-100.0
133.0,-100.0
134.0,-100.0
135.0,-100.0
136.0,-100.0
137.0,-100.0
138.0,-100.0
139.0,-100.0
140.0,-100.0
141.0,-100.0
142.0,-100.0
143.0,-100.0
144.0,-100.0
145.0,-100.0
146.0,-100.0
147.0,-100.0
148.0,-100.0
149.0,-100.0
150.0,-100.0
151.0,-100.0
152.0,-100.0
153.0,-100.0
154.0,-100.0
155.0,-100.0
156.0,-100.0
157.0,-100.0
158.0,-100.0
159.0,-100.0
160.0,-100.0
161.0,-100.0
162.0,-100.0
163.0,-100.0
164.0,-100.0
165.0,-100.0
166.0,-100.0
167.0,-100.0
168.0,-100.0
169.0,-100.0
170.0,-100.0
171.0,-100.0
172.0,-100.0
173.0,-100.0
174.0,-100.0
175.0,-100.0
