Time(sec),AYYSG3O9FNU15
163.0,-72.21428571428571
164.0,
165.0,
166.0,-88.20390365448506
167.0,
168.0,
169.0,
170.0,
171.0,
172.0,
173.0,
174.0,
175.0,
176.0,
177.0,
178.0,
179.0,
180.0,
181.0,
182.0,
183.0,
184.0,
185.0,
186.0,
187.0,
188.0,
189.0,
190.0,
191.0,
192.0,
193.0,
194.0,
195.0,
196.0,
197.0,
198.0,
199.0,
200.0,
201.0,
202.0,
203.0,
204.0,
205.0,
206.0,
207.0,
208.0,
209.0,
210.0,
211.0,
212.0,
213.0,
214.0,
215.0,
216.0,
217.0,
218.0,
219.0,
220.0,
221.0,
222.0,
223.0,
224.0,
225.0,
226.0,
227.0,
228.0,
229.0,
230.0,
231.0,
232.0,
233.0,
234.0,
235.0,
236.0,
237.0,
238.0,
239.0,
240.0,
241.0,
242.0,
243.0,
244.0,
245.0,
246.0,-86.0
247.0,-86.0
248.0,-86.0
249.0,-86.0
250.0,-86.0
251.0,-86.0
252.0,-86.0
253.0,-85.375
254.0,
255.0,
256.0,
257.0,
258.0,
259.0,
260.0,
261.0,
262.0,
263.0,
264.0,
265.0,-79.0
266.0,
267.0,-75.16666666666666
268.0,
269.0,
270.0,
271.0,
272.0,
273.0,-69.0
274.0,
275.0,
276.0,
277.0,
278.0,
279.0,
280.0,
281.0,
282.0,
283.0,
284.0,
285.0,-61.83333333333333
286.0,-60.979166666666664
287.0,-57.32083333333334
288.0,-50.0
289.0,-50.0
290.0,-50.0
291.0,-50.0
292.0,-50.0
293.0,-50.0
294.0,-50.0
295.0,-50.0
296.0,-50.0
297.0,-50.0
298.0,-50.0
299.0,-50.0
300.0,-50.0
301.0,-50.0
302.0,-50.0
303.0,-50.0
304.0,-50.0
305.0,-50.0
306.0,-50.0
307.0,-50.0
308.0,-50.0
309.0,-50.0
310.0,-50.0
311.0,-50.0
312.0,-50.0
313.0,-50.0
314.0,-50.0
315.0,-50.0
316.0,-50.0
317.0,-50.0
318.0,-50.0
319.0,-50.0
320.0,-50.0
321.0,-50.0
322.0,-50.0
323.0,-50.0
324.0,-50.0
325.0,-50.0
326.0,-50.0
327.0,-50.0
328.0,-50.0
329.0,-50.0
330.0,-50.0
331.0,-50.0
332.0,-50.0
333.0,-48.88333333333333
334.0,
335.0,
336.0,
337.0,
338.0,
339.0,
340.0,
341.0,
342.0,
343.0,
344.0,
345.0,
346.0,
347.0,
348.0,
349.0,
350.0,
351.0,
352.0,
353.0,
354.0,-22.76854575163399
355.0,
356.0,
357.0,
358.0,
359.0,
360.0,
361.0,
362.0,
363.0,
364.0,
365.0,
366.0,
367.0,
368.0,
369.0,
370.0,
371.0,
372.0,
373.0,
374.0,
375.0,
376.0,
377.0,-23.0
378.0,
379.0,
380.0,-19.41792977137805
381.0,8.199280241323006
382.0,37.06343397824246
383.0,31.185185185185183
384.0,40.364583333333336
385.0,49.9375
386.0,
387.0,
388.0,
389.0,
390.0,
391.0,
392.0,
393.0,58.16666666666667
394.0,58.96666666666666
395.0,59.0
396.0,59.0
397.0,59.0
398.0,59.0
399.0,59.0
400.0,56.378333333333345
401.0,34.88485042735043
402.0,-2.731305555555555
403.0,-17.25
404.0,
405.0,
406.0,
407.0,
408.0,
409.0,
410.0,
411.0,
412.0,
413.0,
414.0,
415.0,
416.0,
417.0,
418.0,
419.0,
420.0,
421.0,
422.0,
423.0,
424.0,
425.0,
426.0,
427.0,
428.0,
429.0,
430.0,
431.0,
432.0,
433.0,
434.0,
435.0,
436.0,
437.0,
438.0,
439.0,
440.0,
441.0,
442.0,-27.77777777777777
443.0,-34.30555555555556
444.0,
445.0,
446.0,
447.0,
448.0,
449.0,
450.0,
451.0,
452.0,
453.0,
454.0,
455.0,
456.0,
457.0,
458.0,
459.0,
460.0,
461.0,
462.0,
463.0,
464.0,
465.0,
466.0,
467.0,
468.0,
469.0,
470.0,
471.0,
472.0,
473.0,
474.0,
475.0,
476.0,
477.0,
478.0,
479.0,
480.0,
481.0,
482.0,
483.0,
484.0,
485.0,
486.0,
487.0,
488.0,
489.0,
490.0,
491.0,
492.0,
493.0,
494.0,
495.0,
496.0,
497.0,
498.0,
499.0,
500.0,
501.0,
502.0,
503.0,
504.0,
505.0,
506.0,
507.0,
508.0,
509.0,
510.0,
511.0,
512.0,
513.0,
514.0,
515.0,
516.0,
517.0,
518.0,
519.0,
520.0,
521.0,
522.0,-19.750293471104943
523.0,
524.0,24.419827004876023
525.0,44.94
526.0,45.0
527.0,43.96666666666667
528.0,19.65541666666667
529.0,-8.581991634491635
530.0,-47.725194054894686
531.0,-80.0936821219716
532.0,
533.0,-98.75
534.0,-99.0
535.0,-99.0
536.0,-99.0
537.0,-99.0
538.0,-99.0
539.0,-99.0
540.0,-99.0
541.0,-99.0
542.0,-99.0
543.0,-99.0
544.0,-99.0
545.0,-99.0
546.0,-99.0
547.0,-99.0
548.0,-99.0
549.0,-99.0
550.0,-99.0
551.0,-99.0
552.0,-99.0
553.0,-99.0
554.0,-99.0
555.0,-99.0
556.0,-99.0
557.0,-99.0
558.0,-99.0
559.0,-99.0
560.0,-99.0
561.0,-99.0
562.0,-99.0
563.0,-99.0
564.0,-99.0
565.0,-99.0
566.0,-99.0
567.0,-99.0
568.0,-99.0
569.0,-99.0
570.0,-99.0
571.0,-99.0
572.0,-99.0
573.0,-99.0
574.0,-99.0
575.0,-99.0
576.0,-99.0
577.0,-99.0
578.0,-99.0
579.0,-99.0
580.0,-99.0
581.0,-99.0
582.0,-99.0
583.0,-99.0
584.0,-99.0
