Time(sec),A3UTSRN8QLKWE
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-100.0
36.0,-100.0
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-100.0
43.0,-100.0
44.0,-100.0
45.0,-100.0
46.0,-100.0
47.0,-100.0
48.0,-100.0
49.0,-100.0
50.0,-100.0
51.0,-100.0
52.0,-100.0
53.0,-100.0
54.0,-100.0
55.0,-100.0
56.0,-100.0
57.0,-100.0
58.0,-99.55
59.0,-85.01993506493505
60.0,-30.623325563325558
61.0,24.321767676767678
62.0,72.61598845598846
63.0,98.20000000000002
64.0,98.64444444444445
65.0,99.08888888888889
66.0,99.53333333333335
67.0,99.93333333333332
68.0,100.0
69.0,100.0
70.0,100.0
71.0,100.0
72.0,100.0
73.0,100.0
74.0,100.0
75.0,100.0
76.0,100.0
77.0,100.0
78.0,100.0
79.0,100.0
80.0,100.0
81.0,100.0
82.0,100.0
83.0,100.0
84.0,100.0
85.0,100.0
86.0,100.0
87.0,100.0
88.0,100.0
89.0,100.0
90.0,100.0
91.0,100.0
92.0,100.0
93.0,100.0
94.0,100.0
95.0,100.0
96.0,99.65714285714287
97.0,98.71428571428572
98.0,82.33476523476523
99.0,24.320233100233104
100.0,-38.22270202020202
101.0,-92.17732711732711
102.0,-100.0
103.0,-100.0
104.0,-100.0
105.0,-100.0
106.0,-100.0
107.0,-100.0
108.0,-100.0
109.0,-100.0
110.0,-100.0
111.0,-100.0
112.0,-100.0
113.0,-100.0
114.0,-100.0
115.0,-100.0
116.0,-100.0
117.0,-100.0
118.0,-100.0
119.0,-100.0
120.0,-100.0
121.0,-100.0
122.0,-100.0
123.0,-100.0
124.0,-100.0
125.0,-100.0
126.0,-100.0
127.0,-100.0
128.0,-100.0
129.0,-100.0
130.0,-100.0
131.0,-100.0
132.0,-100.0
133.0,-100.0
134.0,-100.0
135.0,-100.0
136.0,-100.0
137.0,-100.0
138.0,-100.0
139.0,-100.0
140.0,-100.0
141.0,-100.0
142.0,-100.0
143.0,-100.0
144.0,-100.0
145.0,-100.0
146.0,-100.0
147.0,-100.0
148.0,-100.0
149.0,-100.0
150.0,-100.0
151.0,-100.0
152.0,-100.0
153.0,-100.0
154.0,-100.0
155.0,-100.0
156.0,-100.0
157.0,-100.0
158.0,-100.0
159.0,-100.0
160.0,-100.0
161.0,-100.0
162.0,-100.0
163.0,-100.0
164.0,-100.0
165.0,-100.0
166.0,-100.0
167.0,-100.0
168.0,-100.0
169.0,-100.0
170.0,-100.0
171.0,-96.2650702075702
172.0,-49.76574467199467
173.0,12.444665399529951
174.0,68.37599360220104
175.0,99.60416666666667
176.0,100.0
177.0,100.0
178.0,100.0
179.0,100.0
180.0,100.0
181.0,100.0
182.0,100.0
183.0,100.0
