Time(sec),A3ST8XFT4X93K
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-100.0
36.0,-100.0
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-100.0
43.0,-100.0
44.0,-100.0
45.0,-100.0
46.0,-88.76786630036631
47.0,-69.64625
48.0,-60.98343685300207
49.0,-53.34782608695652
50.0,-52.47826086956521
51.0,-43.50666666666667
52.0,-42.0
53.0,-42.0
54.0,-42.0
55.0,-42.0
56.0,-39.348003246753244
57.0,-32.43839285714286
58.0,-29.914740259740256
59.0,-22.813636363636363
60.0,-16.05227272727273
61.0,-4.91
62.0,-1.0
63.0,-1.0
64.0,-1.0
65.0,-1.0
66.0,-1.0
67.0,-1.0
68.0,-1.0
69.0,-1.0
70.0,-1.0
71.0,-1.0
72.0,-1.0
73.0,-1.0
74.0,-1.0
75.0,-1.0
76.0,-1.0
77.0,-1.0
78.0,-1.0
79.0,-1.0
80.0,-1.0
81.0,-1.0
82.0,-1.0
83.0,-1.0
84.0,-1.0
85.0,-1.0
86.0,-1.0
87.0,-1.0
88.0,-1.0
89.0,-1.0
90.0,-1.0
91.0,-1.0
92.0,-1.0
93.0,-1.0
94.0,-1.0
95.0,-1.0
96.0,-1.0
97.0,-1.0
98.0,-1.0
99.0,-1.0
100.0,-1.0
101.0,-1.0
102.0,-1.0
103.0,-1.0
104.0,-1.0
105.0,-1.0
106.0,-1.0
107.0,-1.0
108.0,-1.0
109.0,-1.0
110.0,-1.0
111.0,-1.0
112.0,-1.0
113.0,-1.0
114.0,-1.0
115.0,-1.0
116.0,-1.0
117.0,-1.0
118.0,-1.0
119.0,-1.0
120.0,-1.0
121.0,-1.0
122.0,-1.0
123.0,-1.0
124.0,-1.0
125.0,-1.0
126.0,-1.0
127.0,-1.0
128.0,-1.0
129.0,-1.0
130.0,-1.0
131.0,-1.0
132.0,-1.0
133.0,-1.0
134.0,-1.0
135.0,-1.0
136.0,-1.0
137.0,-1.0
138.0,-1.0
139.0,-1.0
140.0,-1.0
141.0,-1.0
142.0,-1.0
143.0,-1.0
144.0,-1.0
145.0,-1.0
146.0,-1.0
147.0,-1.0
148.0,-1.0
149.0,-1.0
150.0,-1.0
151.0,-1.0
152.0,-1.0
153.0,-1.0
154.0,-1.0
155.0,-1.0
156.0,-1.0
157.0,-1.0
158.0,-1.0
159.0,-1.0
160.0,-1.0
161.0,-1.0
162.0,-1.0
163.0,-1.0
164.0,-1.0
165.0,-1.0
166.0,-1.0
167.0,-1.0
168.0,-1.0
169.0,-1.0
170.0,-1.0
171.0,-1.0
172.0,-1.0
173.0,11.403372473297846
174.0,22.156218905472638
175.0,22.28358208955224
176.0,22.383084577114424
177.0,22.482587064676615
178.0,22.582089552238806
179.0,31.249267945984364
