Time(sec),AH00EJ6PK1H3A
182.0,-100.0
183.0,-100.0
184.0,-100.0
185.0,-100.0
186.0,-100.0
187.0,-100.0
188.0,-100.0
189.0,-100.0
190.0,-100.0
191.0,-100.0
192.0,-100.0
193.0,-100.0
194.0,-100.0
195.0,-100.0
196.0,-100.0
197.0,-100.0
198.0,-100.0
199.0,-100.0
200.0,-100.0
201.0,-100.0
202.0,-100.0
203.0,-100.0
204.0,-100.0
205.0,-100.0
206.0,-100.0
207.0,-100.0
208.0,-100.0
209.0,-100.0
210.0,-100.0
211.0,-100.0
212.0,-100.0
213.0,-100.0
214.0,-100.0
215.0,-100.0
216.0,-100.0
217.0,-100.0
218.0,-100.0
219.0,-100.0
220.0,-100.0
221.0,-100.0
222.0,-100.0
223.0,-100.0
224.0,-100.0
225.0,-100.0
226.0,-100.0
227.0,-100.0
228.0,-99.07000000000001
229.0,-96.0
230.0,-96.0
231.0,-96.0
232.0,-96.0
233.0,-96.0
234.0,-96.0
235.0,-96.0
236.0,-96.0
237.0,-96.0
238.0,-96.0
239.0,-96.0
240.0,-96.0
241.0,-96.0
242.0,-99.11363636363636
243.0,-99.98636363636363
244.0,-100.0
245.0,-100.0
246.0,-100.0
247.0,-100.0
248.0,-100.0
249.0,-100.0
250.0,-100.0
251.0,-100.0
252.0,-100.0
253.0,-100.0
254.0,-100.0
255.0,-100.0
256.0,-100.0
257.0,-100.0
258.0,-100.0
259.0,-100.0
260.0,-100.0
261.0,-100.0
262.0,-100.0
263.0,-100.0
264.0,-100.0
265.0,-100.0
266.0,-100.0
267.0,-100.0
268.0,-100.0
269.0,-100.0
270.0,-100.0
271.0,-100.0
272.0,-100.0
273.0,-100.0
274.0,-100.0
275.0,-100.0
276.0,-100.0
277.0,-100.0
278.0,-100.0
279.0,-100.0
280.0,-100.0
281.0,-100.0
282.0,-98.78125
283.0,-94.0
284.0,-94.0
285.0,-94.0
286.0,-94.0
287.0,-94.0
288.0,-94.0
289.0,-94.0
290.0,-94.0
291.0,-94.0
292.0,-94.0
293.0,-94.0
294.0,-94.0
295.0,-94.0
296.0,-94.0
297.0,-94.0
298.0,-94.0
299.0,-94.0
300.0,-94.0
301.0,-94.0
302.0,-94.0
303.0,-94.0
304.0,-94.0
305.0,-94.0
306.0,-94.0
307.0,-94.0
308.0,-94.0
309.0,-94.0
310.0,-89.8
311.0,-89.0
312.0,-89.0
313.0,-89.0
314.0,-89.0
315.0,-89.0
316.0,-87.4
317.0,-84.0
318.0,-84.0
319.0,-84.0
320.0,-84.0
321.0,-84.0
322.0,-84.0
323.0,-84.0
324.0,-84.0
325.0,-84.0
326.0,-84.0
327.0,-84.0
328.0,-84.0
329.0,-84.0
330.0,-84.0
331.0,-84.0
332.0,-84.0
333.0,-84.0
334.0,-84.0
335.0,-84.0
336.0,-84.0
337.0,-59.148554175293306
338.0,-20.722720245937637
339.0,-51.940625
340.0,-52.0
341.0,-52.0
342.0,-66.25756944444444
343.0,-86.0
344.0,-86.5
345.0,-98.34285714285714
346.0,-100.0
347.0,-100.0
348.0,-100.0
349.0,-100.0
350.0,-100.0
351.0,-100.0
352.0,-100.0
353.0,-100.0
354.0,-100.0
355.0,-100.0
356.0,-100.0
357.0,-96.46055555555554
358.0,-97.88571428571429
359.0,-100.0
360.0,-99.33333333333334
361.0,-99.33333333333334
362.0,-99.33333333333334
363.0,-99.33333333333334
364.0,-99.33333333333334
365.0,-99.33333333333334
366.0,-99.33333333333334
367.0,-85.96832011920827
368.0,-46.54204545454546
369.0,-40.4375
370.0,-43.37976190476191
371.0,-39.0
372.0,-39.0
373.0,-32.413333333333334
374.0,-10.25
375.0,-10.0
376.0,-10.0
377.0,-10.033333333333333
378.0,-20.96875
379.0,-14.0
380.0,-17.580555555555556
381.0,-19.0
382.0,-19.0
383.0,-20.46
384.0,-25.7
385.0,-26.0
386.0,-26.0
387.0,-26.0
388.0,-28.791666666666668
389.0,-33.0
390.0,-33.0
391.0,-33.0
392.0,-33.0
393.0,-36.56666666666666
394.0,-41.0
395.0,-41.0
396.0,-41.0
397.0,-41.0
398.0,-43.6
399.0,-45.0
400.0,-45.0
401.0,-45.0
402.0,-45.0
403.0,-47.50349650349651
404.0,-51.0
405.0,-51.0
406.0,-51.0
407.0,-51.0
408.0,-51.0
409.0,-51.0
410.0,-51.0
411.0,-51.0
412.0,-51.0
413.0,-51.0
414.0,-51.0
415.0,-51.0
416.0,-51.0
417.0,-51.0
418.0,-51.0
419.0,-51.0
420.0,-51.0
421.0,-48.651398601398604
422.0,-44.0
423.0,-44.0
424.0,-44.0
425.0,-44.0
426.0,-44.0
427.0,-44.0
428.0,-38.318030303030305
429.0,-1.6093910256410253
430.0,18.626358695652176
431.0,21.0
432.0,21.0
433.0,21.0
434.0,17.626136363636363
435.0,-14.0975
436.0,-21.0
437.0,-21.0
438.0,-21.0
439.0,-21.0
440.0,-21.0
441.0,-22.52
442.0,-33.52142857142857
443.0,-41.342347756410255
444.0,-48.0
445.0,-48.0
446.0,-48.0
447.0,-56.344444444444434
448.0,-59.0
449.0,-59.0
450.0,-60.317142857142855
451.0,-66.0
452.0,-66.0
453.0,-66.0
454.0,-66.0
455.0,-66.0
456.0,-66.0
457.0,-66.0
458.0,-66.0
459.0,-66.0
460.0,-66.0
461.0,-65.44
462.0,-46.01510606060606
463.0,-55.0
464.0,-55.0
465.0,-55.0
466.0,-55.0
467.0,-55.0
468.0,-55.0
469.0,-49.49916666666667
470.0,-30.64328059732665
471.0,10.330208333333333
472.0,12.0
473.0,12.881481481481481
474.0,22.0
475.0,22.0
476.0,22.0
477.0,14.027549019607843
478.0,-5.0
479.0,-15.460357142857143
480.0,-20.0
481.0,-20.0
482.0,-20.0
483.0,-23.217676767676767
484.0,-31.0
485.0,-31.0
486.0,-45.007954545454545
487.0,-56.661705029838025
488.0,-63.0
489.0,-63.0
490.0,-70.66590909090908
491.0,-87.85
492.0,-88.0
493.0,-88.0
494.0,-88.0
495.0,-88.0
496.0,-96.1152505446623
497.0,-99.0
498.0,-99.0
499.0,-99.0
500.0,-99.0
501.0,-99.0
502.0,-99.0
503.0,-99.0
504.0,-99.59867724867725
505.0,-100.0
506.0,-100.0
507.0,-100.0
508.0,-100.0
509.0,-100.0
510.0,-100.0
511.0,-100.0
512.0,-100.0
513.0,-100.0
514.0,-100.0
515.0,-100.0
516.0,-100.0
517.0,-100.0
518.0,-100.0
519.0,-100.0
520.0,-100.0
521.0,-100.0
522.0,-100.0
523.0,-100.0
524.0,-100.0
525.0,-100.0
526.0,-100.0
527.0,-100.0
528.0,-100.0
529.0,-100.0
530.0,-100.0
531.0,-70.47062500000001
532.0,-46.099761904761905
533.0,-74.8
534.0,-87.65833333333333
535.0,-94.0
536.0,-94.0
537.0,-94.0
538.0,-94.0
539.0,-94.0
540.0,-94.0
541.0,-94.64375
542.0,-99.0
543.0,-99.0
544.0,-99.0
545.0,-99.0
546.0,-99.0
547.0,-99.0
548.0,-99.0
549.0,-99.0
550.0,-99.0
551.0,-99.0
552.0,-99.0
553.0,-99.0
554.0,-99.0
555.0,-99.0
556.0,-99.0
557.0,-99.0
558.0,-99.0
559.0,-99.0
560.0,-99.0
561.0,-99.0
562.0,-99.0
563.0,-99.0
564.0,-99.0
565.0,-99.0
566.0,-99.0
567.0,-99.0
568.0,-99.0
569.0,-99.0
570.0,-99.0
571.0,-99.0
572.0,-99.0
573.0,-99.0
574.0,-99.0
575.0,-99.0
576.0,-99.0
577.0,-99.0
578.0,-99.0
579.0,-99.0
580.0,-99.0
581.0,-99.0
582.0,-99.0
583.0,-99.0
584.0,-99.0
585.0,-99.0
586.0,-99.2642857142857
587.0,-100.0
588.0,-100.0
589.0,-100.0
590.0,-100.0
591.0,-100.0
592.0,-100.0
593.0,-100.0
594.0,-100.0
595.0,-100.0
596.0,-100.0
597.0,-100.0
598.0,-100.0
599.0,-100.0
600.0,-100.0
601.0,-100.0
602.0,-100.0
603.0,-100.0
604.0,-100.0
605.0,-100.0
606.0,-100.0
607.0,-100.0
608.0,-100.0
609.0,-100.0
610.0,-100.0
611.0,-100.0
612.0,-100.0
613.0,-100.0
614.0,-100.0
615.0,-100.0
616.0,-100.0
617.0,-100.0
618.0,-100.0
619.0,-100.0
620.0,-100.0
621.0,-100.0
622.0,-100.0
623.0,-100.0
624.0,-100.0
625.0,-100.0
626.0,-100.0
627.0,-100.0
628.0,-100.0
629.0,-100.0
630.0,-100.0
631.0,-100.0
632.0,-100.0
633.0,-100.0
634.0,-100.0
635.0,-100.0
636.0,-100.0
637.0,-100.0
638.0,-100.0
639.0,-100.0
640.0,-100.0
641.0,-100.0
642.0,-100.0
643.0,-100.0
644.0,-100.0
645.0,-100.0
646.0,-100.0
647.0,-100.0
648.0,-100.0
649.0,-100.0
650.0,-100.0
651.0,-100.0
652.0,-100.0
653.0,-100.0
654.0,-100.0
655.0,-100.0
656.0,-100.0
657.0,-100.0
658.0,-100.0
659.0,-100.0
660.0,-100.0
661.0,-100.0
662.0,-100.0
663.0,-90.07807692307692
664.0,-83.5
665.0,-83.73333333333333
666.0,-93.17142857142858
667.0,-96.39333333333335
668.0,-99.5375
669.0,-100.0
670.0,-100.0
671.0,-100.0
672.0,-100.0
673.0,-100.0
674.0,-100.0
675.0,-100.0
676.0,-100.0
677.0,-100.0
678.0,-100.0
679.0,-100.0
680.0,-100.0
681.0,-100.0
682.0,-100.0
683.0,-100.0
684.0,-100.0
685.0,-100.0
686.0,-100.0
687.0,-100.0
688.0,-100.0
689.0,-100.0
690.0,-100.0
691.0,-100.0
692.0,-100.0
693.0,-100.0
694.0,-100.0
695.0,-100.0
696.0,-100.0
697.0,-100.0
698.0,-100.0
699.0,-100.0
700.0,-100.0
701.0,-100.0
702.0,-100.0
