Time(sec),AU2980AA60A2C
168.0,-100.0
169.0,-100.0
170.0,-100.0
171.0,-100.0
172.0,-100.0
173.0,-100.0
174.0,-100.0
175.0,-100.0
176.0,-100.0
177.0,-100.0
178.0,-100.0
179.0,-100.0
180.0,-100.0
181.0,-100.0
182.0,-100.0
183.0,-100.0
184.0,-100.0
185.0,-100.0
186.0,-99.73333333333335
187.0,-99.33333333333334
188.0,-99.33333333333334
189.0,-99.33333333333334
190.0,-99.33333333333334
191.0,-99.33333333333334
192.0,-99.33333333333334
193.0,-99.33333333333334
194.0,-99.33333333333334
195.0,-99.33333333333334
196.0,-98.93333333333334
197.0,-90.72083333333333
198.0,-89.0
199.0,-89.0
200.0,-89.0
201.0,-89.0
202.0,-88.46666666666665
203.0,-87.66666666666666
204.0,-87.66666666666666
205.0,-87.66666666666666
206.0,-87.66666666666666
207.0,-87.66666666666666
208.0,-84.17380952380952
209.0,-82.0
210.0,-82.0
211.0,-82.0
212.0,-82.0
213.0,-82.0
214.0,-82.0
215.0,-82.5
216.0,-89.02857142857144
217.0,-89.82798534798536
218.0,-89.48717948717949
219.0,-89.08923076923078
220.0,-88.84102564102565
221.0,-88.59564102564103
222.0,-88.21031746031744
223.0,-88.00396825396827
224.0,-87.97222222222223
225.0,-87.93650793650794
226.0,-87.90079365079366
227.0,-87.86904761904763
228.0,-87.83333333333334
229.0,-87.79365079365081
230.0,-87.75793650793648
231.0,-87.72619047619051
232.0,-87.69047619047618
233.0,-87.6547619047619
234.0,-87.25396825396825
235.0,-87.42857142857142
236.0,-87.65714285714286
237.0,-92.3
238.0,-100.0
239.0,-99.425
240.0,-94.1167748917749
241.0,-91.71212121212122
242.0,-91.5
243.0,-91.5
244.0,-91.5
245.0,-94.40833333333333
246.0,-99.76666666666667
247.0,-100.0
248.0,-100.0
249.0,-100.0
250.0,-100.0
251.0,-100.0
252.0,-100.0
253.0,-100.0
254.0,-100.0
255.0,-100.0
256.0,-100.0
257.0,-100.0
258.0,-100.0
259.0,-100.0
260.0,-100.0
261.0,-100.0
262.0,-100.0
263.0,-100.0
264.0,-100.0
265.0,-100.0
266.0,-100.0
267.0,-100.0
268.0,-100.0
269.0,-100.0
270.0,-99.02238095238097
271.0,-96.7857142857143
272.0,-96.7857142857143
273.0,-96.7857142857143
274.0,-94.0142857142857
275.0,-92.0
276.0,-92.0
277.0,-92.0
278.0,-92.18666666666667
279.0,-95.0
280.0,-95.0
281.0,-95.0
282.0,-95.0
283.0,-95.0
284.0,-95.075
285.0,-95.275
286.0,-97.79761904761904
287.0,-99.91428571428571
288.0,-100.0
289.0,-99.99673913043479
290.0,-99.94202898550725
291.0,-99.86956521739128
292.0,-97.625
293.0,-95.11666666666666
294.0,-91.0
295.0,-88.21111111111111
296.0,-87.0
297.0,-87.0
298.0,-88.67294117647059
299.0,-96.6
300.0,-99.5
301.0,-99.5
302.0,-99.5
303.0,-99.5
304.0,-99.5
305.0,-99.5
306.0,-99.5
307.0,-99.5
308.0,-99.5
309.0,-99.58333333333334
310.0,-99.99166666666667
311.0,-100.0
312.0,-100.0
313.0,-100.0
314.0,-100.0
315.0,-100.0
316.0,-100.0
317.0,-100.0
318.0,-100.0
319.0,-100.0
320.0,-100.0
321.0,-100.0
322.0,-100.0
323.0,-100.0
324.0,-100.0
325.0,-100.0
326.0,-100.0
327.0,-100.0
328.0,-100.0
329.0,-100.0
330.0,-100.0
331.0,-100.0
332.0,-100.0
333.0,-100.0
334.0,-100.0
335.0,-100.0
336.0,-100.0
337.0,-100.0
338.0,-100.0
339.0,-100.0
340.0,-100.0
341.0,-100.0
342.0,-100.0
343.0,-100.0
344.0,-100.0
345.0,-100.0
346.0,-100.0
347.0,-100.0
348.0,-100.0
349.0,-100.0
350.0,-100.0
351.0,-100.0
352.0,-100.0
353.0,-100.0
354.0,-100.0
355.0,-100.0
356.0,-100.0
357.0,-100.0
358.0,-100.0
359.0,-100.0
360.0,-100.0
361.0,-100.0
362.0,-100.0
363.0,-100.0
364.0,-100.0
365.0,-100.0
366.0,-100.0
367.0,-100.0
368.0,-100.0
369.0,-100.0
370.0,-100.0
371.0,-100.0
372.0,-100.0
373.0,-100.0
374.0,-100.0
375.0,-100.0
376.0,-100.0
377.0,-100.0
378.0,-100.0
379.0,-100.0
380.0,-100.0
381.0,-100.0
382.0,-100.0
383.0,-100.0
384.0,-100.0
385.0,-100.0
386.0,-100.0
387.0,-100.0
388.0,-100.0
389.0,-100.0
390.0,-100.0
391.0,-100.0
392.0,-100.0
393.0,-100.0
394.0,-100.0
395.0,-100.0
396.0,-100.0
397.0,-100.0
398.0,-100.0
399.0,-100.0
400.0,-100.0
401.0,-100.0
402.0,-100.0
403.0,-100.0
404.0,-100.0
405.0,-100.0
406.0,-100.0
407.0,-100.0
408.0,-100.0
409.0,-100.0
410.0,-99.92857142857143
411.0,-99.92857142857143
412.0,-99.92857142857143
413.0,-99.92857142857143
414.0,-97.96428571428571
415.0,-96.0
416.0,-96.0
417.0,-96.0
418.0,-94.32179487179488
419.0,-91.16666666666667
420.0,-91.0
421.0,-91.0
422.0,-91.0
423.0,-91.0
424.0,-91.50018796992481
425.0,-91.81578947368422
426.0,-91.38223684210527
427.0,-89.88833333333335
428.0,-84.24888888888887
429.0,-83.6111111111111
430.0,-83.28888888888888
431.0,-82.0
432.0,-82.0
433.0,-82.0
434.0,-82.0
435.0,-82.0
436.0,-82.0
437.0,-81.6
438.0,-80.0
439.0,-80.0
440.0,-80.1125
441.0,-80.3625
442.0,-81.85
443.0,-82.14555555555555
444.0,-83.04444444444445
445.0,-84.0
446.0,-84.0
447.0,-83.91428571428571
448.0,-81.21428571428571
449.0,-81.0
450.0,-81.0
451.0,-91.49666666666668
452.0,-92.60000000000001
453.0,-99.91499999999999
454.0,-100.0
455.0,-100.0
456.0,-100.0
457.0,-100.0
458.0,-100.0
459.0,-100.0
460.0,-100.0
461.0,-100.0
462.0,-100.0
463.0,-100.0
464.0,-100.0
465.0,-100.0
466.0,-100.0
467.0,-100.0
468.0,-100.0
469.0,-100.0
470.0,-100.0
471.0,-100.0
472.0,-100.0
473.0,-100.0
474.0,-100.0
475.0,-100.0
476.0,-100.0
477.0,-100.0
478.0,-100.0
479.0,-100.0
480.0,-100.0
481.0,-100.0
482.0,-100.0
483.0,-100.0
484.0,-100.0
485.0,-100.0
486.0,-100.0
487.0,-100.0
488.0,-97.8736111111111
489.0,-93.15555555555554
490.0,-96.23911764705883
491.0,-99.11764705882354
492.0,-99.92156862745098
493.0,-100.0
494.0,-100.0
495.0,-100.0
496.0,-100.0
497.0,-100.0
498.0,-100.0
499.0,-100.0
500.0,-100.0
501.0,-100.0
502.0,-100.0
503.0,-100.0
504.0,-100.0
505.0,-100.0
506.0,-100.0
507.0,-100.0
508.0,-100.0
509.0,-100.0
510.0,-100.0
511.0,-100.0
512.0,-100.0
513.0,-100.0
514.0,-100.0
515.0,-100.0
516.0,-100.0
517.0,-100.0
518.0,-100.0
519.0,-100.0
520.0,-100.0
521.0,-100.0
522.0,-100.0
523.0,-100.0
524.0,-100.0
525.0,-100.0
526.0,-100.0
527.0,-100.0
528.0,-100.0
529.0,-100.0
530.0,-100.0
531.0,-100.0
532.0,-100.0
533.0,-100.0
534.0,-100.0
535.0,-100.0
536.0,-100.0
537.0,-100.0
538.0,-100.0
539.0,-100.0
540.0,-100.0
541.0,-100.0
542.0,-100.0
543.0,-100.0
544.0,-100.0
545.0,-100.0
546.0,-100.0
547.0,-100.0
548.0,-100.0
549.0,-100.0
550.0,-100.0
551.0,-100.0
552.0,-100.0
553.0,-100.0
554.0,-100.0
555.0,-100.0
556.0,-100.0
557.0,-100.0
558.0,-100.0
559.0,-100.0
560.0,-100.0
561.0,-100.0
562.0,-100.0
563.0,-100.0
564.0,-100.0
565.0,-100.0
566.0,-100.0
567.0,-100.0
568.0,-100.0
569.0,-100.0
570.0,-100.0
571.0,-100.0
572.0,-100.0
573.0,-100.0
574.0,-100.0
575.0,-100.0
576.0,-100.0
577.0,-100.0
578.0,-100.0
579.0,-100.0
580.0,-100.0
581.0,-100.0
582.0,-100.0
583.0,-100.0
584.0,-100.0
585.0,-100.0
586.0,-100.0
587.0,-100.0
588.0,-100.0
589.0,-100.0
590.0,-100.0
591.0,-100.0
592.0,-100.0
593.0,-100.0
594.0,-100.0
595.0,-100.0
596.0,-100.0
597.0,-100.0
598.0,-100.0
599.0,-100.0
600.0,-100.0
601.0,-100.0
602.0,-100.0
603.0,-100.0
604.0,-100.0
605.0,-100.0
606.0,-100.0
607.0,-100.0
608.0,-100.0
609.0,-100.0
610.0,-100.0
611.0,-100.0
612.0,-100.0
613.0,-100.0
614.0,-100.0
615.0,-100.0
616.0,-100.0
617.0,-100.0
618.0,-100.0
619.0,-100.0
