Time(sec),AU2980AA60A2C
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-98.3
18.0,-98.0
19.0,-99.02205882352939
20.0,-99.07107843137257
21.0,-99.12009803921569
22.0,-99.16911764705883
23.0,-99.21813725490196
24.0,-99.26715686274508
25.0,-99.31617647058825
26.0,-99.35637254901961
27.0,-99.37745098039215
28.0,-99.37990196078431
29.0,-99.37990196078431
30.0,-99.37990196078431
31.0,-99.37990196078431
32.0,-99.37990196078431
33.0,-99.37990196078431
34.0,-99.37990196078431
35.0,-99.37990196078431
36.0,-99.37990196078431
37.0,-99.38357843137254
38.0,-99.40563725490195
39.0,-99.43014705882354
40.0,-99.45465686274511
41.0,-99.47916666666667
42.0,-99.50367647058823
43.0,-99.52818627450979
44.0,-99.55269607843135
45.0,-99.57720588235296
46.0,-99.60171568627452
47.0,-99.62622549019608
48.0,-99.65073529411764
49.0,-99.6752450980392
50.0,-99.6997549019608
51.0,-99.72426470588236
52.0,-99.74877450980392
53.0,-99.77328431372548
54.0,-99.79779411764704
55.0,-99.82230392156865
56.0,-99.84681372549021
57.0,-99.87132352941175
58.0,-99.89583333333333
59.0,-99.92034313725489
60.0,-99.94485294117649
61.0,-99.96936274509805
62.0,-99.99313725490195
63.0,-100.0
64.0,-100.0
65.0,-100.0
66.0,-100.0
67.0,-100.0
68.0,-100.0
69.0,-100.0
70.0,-100.0
71.0,-100.0
72.0,-100.0
73.0,-100.0
74.0,-100.0
75.0,-100.0
76.0,-100.0
77.0,-100.0
78.0,-100.0
79.0,-100.0
80.0,-100.0
81.0,-100.0
82.0,-100.0
83.0,-100.0
84.0,-100.0
85.0,-100.0
86.0,-100.0
87.0,-100.0
88.0,-100.0
89.0,-100.0
90.0,-100.0
91.0,-100.0
92.0,-100.0
93.0,-100.0
94.0,-100.0
95.0,-100.0
96.0,-100.0
97.0,-100.0
98.0,-100.0
99.0,-100.0
100.0,-100.0
101.0,-100.0
102.0,-100.0
103.0,-100.0
104.0,-100.0
105.0,-100.0
106.0,-100.0
107.0,-100.0
108.0,-100.0
109.0,-100.0
110.0,-100.0
111.0,-100.0
112.0,-100.0
113.0,-100.0
114.0,-100.0
115.0,-100.0
116.0,-100.0
117.0,-100.0
118.0,-100.0
119.0,-100.0
120.0,-100.0
121.0,-100.0
122.0,-100.0
123.0,-100.0
124.0,-100.0
125.0,-100.0
126.0,-100.0
127.0,-100.0
128.0,-100.0
129.0,-100.0
130.0,-100.0
131.0,-100.0
132.0,-100.0
133.0,-100.0
134.0,-100.0
135.0,-100.0
136.0,-100.0
137.0,-100.0
138.0,-100.0
139.0,-100.0
140.0,-100.0
141.0,-100.0
142.0,-100.0
143.0,-100.0
144.0,-100.0
145.0,-100.0
146.0,-100.0
147.0,-100.0
148.0,-100.0
149.0,-100.0
150.0,-100.0
151.0,-100.0
152.0,-100.0
153.0,-100.0
154.0,-100.0
155.0,-100.0
156.0,-100.0
157.0,-100.0
158.0,-100.0
159.0,-100.0
160.0,-100.0
161.0,-100.0
162.0,-100.0
163.0,-100.0
164.0,-100.0
165.0,-100.0
166.0,-100.0
167.0,-100.0
