Time(sec),A73CNVUAKO1AY
183.0,100.0
184.0,100.0
185.0,100.0
186.0,100.0
187.0,100.0
188.0,100.0
189.0,100.0
190.0,100.0
191.0,100.0
192.0,100.0
193.0,100.0
194.0,100.0
195.0,100.0
196.0,100.0
197.0,100.0
198.0,100.0
199.0,100.0
200.0,100.0
201.0,100.0
202.0,100.0
203.0,100.0
204.0,100.0
205.0,100.0
206.0,100.0
207.0,100.0
208.0,100.0
209.0,100.0
210.0,100.0
211.0,100.0
212.0,100.0
213.0,100.0
214.0,100.0
215.0,100.0
216.0,100.0
217.0,100.0
218.0,100.0
219.0,100.0
220.0,100.0
221.0,100.0
222.0,100.0
223.0,100.0
224.0,100.0
225.0,100.0
226.0,100.0
227.0,100.0
228.0,100.0
229.0,100.0
230.0,100.0
231.0,92.89166666666668
232.0,90.66666666666666
233.0,92.33333333333334
234.0,93.22857142857143
235.0,80.47744708994709
236.0,92.15545070254822
237.0,94.375
238.0,94.375
239.0,97.3477272727273
240.0,98.09090909090911
241.0,98.09090909090911
242.0,98.09090909090911
243.0,98.09090909090911
244.0,98.09090909090911
245.0,98.09090909090911
246.0,98.89545454545456
247.0,100.0
248.0,100.0
249.0,100.0
250.0,100.0
251.0,100.0
252.0,100.0
253.0,100.0
254.0,100.0
255.0,100.0
256.0,100.0
257.0,100.0
258.0,100.0
259.0,100.0
260.0,100.0
261.0,100.0
262.0,100.0
263.0,100.0
264.0,100.0
265.0,100.0
266.0,100.0
267.0,100.0
268.0,100.0
269.0,100.0
270.0,100.0
271.0,100.0
272.0,99.33333333333331
273.0,98.66666666666666
274.0,98.66666666666666
275.0,98.66666666666666
276.0,98.66666666666666
277.0,98.66666666666666
278.0,98.66666666666666
279.0,98.66666666666666
280.0,98.66666666666666
281.0,98.66666666666666
282.0,97.05000000000001
283.0,83.1425
284.0,62.56166666666665
285.0,32.58166666666667
286.0,34.00333333333333
287.0,49.74666666666667
288.0,64.12222222222223
289.0,53.41666666666667
290.0,45.00000000000001
291.0,37.13333333333333
292.0,29.199999999999996
293.0,21.133333333333333
294.0,13.166666666666668
295.0,5.3
296.0,-2.6000000000000005
297.0,-10.616666666666667
298.0,-18.73333333333333
299.0,-26.8
300.0,-36.95
301.0,-50.166666666666664
302.0,-63.0
303.0,-76.44666666666666
304.0,-91.38
305.0,-99.88
306.0,-100.0
307.0,-100.0
308.0,-100.0
309.0,-100.0
310.0,-100.0
311.0,-100.0
312.0,-100.0
313.0,-100.0
314.0,-100.0
315.0,-100.0
316.0,-100.0
317.0,-100.0
318.0,-100.0
319.0,-100.0
320.0,-100.0
321.0,-100.0
322.0,-100.0
323.0,-100.0
324.0,-100.0
325.0,-100.0
326.0,-100.0
327.0,-100.0
328.0,-100.0
329.0,-100.0
330.0,-100.0
331.0,-100.0
332.0,-100.0
333.0,-100.0
334.0,-100.0
335.0,-100.0
336.0,-100.0
337.0,-100.0
338.0,-100.0
339.0,-100.0
340.0,-100.0
341.0,-100.0
342.0,-100.0
343.0,-100.0
344.0,-100.0
345.0,-100.0
346.0,-100.0
347.0,-100.0
348.0,-100.0
349.0,-100.0
350.0,-100.0
351.0,-100.0
352.0,-100.0
353.0,-100.0
354.0,-100.0
355.0,-100.0
356.0,-100.0
357.0,-100.0
358.0,-100.0
359.0,-100.0
360.0,-100.0
361.0,-100.0
362.0,-100.0
363.0,-100.0
364.0,-100.0
365.0,-100.0
366.0,-100.0
367.0,-100.0
368.0,-100.0
369.0,-100.0
370.0,-100.0
371.0,-100.0
372.0,-100.0
373.0,-100.0
374.0,-100.0
375.0,-100.0
376.0,-100.0
377.0,-100.0
378.0,-100.0
379.0,-100.0
380.0,-100.0
381.0,-100.0
382.0,-100.0
383.0,-100.0
384.0,-100.0
385.0,-100.0
386.0,-100.0
387.0,-100.0
388.0,-100.0
389.0,-100.0
390.0,-100.0
391.0,-100.0
392.0,-100.0
393.0,-100.0
394.0,-100.0
395.0,-100.0
396.0,-100.0
397.0,-100.0
398.0,-100.0
399.0,-100.0
400.0,-100.0
401.0,-100.0
402.0,-100.0
403.0,-100.0
404.0,-100.0
405.0,-100.0
406.0,-100.0
407.0,-100.0
408.0,-100.0
409.0,-100.0
410.0,-100.0
411.0,-100.0
412.0,-100.0
413.0,-100.0
414.0,-100.0
415.0,-100.0
416.0,-100.0
417.0,-100.0
418.0,-100.0
419.0,-100.0
420.0,-100.0
421.0,-100.0
422.0,-100.0
423.0,-100.0
424.0,-100.0
425.0,-100.0
426.0,-100.0
427.0,-100.0
428.0,-100.0
429.0,-100.0
430.0,-100.0
431.0,-100.0
432.0,-100.0
433.0,-100.0
434.0,-100.0
435.0,-100.0
436.0,-100.0
437.0,-100.0
438.0,-100.0
439.0,-100.0
440.0,-100.0
441.0,-100.0
442.0,-100.0
443.0,-100.0
444.0,-100.0
445.0,-100.0
446.0,-100.0
447.0,-100.0
448.0,-100.0
449.0,-100.0
450.0,-100.0
451.0,-100.0
452.0,-100.0
453.0,-100.0
454.0,-100.0
455.0,-100.0
456.0,-100.0
457.0,-100.0
458.0,-100.0
459.0,-100.0
460.0,-100.0
461.0,-100.0
462.0,-100.0
463.0,-100.0
464.0,-100.0
465.0,-100.0
466.0,-100.0
467.0,-100.0
468.0,-100.0
469.0,-100.0
470.0,-100.0
471.0,-100.0
472.0,-100.0
473.0,-100.0
474.0,-100.0
475.0,-100.0
476.0,-100.0
477.0,-100.0
478.0,-100.0
479.0,-100.0
480.0,-100.0
481.0,-100.0
482.0,-100.0
483.0,-100.0
484.0,-100.0
485.0,-100.0
486.0,-100.0
487.0,-100.0
488.0,-100.0
489.0,-100.0
490.0,-100.0
491.0,-100.0
492.0,-100.0
493.0,-100.0
494.0,-100.0
495.0,-100.0
496.0,-100.0
497.0,-100.0
498.0,-100.0
499.0,-100.0
500.0,-100.0
501.0,-100.0
502.0,-100.0
503.0,-100.0
504.0,-100.0
505.0,-100.0
506.0,-100.0
507.0,-100.0
508.0,-100.0
509.0,-100.0
510.0,-100.0
511.0,-100.0
512.0,-100.0
513.0,-100.0
514.0,-100.0
515.0,-100.0
516.0,-100.0
517.0,-100.0
518.0,-100.0
519.0,-100.0
520.0,-100.0
521.0,-100.0
522.0,-100.0
523.0,-100.0
524.0,-100.0
525.0,-100.0
526.0,-100.0
527.0,-100.0
528.0,-100.0
529.0,-100.0
530.0,-100.0
531.0,-100.0
532.0,-100.0
533.0,-100.0
534.0,-100.0
535.0,-100.0
536.0,-100.0
537.0,-100.0
538.0,-100.0
539.0,-100.0
540.0,-100.0
541.0,-100.0
542.0,-100.0
543.0,-100.0
544.0,-100.0
545.0,-100.0
546.0,-100.0
547.0,-100.0
548.0,-100.0
549.0,-100.0
550.0,-100.0
551.0,-100.0
552.0,-100.0
553.0,-100.0
554.0,-100.0
555.0,-100.0
556.0,-100.0
557.0,-100.0
558.0,-100.0
559.0,-100.0
560.0,-100.0
561.0,-100.0
562.0,-100.0
