Time(sec),A3BPENSX5EVJ2
289.0,-21.55
290.0,-24.59166666666667
291.0,-29.455000000000002
292.0,-33.39208333333333
293.0,-38.605000000000004
294.0,-43.425
295.0,-49.488888888888894
296.0,-54.1125
297.0,-60.00277777777778
298.0,-86.96527777777779
299.0,-99.0
300.0,-99.0
301.0,-99.0
302.0,-99.0
303.0,-99.0
304.0,-99.0
305.0,-99.0
306.0,-99.0
307.0,-99.0
308.0,-99.0
309.0,-99.0
310.0,-99.0
311.0,-99.0
312.0,-99.0
313.0,-99.0
314.0,-99.0
315.0,-99.0
316.0,-99.0
317.0,-99.0
318.0,-99.0
319.0,-99.0
320.0,-99.0
321.0,-99.0
322.0,-99.0
323.0,-99.0
324.0,-99.0
325.0,-99.0
326.0,-99.0
327.0,-99.0
328.0,-99.0
329.0,-99.0
330.0,-99.0
331.0,-99.0
332.0,-99.0
333.0,-99.0
334.0,-99.0
335.0,-99.0
336.0,-99.0
337.0,-99.0
338.0,-99.0
339.0,-99.0
340.0,-99.0
341.0,-99.0
342.0,-99.0
343.0,-99.0
344.0,-99.0
345.0,-99.0
346.0,-99.0
347.0,-99.0
348.0,-99.0
349.0,-99.0
350.0,-99.0
351.0,-99.0
352.0,-99.0
353.0,-99.0
354.0,-99.0
355.0,-99.0
356.0,-99.0
357.0,-99.0
358.0,-99.0
359.0,-99.0
360.0,-99.0
361.0,-99.0
362.0,-99.0
363.0,-99.0
364.0,-99.0
365.0,-99.0
366.0,-99.0
367.0,-99.0
368.0,-99.0
369.0,-98.9
370.0,-94.90160256410256
371.0,-90.32822802197802
372.0,-86.26675
373.0,-80.07948468198467
374.0,-74.84605555555557
375.0,-70.44646464646465
376.0,-66.48089526214525
377.0,-60.85021424563091
378.0,-55.025155400155406
379.0,-46.175
380.0,-30.825
381.0,-28.666666666666668
382.0,-28.666666666666668
383.0,-28.666666666666668
384.0,-28.666666666666668
385.0,-28.666666666666668
386.0,-28.666666666666668
387.0,-28.666666666666668
388.0,-18.873333333333335
389.0,-17.333333333333336
390.0,-17.333333333333336
391.0,-12.900952380952381
392.0,-1.1079166666666667
393.0,3.843295454545455
394.0,9.891867694805196
395.0,14.015595238095239
396.0,18.115
397.0,21.475
398.0,25.776923076923076
399.0,30.78333333333333
400.0,34.925
401.0,39.125
402.0,43.85
403.0,49.558232323232325
404.0,54.49371794871795
405.0,61.67689620162446
406.0,77.77
407.0,88.49567821067822
408.0,96.0
409.0,96.0
410.0,96.0
411.0,96.0
412.0,96.0
413.0,96.0
414.0,96.0
415.0,96.0
416.0,96.0
417.0,96.0
418.0,96.0
419.0,96.0
420.0,96.0
421.0,96.0
422.0,96.0
423.0,96.0
424.0,96.0
425.0,96.0
426.0,96.0
427.0,96.0
428.0,96.0
429.0,96.0
430.0,96.0
431.0,96.0
432.0,96.0
433.0,96.0
434.0,96.0
435.0,96.0
436.0,96.0
437.0,96.0
438.0,96.0
439.0,96.0
440.0,96.0
441.0,96.0
442.0,96.0
443.0,97.67261904761907
444.0,95.75333333333333
445.0,79.89111111111112
446.0,66.34546428571429
447.0,60.69646825396825
448.0,55.66041666666668
449.0,49.511250000000004
450.0,45.475833333333334
451.0,41.15045257982757
452.0,37.74429067460317
453.0,34.01667800453515
454.0,29.5
455.0,25.125
456.0,20.25
457.0,16.3
458.0,13.0
459.0,9.2
460.0,3.238095238095238
461.0,-16.15
462.0,-17.5
463.0,-17.5
464.0,-17.5
465.0,-17.5
466.0,-17.5
467.0,-17.5
468.0,-17.5
469.0,-17.5
470.0,-17.5
471.0,-26.776666666666664
472.0,-50.5
473.0,-54.0
474.0,-54.0
475.0,-54.0
476.0,-54.66111111111111
477.0,-59.5
478.0,-63.95
479.0,-68.325
480.0,-72.45
481.0,-76.7
482.0,-82.9
483.0,-87.425
484.0,-91.55
485.0,-93.4
486.0,-94.0
487.0,-94.0
488.0,-94.0
489.0,-94.0
490.0,-94.0
491.0,-94.0
492.0,-94.0
493.0,-94.0
494.0,-94.0
495.0,-94.0
496.0,-94.0
497.0,-94.0
498.0,-94.0
499.0,-94.0
500.0,-94.0
501.0,-94.0
502.0,-94.0
503.0,-94.0
504.0,-94.0
505.0,-94.0
506.0,-94.0
507.0,-94.0
508.0,-94.0
509.0,-94.0
510.0,-94.0
511.0,-94.0
512.0,-94.0
513.0,-94.0
514.0,-94.0
515.0,-94.0
516.0,-94.0
517.0,-94.0
518.0,-94.0
519.0,-94.0
520.0,-94.0
521.0,-94.0
522.0,-94.0
523.0,-94.0
524.0,-94.0
525.0,-94.0
526.0,-94.0
527.0,-94.0
528.0,-94.0
529.0,-94.0
530.0,-94.0
531.0,-94.0
532.0,-94.0
533.0,-94.0
534.0,-94.0
535.0,-94.0
536.0,-94.0
537.0,-94.0
538.0,-94.0
539.0,-94.0
540.0,-94.0
541.0,-94.0
542.0,-94.0
543.0,-94.0
544.0,-94.0
545.0,-94.0
546.0,-94.0
547.0,-94.0
548.0,-94.0
549.0,-94.0
550.0,-94.0
551.0,-94.0
552.0,-94.0
553.0,-94.0
554.0,-94.0
555.0,-94.0
556.0,-94.0
557.0,-94.0
558.0,-94.0
559.0,-94.0
560.0,-94.0
561.0,-94.0
562.0,-94.0
563.0,-94.0
564.0,-94.0
565.0,-94.0
566.0,-94.0
567.0,-94.0
568.0,-94.0
569.0,-94.0
570.0,-94.0
571.0,-94.0
572.0,-94.0
573.0,-94.0
574.0,-94.0
575.0,-94.0
576.0,-94.0
577.0,-94.0
578.0,-94.0
579.0,-94.0
580.0,-94.0
581.0,-94.0
582.0,-94.0
583.0,-94.0
584.0,-94.0
585.0,-94.0
586.0,-94.0
587.0,-94.0
588.0,-94.0
589.0,-94.0
590.0,-94.0
591.0,-94.0
592.0,-94.0
593.0,-94.0
594.0,-94.0
595.0,-94.0
596.0,-94.0
597.0,-94.0
598.0,-94.0
599.0,-94.0
600.0,-94.0
601.0,-94.0
602.0,-94.0
603.0,-94.0
604.0,-94.0
605.0,-94.0
606.0,-94.0
607.0,-94.0
608.0,-94.0
609.0,-94.0
610.0,-94.0
611.0,-94.0
612.0,-94.0
613.0,-94.0
614.0,-94.0
615.0,-94.0
616.0,-94.0
617.0,-94.0
618.0,-94.0
619.0,-94.0
620.0,-94.0
621.0,-94.0
622.0,-94.0
623.0,-94.0
624.0,-94.0
625.0,-94.0
626.0,-94.0
627.0,-94.0
628.0,-94.0
629.0,-94.0
630.0,-94.0
631.0,-94.0
632.0,-94.0
633.0,-94.0
634.0,-94.0
635.0,-94.0
