Time(sec),A2IJQ30G1BWGV
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-99.425
23.0,-93.49131274131273
24.0,-93.47200772200773
25.0,-93.45270270270271
26.0,-93.43339768339769
27.0,-93.41409266409266
28.0,-93.39478764478764
29.0,-93.37548262548262
30.0,-93.35617760617761
31.0,-93.3368725868726
32.0,-93.31756756756756
33.0,-93.29826254826256
34.0,-93.27895752895753
35.0,-93.25965250965251
36.0,-93.24034749034749
37.0,-93.22104247104247
38.0,-93.20173745173746
39.0,-93.18243243243244
40.0,-93.1631274131274
41.0,-93.1438223938224
42.0,-93.12451737451737
43.0,-93.10521235521236
44.0,-93.08590733590734
45.0,-93.06660231660231
46.0,-93.04729729729729
47.0,-93.02799227799228
48.0,-93.00868725868727
49.0,-93.0
50.0,-93.0
51.0,-93.0
52.0,-93.0
53.0,-93.0
54.0,-93.0
55.0,-93.0
56.0,-93.0
57.0,-93.0
58.0,-93.0
59.0,-93.0
60.0,-93.0
61.0,-93.0
62.0,-93.0
63.0,-93.0
64.0,-93.0
65.0,-93.0
66.0,-93.0
67.0,-93.0
68.0,-93.0
69.0,-93.0
70.0,-93.0
71.0,-93.0
72.0,-93.0
73.0,-93.0
74.0,-93.0
75.0,-93.0
76.0,-93.0
77.0,-93.0
78.0,-93.0
79.0,-93.0
80.0,-93.0
81.0,-93.0
82.0,-93.0
83.0,-93.0
84.0,-93.0
85.0,-93.0
86.0,-93.0
87.0,-93.0
88.0,-93.0
89.0,-93.0
90.0,-93.0
91.0,-93.0
92.0,-93.0
93.0,-93.0
94.0,-93.0
95.0,-93.0
96.0,-93.0
97.0,-93.0
98.0,-93.0
99.0,-93.0
100.0,-93.0
101.0,-93.0
102.0,-93.0
103.0,-93.0
104.0,-93.0
105.0,-93.0
106.0,-93.0
107.0,-93.0
108.0,-93.0
109.0,-93.0
110.0,-93.0
111.0,-93.0
112.0,-93.0
113.0,-93.0
114.0,-93.0
115.0,-93.0
116.0,-93.0
117.0,-93.0
118.0,-93.0
119.0,-93.0
120.0,-93.0
121.0,-93.0
122.0,-93.0
123.0,-93.0
124.0,-93.0
125.0,-93.0
126.0,-93.0
127.0,-93.0
128.0,-93.0
129.0,-93.0
130.0,-93.0
131.0,-92.76724137931035
132.0,-92.19540229885057
133.0,-91.62068965517241
134.0,-85.76
135.0,-72.63428571428571
136.0,-66.39999999999999
137.0,-66.39999999999999
138.0,-62.010000000000005
139.0,-45.40535714285714
140.0,-33.297366707366706
141.0,-22.133333333333333
142.0,-22.0
143.0,-18.466666666666665
144.0,-18.0
145.0,-18.0
146.0,-18.0
147.0,-18.0
148.0,-18.0
149.0,-18.0
150.0,-18.0
151.0,-18.0
152.0,-18.0
153.0,-18.0
154.0,-18.0
155.0,-18.0
156.0,-18.0
157.0,-18.0
158.0,-18.0
159.0,-18.0
160.0,-18.0
161.0,-18.0
162.0,-18.0
163.0,-18.0
164.0,-18.0
165.0,-18.0
166.0,-18.0
167.0,-18.0
168.0,-18.0
169.0,-18.0
170.0,-18.0
