Time(sec),A4FNENGCDFSOG
187.0,-79.0
188.0,-79.0
189.0,-79.0
190.0,-79.0
191.0,-79.0
192.0,-79.0
193.0,-79.0
194.0,-79.0
195.0,-79.0
196.0,-79.0
197.0,-79.0
198.0,-79.0
199.0,-79.0
200.0,-79.0
201.0,-79.0
202.0,-79.0
203.0,-79.0
204.0,-79.0
205.0,-79.0
206.0,-79.0
207.0,-79.0
208.0,-79.0
209.0,-79.0
210.0,-85.543542074364
211.0,-99.04452054794521
212.0,-99.11301369863013
213.0,-99.18150684931507
214.0,-99.25
215.0,-99.31849315068493
216.0,-99.38698630136987
217.0,-99.45547945205479
218.0,-99.52397260273972
219.0,-99.59246575342465
220.0,-99.66095890410959
221.0,-99.7294520547945
222.0,-99.79794520547945
223.0,-99.86643835616438
224.0,-99.93493150684932
225.0,-99.9931506849315
226.0,-100.0
227.0,-100.0
228.0,-100.0
229.0,-100.0
230.0,-100.0
231.0,-100.0
232.0,-100.0
233.0,-100.0
234.0,-100.0
235.0,-100.0
236.0,-100.0
237.0,-100.0
238.0,-100.0
239.0,-100.0
240.0,-100.0
241.0,-100.0
242.0,-100.0
243.0,-100.0
244.0,-100.0
245.0,-100.0
246.0,-100.0
247.0,-100.0
248.0,-100.0
249.0,-100.0
250.0,-100.0
251.0,-100.0
252.0,-100.0
253.0,-100.0
254.0,-100.0
255.0,-100.0
256.0,-100.0
257.0,-100.0
258.0,-100.0
259.0,-100.0
260.0,-100.0
261.0,-100.0
262.0,-100.0
263.0,-100.0
264.0,-100.0
265.0,-100.0
266.0,-100.0
267.0,-100.0
268.0,-100.0
269.0,-100.0
270.0,-100.0
271.0,-100.0
272.0,-100.0
273.0,-100.0
274.0,-100.0
275.0,-100.0
276.0,-100.0
277.0,-100.0
278.0,-100.0
279.0,-100.0
280.0,-100.0
281.0,-100.0
282.0,-100.0
283.0,-98.0375
284.0,-81.6238888888889
285.0,-75.47222222222221
286.0,-75.43518518518519
287.0,-75.39814814814815
288.0,-75.36111111111111
289.0,-75.32407407407408
290.0,-75.28703703703704
291.0,-75.25
292.0,-75.21296296296296
293.0,-75.17592592592592
294.0,-75.1388888888889
295.0,-75.10185185185185
296.0,-75.06481481481481
297.0,-75.02777777777777
298.0,-87.66777777777779
299.0,-100.0
300.0,-100.0
301.0,-100.0
302.0,-100.0
303.0,-100.0
304.0,-100.0
305.0,-100.0
306.0,-100.0
307.0,-100.0
308.0,-100.0
309.0,-100.0
310.0,-100.0
311.0,-100.0
312.0,-100.0
313.0,-100.0
314.0,-100.0
315.0,-100.0
316.0,-100.0
317.0,-99.99967391304348
318.0,-99.99184782608695
319.0,-99.98097826086956
320.0,-99.97010869565217
321.0,-99.9592391304348
322.0,-99.94836956521739
323.0,-99.93749999999999
324.0,-99.9266304347826
325.0,-99.91576086956522
326.0,-99.90489130434784
327.0,-99.89402173913044
328.0,-99.88315217391305
329.0,-99.87228260869566
330.0,-99.86141304347827
331.0,-99.85054347826087
332.0,-99.83967391304347
333.0,-99.8288043478261
334.0,-99.8179347826087
335.0,-99.80706521739131
336.0,-99.79619565217392
337.0,-99.78532608695653
338.0,-99.77445652173914
339.0,-99.76358695652172
340.0,-99.75271739130434
341.0,-99.74184782608695
342.0,-99.73097826086956
343.0,-99.72010869565217
344.0,-99.7092391304348
345.0,-99.69836956521739
346.0,-99.68749999999999
347.0,-99.6766304347826
348.0,-99.66576086956522
349.0,-99.65489130434784
350.0,-99.64402173913044
351.0,-99.63315217391305
352.0,-99.62228260869566
353.0,-99.61141304347827
354.0,-99.60054347826087
355.0,-99.58967391304347
356.0,-99.5788043478261
357.0,-99.5679347826087
358.0,-99.55706521739131
359.0,-99.54619565217392
360.0,-99.53532608695653
361.0,-99.52445652173914
362.0,-99.51358695652172
363.0,-99.50271739130434
364.0,-99.49184782608695
365.0,-99.48097826086956
366.0,-99.47010869565217
367.0,-99.4592391304348
368.0,-99.44836956521739
369.0,-99.43749999999999
370.0,-99.4266304347826
371.0,-99.41576086956522
372.0,-99.40489130434784
373.0,-99.39402173913044
374.0,-99.38315217391305
375.0,-99.37228260869566
376.0,-99.36141304347827
377.0,-99.35054347826087
378.0,-99.33967391304347
379.0,-99.3288043478261
380.0,-99.3179347826087
381.0,-99.30706521739131
382.0,-99.29619565217392
383.0,-99.28532608695653
384.0,-99.27445652173914
385.0,-99.26358695652172
386.0,-99.25271739130434
387.0,-99.24184782608695
388.0,-99.23097826086956
389.0,-99.22010869565217
390.0,-99.2092391304348
391.0,-99.19836956521739
392.0,-99.18749999999999
393.0,-99.1766304347826
394.0,-99.16576086956522
395.0,-99.15489130434784
396.0,-99.14402173913044
397.0,-99.13315217391305
398.0,-99.12228260869566
399.0,-99.11141304347827
400.0,-99.10054347826087
401.0,-99.08967391304347
402.0,-99.0788043478261
403.0,-99.0679347826087
404.0,-99.05706521739131
405.0,-99.04619565217392
406.0,-99.03532608695653
407.0,-99.02445652173914
408.0,-99.01358695652172
409.0,-97.70304347826087
410.0,-90.8018018018018
411.0,-90.44144144144146
412.0,-90.0810810810811
413.0,-88.20662805662806
414.0,-83.77380952380955
415.0,-83.02857142857142
416.0,-83.23611111111111
417.0,-89.87460317460318
418.0,-99.76785714285714
419.0,-99.99642857142858
420.0,-100.0
421.0,-100.0
422.0,-100.0
423.0,-100.0
424.0,-100.0
425.0,-100.0
426.0,-100.0
427.0,-100.0
428.0,-100.0
429.0,-100.0
430.0,-100.0
431.0,-100.0
432.0,-100.0
433.0,-100.0
434.0,-100.0
435.0,-100.0
436.0,-100.0
437.0,-100.0
438.0,-100.0
439.0,-100.0
440.0,-100.0
441.0,-100.0
442.0,-100.0
443.0,-100.0
444.0,-100.0
445.0,-100.0
446.0,-100.0
447.0,-100.0
448.0,-100.0
449.0,-100.0
450.0,-100.0
451.0,-100.0
452.0,-100.0
453.0,-100.0
454.0,-100.0
455.0,-100.0
456.0,-100.0
457.0,-100.0
458.0,-100.0
459.0,-100.0
460.0,-100.0
461.0,-100.0
462.0,-100.0
463.0,-100.0
464.0,-100.0
465.0,-100.0
466.0,-100.0
467.0,-100.0
468.0,-100.0
469.0,-100.0
470.0,-100.0
471.0,-100.0
472.0,-100.0
473.0,-100.0
474.0,-100.0
475.0,-100.0
476.0,-100.0
477.0,-100.0
478.0,-100.0
479.0,-100.0
480.0,-100.0
481.0,-100.0
482.0,-100.0
483.0,-100.0
484.0,-100.0
485.0,-100.0
486.0,-100.0
487.0,-100.0
488.0,-100.0
489.0,-100.0
490.0,-100.0
491.0,-100.0
492.0,-100.0
493.0,-100.0
494.0,-100.0
495.0,-100.0
496.0,-100.0
497.0,-100.0
498.0,-100.0
499.0,-100.0
500.0,-100.0
501.0,-100.0
502.0,-100.0
503.0,-100.0
504.0,-100.0
505.0,-100.0
506.0,-100.0
507.0,-100.0
508.0,-100.0
509.0,-100.0
510.0,-100.0
511.0,-99.0
512.0,-87.66666666666666
513.0,-86.0
514.0,-86.0
515.0,-86.0
516.0,-86.0
517.0,-86.0
518.0,-86.0
519.0,-86.0
520.0,-86.0
521.0,-86.0
522.0,-86.0
523.0,-86.0
524.0,-86.0
525.0,-86.0
526.0,-86.0
527.0,-86.0
528.0,-86.0
529.0,-86.0
530.0,-86.0
531.0,-86.0
532.0,-86.0
533.0,-86.0
534.0,-86.0
535.0,-88.00833333333334
536.0,-99.7
537.0,-100.0
538.0,-100.0
539.0,-100.0
540.0,-100.0
541.0,-100.0
542.0,-100.0
543.0,-99.9375
544.0,-92.405
545.0,-92.0
546.0,-91.5359375
547.0,-89.09427083333334
548.0,-69.84369658119657
549.0,-59.0
550.0,-59.0
551.0,-59.0
552.0,-59.072
553.0,-60.02
554.0,-61.21999999999999
555.0,-71.563
556.0,-82.0
557.0,-82.0
558.0,-82.0
559.0,-82.0
560.0,-82.0
561.0,-82.0
562.0,-82.0
563.0,-82.0
564.0,-70.3375
565.0,-43.0
566.0,-43.0
567.0,-43.0
568.0,-43.0
569.0,-43.0
570.0,-43.0
571.0,-43.0
572.0,-43.36666666666667
573.0,-55.333333333333336
574.0,-69.78666666666666
575.0,-77.875
576.0,-77.64772727272728
577.0,-58.5650505050505
578.0,-44.361111111111114
579.0,-44.175925925925924
580.0,-44.01851851851852
581.0,-44.0
582.0,-44.0
583.0,-44.0
584.0,-44.0
585.0,-44.0
586.0,-44.0
587.0,-44.0
588.0,-44.0
589.0,-33.25128205128205
590.0,-27.0
591.0,-27.0
592.0,-27.0
593.0,-27.0
594.0,-27.53333333333333
595.0,-42.0734375
596.0,-51.0859375
597.0,-51.8671875
598.0,-52.6484375
599.0,-53.0
600.0,-53.0
